market_code,涨停原因类别[20260514],code,股票代码
17,含硫硅烷+电子级硅烷+泰国项目,605366,605366.SH
33,光伏储能+特种线缆+厦门国资,002309,002309.SZ
33,光模块陶瓷+SiC功率器件+央企,003031,003031.SZ
33,,300363,300363.SZ
33,股份转让+小家电+露营经济,001259,001259.SZ
17,芯长征入主+功率半导体+污水处理+一季报扭亏,603903,603903.SH
17,人形机器人+智能物流+拟收购穗柯智能+央企,603082,603082.SH
17,硅光芯片+800G交换机+机器人代工+唐山国资,603118,603118.SH
33,创新药+定增推进+原料药,002940,002940.SZ
17,算力租赁+液冷+拟收购易信科技+湖南国资,600156,600156.SH
17,生猪放量+红曲增长+光伏,603717,603717.SH
33,猪肉+屠宰放量+肉牛布局,002840,002840.SZ
22,,603359,603359.SH
33,,002580,002580.SZ
17,,600118,600118.SH
17,,605060,605060.SH
151,碳化硅+新能源电池+一季报增长,920580,920580.BJ
33,汽车铝型材+步步高纾困+ST摘帽预期,002501,002501.SZ
17,14.8亿大单+航空发动机+特种材料,688281,688281.SH
17,,600982,600982.SH
33,算力中心+家装AI+摘帽申请,002713,002713.SZ
22,,600180,600180.SH
33,数据中心+供能+蓄冷储能,001210,001210.SZ
22,控制权变更+缝制设备+机器人概念+西安国资,600302,600302.SH
33,光伏EVA+POE投产+锂电材料+电子特气,003022,003022.SZ
33,算力采购+人形机器人+智慧口岸,002990,002990.SZ
33,半导体资产注入+房地产+ST博弈,000609,000609.SZ
33,,002805,002805.SZ
33,,002560,002560.SZ
33,珠海国资+储能+建筑装饰,002789,002789.SZ
17,,600719,600719.SH
33,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表,002980,002980.SZ
33,,002082,002082.SZ
17,六氟化钨+存储上游+电子特气+央企,688146,688146.SH
17,更名+机器人+储能+摘帽,603007,603007.SH
22,申请摘帽+酒水高增+虫草龙头,600381,600381.SH
33,光伏支架+油品批发,000159,000159.SZ
22,,688496,688496.SH
22,控制权变更+光伏建筑一体化+装配化装修,603828,603828.SH
33,重整投资人+光伏建筑一体化+建筑装饰,002620,002620.SZ
33,,002431,002431.SZ
33,债务延期+跨境电商+地方国资,000632,000632.SZ
22,高空风能+共享单车+ST反弹,600818,600818.SH
17,光伏+液冷服务器+氢能装备,600481,600481.SH
22,,600678,600678.SH
17,,603126,603126.SH
33,重整协议+实控人变更+天然气+ST,000669,000669.SZ
22,智能驾驶培训+预重整+ST板块,603377,603377.SH
22,,600084,600084.SH
33,,000066,000066.SZ
17,数据中心+水泥+央企,600449,600449.SH
33,OLED+半导体检测+建筑防水+芯片概念,300715,300715.SZ
17,,605365,605365.SH
33,,002198,002198.SZ
17,天然气+页岩气收购+贵州国资,600903,600903.SH
33,电子特气+硅基新材料+国产替代,002971,002971.SZ
17,脑机接口+智能电动床+适老化补贴,603610,603610.SH
22,ST投机+AI教育+国资背景,600730,600730.SH
33,,002323,002323.SZ
22,碳化硅+新能源汽车+消费电子+ST摘帽预期,603595,603595.SH
17,电力+算电协同+兵团国资,600509,600509.SH
17,黄金零售+商业零售+老字号+杭州金帝入主,600857,600857.SH
33,ST板块+新疆国资+油气服务+连续涨停,002207,002207.SZ
17,牛散举牌+硅光芯片+消费电子,603052,603052.SH
17,淄博国资入主+复牌+葡萄酒,603779,603779.SH
33,半导体并购+SiC+百货零售,002277,002277.SZ
22,ST反弹+重整预期+涂装业务,603378,603378.SH
33,空气悬架+特斯拉概念+光通信散热布局,002976,002976.SZ
22,,600759,600759.SH
33,光纤+芳纶涂覆+半固态电池+国企,002254,002254.SZ
33,,000677,000677.SZ
33,,000711,000711.SZ
33,,002726,002726.SZ
33,,001270,001270.SZ
22,,600370,600370.SH
17,功能性硅烷+气凝胶+产能释放,605399,605399.SH
33,碳化硅+算力+电力,002617,002617.SZ
33,,301139,301139.SZ
33,环氧丙烷+技改试产+硬泡聚醚,002165,002165.SZ
22,,600491,600491.SH
17,机器人+汽车热管理+吸尘器电机,603344,603344.SH
22,,605336,605336.SH
22,,600965,600965.SH
17,生猪出栏大增+全产业链+成本控制,605296,605296.SH
33,1.6T光模块+硅光芯片+供货高意（Coherent）,001267,001267.SZ
33,先进陶瓷+建筑陶瓷+地产链,002918,002918.SZ
33,摘帽申请+一季报暴增+IDC并表+算力租赁,002289,002289.SZ
33,环氧丙烷+精细化工+产能爬坡,002809,002809.SZ
33,人形机器人+环卫中标+智慧城服,002973,002973.SZ
33,控制权变更+短剧游戏+家电出海+电子烟,002723,002723.SZ
22,ST板块+墙布+流通盘小,603272,603272.SH
33,电源产品+机器人+墨西哥扩产,002782,002782.SZ
17,断路器+特高压+国企改革,603016,603016.SH
22,申请撤销退市风险警示+氢能物流+供应链服务,603813,603813.SH
33,,000510,000510.SZ
17,风光火储+绿电转型+北京国资,600578,600578.SH
17,,603045,603045.SH
22,保健酒+海南国资+一季报扭亏+ST板块,600238,600238.SH
