market_code,涨停原因类别[20260209],股票代码,code
33,银价上涨+业绩预增+湖南国资,002716.SZ,002716
33,光伏储能+钙钛矿电池+光纤概念+厦门国资,002309.SZ,002309
33,光伏+光储充+虚拟电厂,300982.SZ,300982
17,文生视频+算力租赁+蓝宝石,600666.SH,600666
17,安徽国资拟入主+固态电池+偏光片龙头,600884.SH,600884
17,中标火箭基地+光伏研发+钢结构,600477.SH,600477
33,轨交设备+卫星导航+AI巡检,002296.SZ,002296
33,,000638.SZ,000638
17,500kV变压器+数据中心+取向硅钢,603191.SH,603191
17,光伏玻璃+钙钛矿,600586.SH,600586
33,AI漫剧+短剧+算力+山东国资,301262.SZ,301262
17,免税+大消费+横琴新区,600185.SH,600185
33,文旅复苏+ST摘帽预期+供应链扩张,002485.SZ,002485
17,IC洁净室+台积电扩产+东南亚订单,603929.SH,603929
33,商业航天+扭亏为盈+大家居定制,300749.SZ,300749
17,燃气轮机+AIDC+风电+精密零部件,605060.SH,605060
33,光伏+铝型材+新能源汽车,002501.SZ,002501
33,IDC算力+光伏+重整完成,002822.SZ,002822
33,核电阀门+商业航天+半导体阀门,002438.SZ,002438
33,商业航天+高温合金+电网设备,002471.SZ,002471
17,年报扭亏+数据中心+上海国资,600841.SH,600841
17,光通信+CPO+钙钛矿,688025.SH,688025
17,拟收购兴福新材+PEEK新材料+PCCP水利,603616.SH,603616
17,染料+国资改革+资产处置,603188.SH,603188
17,稀土+Peak收购+央企+年报预增,600392.SH,600392
33,司法拍卖+房地产+创投,000609.SZ,000609
33,MiniLED+央企+白电,000016.SZ,000016
17,医疗器械+跨境电商+出口龙头,603301.SH,603301
17,拟收购愚恒影业58%股权+影视内容+复牌,603729.SH,603729
17,人形机器人+固态电池+精密制造,603626.SH,603626
22,ST板块+高端白酒+中药大健康,600381.SH,600381
33,马斯克调研协鑫+光伏设备+蚂蚁数科合作,002015.SZ,002015
33,,000004.SZ,000004
17,信创替代+数据复制+华为鲲鹏,688435.SH,688435
33,影视制作+短剧游戏+AIGC,000892.SZ,000892
17,影视院线+春节档+AI漫剧,603103.SH,603103
33,光储+算力+商业航天,001266.SZ,001266
17,算力租赁+年报预增+英伟达合作,603629.SH,603629
17,AI短剧+数字阅读+海外扩张,603533.SH,603533
33,AI互动玩具+阿里概念+少儿图书,301231.SZ,301231
17,AI营销+短剧出海+业绩预增,603598.SH,603598
33,创新药+染料+原料药+创投,002099.SZ,002099
17,热沉片量产+培育钻石+国资背景,600172.SH,600172
22,日用玻璃+地下管网+跨境电商,603021.SH,603021
33,纺织助剂龙头+本源量子IPO+2025年预增,002054.SZ,002054
33,短剧出海+AI应用+H股融资,300364.SZ,300364
33,AI传媒+粤港澳大湾区+家装龙头,002830.SZ,002830
33,太空光伏+钙钛矿+回购注销,002218.SZ,002218
33,液冷服务器+AI液冷+清洁能源装备+西藏移动合作,002272.SZ,002272
22,新型工业化+数控机床+退市风险,600243.SH,600243
33,半导体封测+第三代半导体+订单满产,300480.SZ,300480
33,特斯拉概念+钙钛矿+阿联酋项目,002623.SZ,002623
33,光伏建筑一体化+光伏设备+枣庄国资,002323.SZ,002323
17,太空光伏+铜浆量产+半导体掩模,688503.SH,688503
33,光伏银浆+BC电池+HJT银包铜浆料+先进封装,002079.SZ,002079
17,染料涨价+机器人皮肤+光伏减亏,605566.SH,605566
33,农药+国企改革+回购注销,000525.SZ,000525
33,机器人轴承+北美LED+越南产能,001326.SZ,001326
33,储能中标+固废处理+ST板块,000820.SZ,000820
33,金属铟+ITO靶材+鑫联科技资产注入,000711.SZ,000711
33,染料+苯二胺投产+硝酸龙头+氨基树脂项目,001217.SZ,001217
22,,600355.SH,600355
17,控制权变更+染料+宇树科技,603980.SH,603980
33,国资控股+生态文旅+诉讼风险,002717.SZ,002717
33,染料涨价+年报预增+半导体投资,002440.SZ,002440
17,甲醇+风电+国企改革,600722.SH,600722
17,AI影视+浪浪山爆款+上海国资,601595.SH,601595
33,AI漫剧+影视版权+文化传媒,300182.SZ,300182
17,,600538.SH,600538
33,锂电闭环+光刻胶概念+精细化工+固态电池,002455.SZ,002455
33,影视院线+春节档IP+AI短剧,001330.SZ,001330
22,,603813.SH,603813
17,半导体洁净室+东南亚布局+在手订单,603163.SH,603163
17,空芯光纤+800G硅光模块+算力网络,601869.SH,601869
33,游戏+AI应用+电竞赛事,002624.SZ,002624
22,海南自贸区+保健酒+国资背景,600238.SH,600238
17,房地产+TOD轨道物业+北京国资,600683.SH,600683
17,数据中心电源+军工信息化+扭亏为盈,600590.SH,600590
33,海南自贸区+煤炭+航空发动机,000571.SZ,000571
17,铌酸锂晶体+商业航天+光伏设备,600330.SH,600330
17,,600969.SH,600969
17,数字体验+豆包合作+人形机器人,603466.SH,603466
33,一带一路+超临界锅炉+ST摘帽预期,002630.SZ,002630
33,马斯克调研+太空光伏+TOPCon+钙钛矿,002506.SZ,002506
17,光伏+氢能源+央企,600875.SH,600875
17,AI漫剧+AI应用+扭亏为盈+Sora概念,601360.SH,601360
17,航运+贸易+海南自贸港,600751.SH,600751
17,商业航天+钙钛矿电池+一带一路,605598.SH,605598
17,可控核聚变+燃气轮机+航空发动机,603308.SH,603308
33,年报预增+一带一路+旧梯改造,002689.SZ,002689
22,,603843.SH,603843
33,,002259.SZ,002259
17,新能源配电+光伏设备+中低压断路器,603829.SH,603829
33,可控核聚变+余热锅炉+数据中心+光热储能,002534.SZ,002534
33,CPO+AI应用+MiniLED+深圳国资,002429.SZ,002429
17,算力租赁+东数西算+IDC,600589.SH,600589
33,液冷收购+瓶盖龙头+业绩承诺,003018.SZ,003018
33,钙钛矿设备+锂电订单+北美突破,000821.SZ,000821
33,光伏硅片龙头+马斯克调研+BC专利授权,002129.SZ,002129
33,拟收购晶华电子+房地产+国资背景,000014.SZ,000014
33,商业航天+风电紧固件+扭亏为盈,301232.SZ,301232
33,拟收购金旺达+人形机器人+尾气后处理,300912.SZ,300912
17,商业航天+CPO+南孚电池+业绩预增,603031.SH,603031
17,AI漫剧+城市更新+扭亏为盈,605287.SH,605287
