涨停原因类别[20260205],股票代码,code,market_code
,002716.SZ,002716,33
智算业务+腾讯概念+酒类销售+重组推进,002575.SZ,002575,33
低空经济+客运龙头+腾讯云合作,002357.SZ,002357,33
阿里概念+社区零售,601116.SH,601116,17
,000638.SZ,000638,33
春节档+票房增长+扭亏为盈,002905.SZ,002905,33
业绩快报+银行+海峡两岸,601187.SH,601187,17
金属铟+ITO靶材+资产注入,000711.SZ,000711,33
,601212.SH,601212,17
算力租赁+拟收购易信科技+湖南国资,600156.SH,600156,17
福建自贸区+菌草纤维板+林木主业,000592.SZ,000592,33
,001270.SZ,001270,33
,600053.SH,600053,17
,601126.SH,601126,17
李亚鹏概念+AI营销+VR文旅,002995.SZ,002995,33
美容护理+电商+洗护品牌,603630.SH,603630,17
,600355.SH,600355,22
,300561.SZ,300561,33
,000923.SZ,000923,33
,601226.SH,601226,17
AI影视+短剧+浙江国资,601599.SH,601599,17
,603396.SH,603396,17
算力中心+重整完成+家装AI,002713.SZ,002713,33
昨日跳水+扭亏为盈+无线充电+电子烟设备,300461.SZ,300461,33
业绩高增+铁矿扩产+砂石增量,600382.SH,600382,17
AI应用+剥离鞋业+直播电商,002291.SZ,002291,33
大消费+春节补贴+海峡两岸,603696.SH,603696,17
固态电池+高端纺机+纺织机器人,003036.SZ,003036,33
平潭国资+智慧城市+算力中心,300300.SZ,300300,33
金融科技+西藏+三季报增长,002945.SZ,002945,33
春节消费+预加工食品+山姆渠道,002702.SZ,002702,33
拟收购兴福新材+PEEK中间体+北京韩村河镇集体资产,603616.SH,603616,17
房地产+司法拍卖+ST板块,000609.SZ,000609,33
固态电池+烟草+回购减持,603429.SH,603429,17
影视传媒+智慧空间+湖北国资,600136.SH,600136,22
AI营销+即时零售+电商白酒+跨境电商,002264.SZ,002264,33
商业航天+无人机+聚酯树脂+地方国企,002361.SZ,002361,33
REITs调整+百货零售+川超消费,600828.SH,600828,17
年报预增+新能源汽车+空调橡胶件,603655.SH,603655,17
AI算力+车规MLCC+国企,000636.SZ,000636,33
,601615.SH,601615,17
煤炭/焦炭+LNG+煤焦化,601015.SH,601015,17
,600381.SH,600381,22
,000004.SZ,000004,33
赤霉酸+半导体材料+国企,600796.SH,600796,17
京津冀规划+TOD轨道物业+北京国资,600683.SH,600683,17
,002647.SZ,002647,33
纯碱龙头+氢能源+固态电池+国企,000822.SZ,000822,33
百货零售+间接持股中科宇航+黄金销售+杭州国资,600814.SH,600814,17
,002865.SZ,002865,33
春节档+影视院线+AI漫剧,603103.SH,603103,17
,600481.SH,600481,17
控制权变更+追觅关联+饮料灌装,002969.SZ,002969,33
一带一路+超临界锅炉+ST摘帽预期,002630.SZ,002630,33
无人驾驶+车联网+低空经济+钢制车轮,002355.SZ,002355,33
SAF原料+生物柴油+农化助剂,603334.SH,603334,17
马斯克调研+太空光伏+TOPCon+钙钛矿,002506.SZ,002506,33
氢能源+节能燃烧+ST摘帽预期,300152.SZ,300152,33
医药中间体+重整完成+ST板块,002742.SZ,002742,33
云网融合基础设施+商业航天+AI数字人,002467.SZ,002467,33
白酒+中字头+葡萄酒,600084.SH,600084,17
,603759.SH,603759,17
军工装备+商业航天+起落架放量,002985.SZ,002985,33
旅游+豪华游轮+国企,002627.SZ,002627,33
,002830.SZ,002830,33
,002364.SZ,002364,33
算力租赁+赛马概念+有色金属,603843.SH,603843,22
钛白粉+珠光材料+低空经济,603826.SH,603826,17
天然气+服装+*ST风险,600107.SH,600107,22
,600243.SH,600243,22
,603172.SH,603172,17
零售+功率半导体+固态电池,000056.SZ,000056,33
塑料瓶盖龙头+外延并购+大消费,003018.SZ,003018,33
,002943.SZ,002943,33
数字云服务+重大违法退市风险+复牌,300344.SZ,300344,33
拟收购厦芝精密+PCB钻针+一带一路,301362.SZ,301362,33
智慧城市+深圳国资+减亏+资产处置,002528.SZ,002528,33
拟收购金旺达+具身机器人+尾气后处理,300912.SZ,300912,33
童装童鞋+电解铝+ST板块,603557.SH,603557,22
