股票代码,market_code,涨停原因类别[20260224],code
002716.SZ,33,银价上涨+业绩预增+湖南国资,002716
002491.SZ,33,光纤光缆+数据中心+储能消防,002491
600339.SH,17,油气储运+一带一路+可控核聚变,600339
000988.SZ,33,AI光模块+订单爆满+武汉国资,000988
600345.SH,17,光纤概念+商业航天+智慧应急+央企,600345
000638.SZ,33,军工+粮食+退市博弈,000638
603861.SH,17,算力中心+出海订单+特高压,603861
603171.SH,17,,603171
601212.SH,17,黄金+铜冶炼+锂电材料,601212
603124.SH,17,液冷服务器+铜基散热片+PCB客户+业绩增长,603124
603256.SH,17,AI算力+电子布涨价+PCB概念,603256
300749.SZ,33,商业航天+扭亏为盈+大家居定制,300749
600397.SH,17,定增收购钨钽资产+磁选设备+江西国资,600397
688260.SH,17,MLCC扩产+陶瓷热沉+消费电子,688260
002895.SZ,33,化肥+磷矿资源+磷酸铁+回购,002895
000968.SZ,33,煤层气+国企,000968
603619.SH,17,油气开采及服务+伊拉克中标+民营龙头,603619
600714.SH,17,锶盐+小金属,600714
002713.SZ,33,,002713
603115.SH,17,AI服务器+储能电极箔+股权激励,603115
002694.SZ,33,地下管网+塑料管道+诉讼冲回,002694
002811.SZ,33,年报预增+室内设计+IP经济+一带一路,002811
600096.SH,17,磷化工+聚甲醛+国企改革,600096
601888.SH,17,,601888
603616.SH,17,PEEK新材料+拟收购兴福新材+PCCP水利,603616
603559.SH,22,通信服务+重整完成+ST摘帽预期,603559
000609.SZ,33,,000609
601808.SH,17,油服龙头+国企改革,601808
605289.SH,17,算力订单+液冷服务器+AR/VR+风电EPC,605289
001337.SZ,33,黄金涨价+金精矿+四川国资,001337
600792.SH,17,焦炭+减亏+云南国资,600792
300191.SZ,33,油气开采+可燃冰+涠洲5-3油田,300191
002470.SZ,33,化肥+磷矿建设+复合肥龙头,002470
002875.SZ,33,童装+三胎概念+跨境电商+增持完成,002875
601890.SH,17,军工装备+锚链,601890
603139.SH,17,控制权变更+中药+医保目录,603139
601390.SH,17,铜钴资源+水利基建+央企回购,601390
000004.SZ,33,,000004
002795.SZ,33,光伏剥离+肿瘤放疗+阀门管件,002795
300179.SZ,33,CVD金刚石+培育钻石+油气进口替代,300179
920305.BJ,151,AI大模型+大数据存储+政务场景,920305
600078.SH,17,磷化工+新材料+扭亏,600078
002326.SZ,33,,002326
603103.SH,17,,603103
002951.SZ,33,,002951
603533.SH,17,,603533
000669.SZ,33,预重整+天然气+扭亏,000669
601975.SH,17,油运+回购+央企,601975
300251.SZ,33,,300251
603077.SH,17,矿产资源+磷矿+草甘膦,603077
600172.SH,17,热沉片量产+培育钻石+国资背景,600172
002606.SZ,33,特高压+海外订单+江西二期,002606
002490.SZ,33,油气装备+中东订单+扭亏+国资背景,002490
002312.SZ,33,磷化工+锂矿+磷酸铁锂+四川国资,002312
600871.SH,17,油气开采+CCUS+海外大单+央企,600871
603021.SH,22,ST板块+退市博弈+日用玻璃,603021
000635.SZ,33,氯碱化工+氢能源+PVC+热力+央企,000635
603822.SH,22,生物航煤+扭亏+ST摘帽预期,603822
002498.SZ,33,特高压+海上风电+电网设备,002498
600141.SH,17,春耕用肥+固态电池+磷化工+国企,600141
605006.SH,17,玻纤+风电纱+山东国资,605006
300157.SZ,33,油气+压缩机+绿氢氨+扭亏,300157
002136.SZ,33,钛白粉+磷酸铁+国企改革,002136
002207.SZ,33,油气服务+新疆国资,002207
605178.SH,17,拟并购嘉合劲威+存储芯片+智慧城市,605178
002283.SZ,33,机器人+AI智能体+曲轴+回购,002283
603601.SH,17,玻璃微纤维+SpaceX传闻+高效滤材,603601
600599.SH,22,,600599
301526.SZ,33,玻纤涨价+电子细纱+风电纱+云南国资,301526
600759.SH,17,油气开采+哈萨克斯坦油田,600759
300164.SZ,33,油气+北美巨头合作+射孔技术,300164
003035.SZ,33,扭亏为盈+虚拟电厂+零碳园区+央企,003035
000545.SZ,33,钛白粉+减产+转型橡胶,000545
600409.SH,17,有机硅+纯碱龙头+电子化学品+唐山国资,600409
000711.SZ,33,金属铟+ITO靶材+鑫联科技注入,000711
001396.SZ,33,地下管网+专精特新+次新股,001396
000890.SZ,33,重大资产出售+光纤概念+钢帘线,000890
600355.SH,22,,600355
000554.SZ,33,油气+年报预增+新能源转型+央企回购,000554
000422.SZ,33,磷化工+新能源材料+季戊四醇+国企,000422
600470.SH,17,磷化工+化肥+精制磷酸,600470
002165.SZ,33,环氧丙烷+技改试产+硬泡聚醚,002165
600722.SH,17,甲醇+风电+国企改革,600722
000803.SZ,33,UCO+固废处理+山东国资,000803
601595.SH,17,,601595
603685.SH,17,绿电算力+增量配网+年报预增+照明组件,603685
600753.SH,22,ST板块+LPG分销+年报预盈,600753
603389.SH,22,锆钛选矿+业绩预计减亏+世博家具,603389
603400.SH,17,机器人+锂电工具+回购,603400
002809.SZ,33,环氧丙烷+化工+混凝土外加剂,002809
002652.SZ,33,中芯国际概念+半导体洁净室+有机涂层板,002652
001330.SZ,33,,001330
000681.SZ,33,,000681
000668.SZ,33,扭亏为盈+房地产去化+跨境物流转型,000668
600671.SH,17,中药+大健康+青岛国资,600671
002898.SZ,33,AI服务器+资产出售+原料药制剂一体化,002898
601869.SH,17,空芯光纤+算力网络+光纤光缆,601869
003004.SZ,33,亏损收窄+安消一体化+ST博弈,003004
000636.SZ,33,MLCC涨价+AI算力+广东国资,000636
002554.SZ,33,油气EPC+天津国资+油气服务,002554
601015.SH,17,LNG+煤焦化链,601015
002647.SZ,33,AI算力+第三方支付+扭亏为盈+摘帽预期,002647
605033.SH,17,农药制剂+原药一体化+西部大开发,605033
600026.SH,17,油运周期+VLCC运价+央企,600026
002539.SZ,33,磷矿自给+磷酸铁+合成氨项目,002539
600330.SH,17,铌酸锂晶体+商业航天+光伏设备,600330
002047.SZ,33,光耦合器+扭亏为盈+珠海国资,002047
002005.SZ,33,ST摘帽预期+LED封装+咖啡机出口,002005
603466.SH,17,字节概念+数字体验+人形机器人+商业航天,603466
002506.SZ,33,太空光伏+TOPCon+钙钛矿+光伏组件,002506
601872.SH,17,VLCC油运+业绩预增+央企,601872
002358.SZ,33,南方电网中标+输变电设备+河南国资,002358
603268.SH,22,,603268
603000.SH,17,,603000
002828.SZ,33,油气开采+海外权益+地缘冲突,002828
603042.SH,17,光纤概念+光通信,603042
600550.SH,17,特高压+业绩预增+央企,600550
603138.SH,17,,603138
603959.SH,17,人形机器人+固态电池+锂电产线,603959
600289.SH,22,4亿合同+AI智算+ST保壳,600289
002457.SZ,33,中标大单+地下管网+PCCP龙头,002457
603232.SH,17,,603232
000603.SZ,33,黄金+白银+并购扩张,000603
600977.SH,17,,600977
600176.SH,17,玻纤涨价+电子布+股东增持,600176
603727.SH,17,油气开采+FPSO订单+南美市场,603727
001896.SZ,33,参股算力+绿电储备+火电+河南国资,001896
002528.SZ,33,智慧城市+深圳国资+减亏+ST板块,002528
002916.SZ,33,PCB+AI算力+存储芯片+央企,002916
605287.SH,17,,605287
