market_code,涨停原因类别[20260728],股票代码,code
33,中报扭亏+特种线缆+光伏储能+厦门国资,002309.SZ,002309
17,人形机器人+电子皮肤+减持终止+汽车内饰,605068.SH,605068
33,,000988.SZ,000988
17,脑机接口概念+卫星通信+央企,600775.SH,600775
33,算力服务+AI应用+国企改革+股权转让,002642.SZ,002642
17,,603823.SH,603823
17,半导体并购+林地资产转让+集装箱地板+无锡国资,600076.SH,600076
17,,603124.SH,603124
33,AI应用+广告营销+Web3.0,002995.SZ,002995
33,,002353.SZ,002353
33,长春光机所旗下+半年报预增+商业航天,002338.SZ,002338
33,脑机接口+医疗器械注册证+医疗服务,002173.SZ,002173
33,,002636.SZ,002636
33,重大资产重组+中报扭亏+风电+北京国资,002310.SZ,002310
17,,603950.SH,603950
33,并购重组+光刻胶+合肥国资,000859.SZ,000859
17,白酒+亏损收窄+阜阳国资,600199.SH,600199
17,,603757.SH,603757
33,AI医疗+DRG/DIP+央企,000503.SZ,000503
33,光刻机服务+中报预增+AI智能报关,002889.SZ,002889
33,ViP技术+AMOLED+第8.6代产线,002387.SZ,002387
33,,002536.SZ,002536
33,AI安全+智算云+量子科技,002212.SZ,002212
17,光刻机+精密光学+收购江丰生物,603297.SH,603297
33,业绩减亏+充电桩+杭州国资,000909.SZ,000909
17,半年报预增+粮食深加工+黄原胶,600191.SH,600191
151,,920176.BJ,920176
33,房地产开发+长三角+建筑节能,000517.SZ,000517
17,,605289.SH,605289
33,,002980.SZ,002980
33,旅游酒店+国企改革+酒店主业,000428.SZ,000428
33,脑机接口+AI大模型+AI PC+人形机器人,002195.SZ,002195
33,创新药+神经系统疾病+中报预增,002082.SZ,002082
33,半导体光学+PCB光学+中报预增,301421.SZ,301421
17,AI应用+信创+定增,603918.SH,603918
17,,601208.SH,601208
33,ETC+车路协同+低空智联+数字能源,002869.SZ,002869
22,,688089.SH,688089
22,ST板块+面退博弈+电子纸,688496.SH,688496
33,AI医疗+河南国资+违规担保进展,300290.SZ,300290
17,热电联产+弗迪电池供热+储能,605162.SH,605162
33,锂电材料+华为产业链+胶粘剂+增持,002388.SZ,002388
33,中报预增+水暖阀门+医疗器械,002795.SZ,002795
17,,603061.SH,603061
17,,600183.SH,600183
151,,920305.BJ,920305
33,,002156.SZ,002156
33,,002965.SZ,002965
17,,603629.SH,603629
17,零售+首店经济+仓储物流+资产处置,600693.SH,600693
17,,603986.SH,603986
17,光刻机+半年度业绩预增+上海国资,600619.SH,600619
33,数据中心+干式变压器+储能+控制权变更预期,000533.SZ,000533
33,,001258.SZ,001258
17,,603083.SH,603083
33,,001309.SZ,001309
17,,605111.SH,605111
33,,002436.SZ,002436
33,工程咨询+甘肃国资+AI应用,000779.SZ,000779
33,,002484.SZ,002484
33,,002937.SZ,002937
33,,000811.SZ,000811
33,,002080.SZ,002080
17,,603137.SH,603137
33,,000021.SZ,000021
17,AI政务+财税数字化+山东国资,600756.SH,600756
17,氢燃料电池客车+军工+新能源客车,600303.SH,600303
33,拟易主+有机硅+半年报扭亏,002211.SZ,002211
17,,605376.SH,605376
33,,002428.SZ,002428
33,,002938.SZ,002938
33,回购+电子化学品+光刻胶,001358.SZ,001358
17,控制权变更+染料+中报预增,603980.SH,603980
33,AI教育+具身智能+中报扭亏,003032.SZ,003032
33,市值退市博弈+算力租赁+AI应用,301139.SZ,301139
33,休闲食品+魔芋零食+一季报增长,002847.SZ,002847
33,,002083.SZ,002083
17,,600722.SH,600722
33,职业装+校服+通勤服,002687.SZ,002687
17,,600105.SH,600105
33,定增获批+热电联产+工业园区供热,001376.SZ,001376
17,摘帽+锆钛矿选矿+家居,603389.SH,603389
17,新能源汽车+机器人+智能家居,603400.SH,603400
17,,603228.SH,603228
17,新能源汽车零部件+人形机器人+总经理增持完成,603358.SH,603358
33,拟收购烽云信息+算力服务+染料主业,300067.SZ,300067
33,,003001.SZ,003001
22,拟购慧聚药业+固态电池+包装印刷,603429.SH,603429
33,,002281.SZ,002281
33,,002384.SZ,002384
151,光刻机+PEEK材料+汽车零部件,920690.BJ,920690
17,,601869.SH,601869
17,拟收购欧康诺+存储测试设备+PVC弹性地板,603221.SH,603221
33,,001389.SZ,001389
33,控制权变更+饮料包装+横琴新区,000659.SZ,000659
33,脑机接口+AI机器人+鸿蒙生态,300663.SZ,300663
33,创新药+基药目录+脑机接口+央企,000566.SZ,000566
17,脑机接口+AI医疗+高血压疫苗+SPD,603716.SH,603716
33,AI智能体+业绩减亏+数字政务,002279.SZ,002279
17,控制权拟变更+轻型输送带+消费电子,603580.SH,603580
17,上海微电子相关+子公司重整获批+工程设计+上海国资,600629.SH,600629
17,,600539.SH,600539
33,中报预增+饮料包装+实控人变更,002969.SZ,002969
33,,002837.SZ,002837
17,乳业+烘焙食品+业绩增长,605179.SH,605179
33,AI应用+金融科技+半年报扭亏+云南国资,000948.SZ,000948
33,偏光片+OLED+深圳国资+更名预期,000045.SZ,000045
17,光刻机+AI应用+国企改革,600850.SH,600850
33,,002851.SZ,002851
33,,002463.SZ,002463
17,小米汽车+一体化压铸+汽车模具,603917.SH,603917
33,,003018.SZ,003018
17,抗量子密码+AI安全+PKI龙头,603232.SH,603232
33,摘帽+石英晶体元器件+碳酸锂,002199.SZ,002199
17,光刻胶+酚醛树脂+合成树脂,603928.SH,603928
17,光刻机+上海微电子+集成电路+浦东国资,600895.SH,600895
17,,603186.SH,603186
33,,002916.SZ,002916
