涨停原因类别[20260612],market_code,股票代码,code
半导体洁净室+中国电子云增资+AI算力,33,000032.SZ,000032
低空经济+海上油气直升机+央企,33,000099.SZ,000099
成套设备出口+储能+央企+一带一路,33,000151.SZ,000151
黄金+一季报扭亏+国企,33,000506.SZ,000506
石英砂+锡钨钽+氯碱化工+减持终止,33,000510.SZ,000510
商业航天+蓝军装备+通信与指控装备+央企,33,000547.SZ,000547
PCB铜箔+全产业链铜+ECSA分红+安徽国资,33,000630.SZ,000630
铜+PCB概念+山西国资+一季报增长,33,000737.SZ,000737
金属铟+黄金概念+一季报增长,33,000751.SZ,000751
铜冶炼项目+国际工程+海外资源并购+央企,33,000758.SZ,000758
零售+本地生活+国企,33,000759.SZ,000759
电子特气项目启动+C919大飞机+分红+央企,33,000768.SZ,000768
储能+再生铜+冶金工程,33,000820.SZ,000820
,33,000833.SZ,000833
金属材料+金刚石铜复合材料+非晶纳米晶+可控核聚变,33,000969.SZ,000969
个护用品+产品提价+宠物卫生用品,33,001206.SZ,001206
全钢巨胎+国产替代+俄罗斯建厂+订单增长,33,001233.SZ,001233
钼替代钨+钼业龙头+洛阳国资,33,001257.SZ,001257
实控人增持+储能并购+燃气运营,33,001299.SZ,001299
AI影视+AI短剧+《四渡》定档,33,001330.SZ,001330
电子布+云母绝缘+固态电池,33,001359.SZ,001359
黄金开采+矿山装备+高端装备,33,001360.SZ,001360
功能性BOPP薄膜+锂电池+一季报增长,33,001378.SZ,001378
低空经济+航空发动机+资产置换+分红,33,001696.SZ,001696
低空经济+资产出售+通航飞机,33,002085.SZ,002085
新能源电池+陶瓷纤维+节能降碳,33,002088.SZ,002088
航空零部件+商业航天+低空经济+C919,33,002190.SZ,002190
ST摘帽预期+精纺呢绒+外销占比高,33,002193.SZ,002193
生态环保+资产注入预期+一季报扭亏+摘帽,33,002200.SZ,002200
铜箔+微通道冷板+固态电池+一季报增长,33,002203.SZ,002203
,33,002207.SZ,002207
新能源订单+摘帽预期+红外芯片,33,002214.SZ,002214
蓝莓产业链+一季度业绩增长+股权激励解禁,33,002215.SZ,002215
特高压+变压器+机器人概念,33,002270.SZ,002270
撤销退市风险警示+光伏边框+餐饮团膳,33,002306.SZ,002306
培育钻石+黄金珠宝+一季报增长,33,002345.SZ,002345
,33,002421.SZ,002421
中标+管材+PCCP龙头,33,002457.SZ,002457
氨氢新能源+小分子功能肥+摘帽申请,33,002496.SZ,002496
,33,002514.SZ,002514
甜味剂+双氯磺酰亚胺酸+固态电池+增持完成,33,002597.SZ,002597
表面活性剂龙头+油脂化学品+股份回购+高管增持,33,002637.SZ,002637
,33,002667.SZ,002667
,33,002669.SZ,002669
AIDC项目交付+算力UPS电源+员工持股计划,33,002733.SZ,002733
更名+资产注入+原料药,33,002742.SZ,002742
申请摘星+建筑装饰+珠海国资,33,002789.SZ,002789
隔膜龙头+固态电池+业绩增长,33,002812.SZ,002812
家装龙头+成立AI公司+高送转,33,002830.SZ,002830
,33,002856.SZ,002856
固态电池量产+电缆+比亚迪产业链+分红,33,002882.SZ,002882
固态断路器+AIDC+数据中心应用,33,002927.SZ,002927
商业航天+原子钟+央企,33,002935.SZ,002935
,33,002962.SZ,002962
追觅入主+微博公布俞浩禁言原因,33,002969.SZ,002969
六氟化钨+电子特气+硅基功能性新材料,33,002971.SZ,002971
光通信散热布局+5G+空气悬架+特斯拉产业链,33,002976.SZ,002976
军工+商业航天+起降系统,33,002985.SZ,002985
机器人合作+汽车模具+轻量化+可转债推进,33,002997.SZ,002997
商业航天+小型制导火箭+一季度扭亏+央企,33,003009.SZ,003009
金融科技+AI应用+信创+资产托管,33,300377.SZ,300377
军工装备+航空发动机+一季报增长,33,300581.SZ,300581
PCB铜箔+AI算力+产能扩张,33,301176.SZ,301176
重组并购+钐铁氮+芯片电感,33,301323.SZ,301323
拟收购芯翼+半导体封测+存储芯片,33,301348.SZ,301348
机器人概念+电磁线+一季报增长,17,600067.SH,600067
,22,600084.SH,600084
,22,600187.SH,600187
IP运营+版权开发+AI应用+国企,17,600229.SH,600229
水电+资产注入+央企国资,17,600292.SH,600292
,17,600378.SH,600378
长江发动机+燃气轮机+外贸订单+央企,17,600391.SH,600391
,17,600403.SH,600403
钼资源+锗+铅锌龙头+央企,17,600497.SH,600497
白银龙头+泛半导体高纯金属材料+定增+国企,17,600531.SH,600531
,17,600536.SH,600536
预重整+签订投资协议+光伏组件,22,600537.SH,600537
拟收购利珀科技+半导体封装+机器视觉+AI应用,17,600539.SH,600539
回购注销+瓦楞纸涨价+京东合作,17,600567.SH,600567
旅游主业+低空文旅,17,600576.SH,600576
AI算力PCB+光模块+珠海国资,17,600601.SH,600601
,17,600791.SH,600791
零售+黄金+杭州金帝入主,17,600857.SH,600857
T1100碳纤维+航空复材+低空经济+央企,17,600862.SH,600862
券商+河北国资+一季报增长,17,600906.SH,600906
铟金属+黄金+铅锌龙头+央企,17,600961.SH,600961
半导体工程+并购重组+浓缩苹果汁+央企,17,600962.SH,600962
涤纶长丝+一季报增长+互联网金融,17,601233.SH,601233
铜加工龙头+算力散热+稀土永磁,17,601609.SH,601609
