涨停原因类别[20260810],股票代码,code,market_code
ST摘帽预期+精纺呢绒+外销,002193.SZ,002193,33
《欢迎来龙餐馆》+暑期档+IP潮玩+院线龙头,002739.SZ,002739,33
教练机+C919+军工+央企,600316.SH,600316,17
黄金+半年报预增+国企改革,000506.SZ,000506,33
覆铜板+拟布局PCB+动物保健,002141.SZ,002141,33
智慧水务+饰面板+业绩预增,603038.SH,603038,17
口腔医疗+医疗服务+半年报预计减亏,002622.SZ,002622,33
变压器+AI算力+国企改革,002112.SZ,002112,33
民爆+化肥+湖北国资,002783.SZ,002783,33
液冷储能+算力+固态电池+山东国资,002580.SZ,002580,33
干散货航运+运力扩张+中报增长,603162.SH,603162,17
宠物经济+海外业务+设立创投,001222.SZ,001222,33
算电协同+储能+风电+电梯部件,605286.SH,605286,17
甲醇+尿素+煤化工+中报预计扭亏,600227.SH,600227,17
创新药+依诺肝素制剂+集采中标,002399.SZ,002399,33
光刻胶+MLCC+聚酰亚胺+并购重组,000859.SZ,000859,33
乳业+新式茶饮+股权转让+种源突破,002329.SZ,002329,33
软饮料+茶饮店+中报预计扭亏+出海,603711.SH,603711,17
创新药+化学制药+中报预计减亏,002900.SZ,002900,33
磷化铟衬底+光稳定剂+终止减持,603065.SH,603065,17
机器人+汽车整椅,605128.SH,605128,17
半导体设备+精密金属结构件+可转债募投结项,003043.SZ,003043,33
AI医疗+三代测序+基因检测NIPT,000710.SZ,000710,33
锑资源+黄金概念+有色金属采选+控制权变更,601020.SH,601020,17
医疗健康+百货零售+回购,600327.SH,600327,17
染料+资产处置+一季报增长+常州国资,603188.SH,603188,17
中报预增+氯化亚砜+化工,002748.SZ,002748,33
回购+机器人+电子皮肤+高分子饰面材料,603725.SH,603725,17
控股股东拟变更+矿山投资开发+民爆+西藏国资,002827.SZ,002827,33
酒店+预制菜+大消费+国企改革,000428.SZ,000428,33
输变电设备+核电+资产剥离+国企改革,600192.SH,600192,17
金华国资入主+CRO+创新药,600721.SH,600721,17
《欢迎来龙餐馆》定档+影视全产业链+演艺演出,000802.SZ,000802,33
创新药+集采拟中标+半年报预增,600664.SH,600664,17
热电联产+电网储能+员工持股,605162.SH,605162,17
六氟磷酸锂+胶粘剂+AI服务器电源+增持,002388.SZ,002388,33
黄金+国际金价上涨+一季报增长,002345.SZ,002345,33
鸡苗景气+种鸡龙头+种猪放量,002458.SZ,002458,33
超级电容+储能+中报预计减亏,002951.SZ,002951,33
,002762.SZ,002762,33
智慧水务+供排水一体化+国企改革,601199.SH,601199,17
建筑起重机械租赁+煤矿智能装备+陕西国资,600984.SH,600984,17
AI蛋白质设计+创新药+CGT+回购注销,301080.SZ,301080,33
半年报增长+风电+光伏+新疆国资,001258.SZ,001258,33
拟认购股权+物理AI+防冰除冰机器人+电网设备,001388.SZ,001388,33
,600449.SH,600449,17
猪饲料+生猪养殖+股东人数减少,603151.SH,603151,17
工程机械+地下管网+厦门国资,600815.SH,600815,17
拟重大资产重组+复牌+真空镀膜设备+环境监测,300862.SZ,300862,33
水产饲料+鱼粉涨价+青岛国资,002696.SZ,002696,33
兵装重组概念+涡轮增压器+电子水泵+央企,600698.SH,600698,17
算力租赁+阶跃星辰+类ABF膜+调味品,600186.SH,600186,17
,000779.SZ,000779,33
卷烟纸龙头+HNB+黑龙江国资,600356.SH,600356,17
中报预增+机器人+钢结构+新能源订单,002541.SZ,002541,33
AI智能体+酒店SaaS+并购重组获批,002153.SZ,002153,33
覆铜板+黄金+业绩预增+地方国资,002552.SZ,002552,33
创新药+集采放量+医药制造,002437.SZ,002437,33
辅酶Q10+NMN概念+外销,002626.SZ,002626,33
香精香料+Omega-3鱼油+收购整合,603020.SH,603020,17
数据中心液冷+核电冷却+冷却塔,603269.SH,603269,17
