market_code,code,股票代码,涨停原因类别[20260403]
33,000004,000004.SZ,
33,000008,000008.SZ,
33,000037,000037.SZ,
33,000048,000048.SZ,
33,000586,000586.SZ,光纤涨价+特高压光缆+车载电子
33,000632,000632.SZ,
33,000638,000638.SZ,
33,000669,000669.SZ,重整预期+天然气+ST
33,000720,000720.SZ,光缆+电缆+实控人中国华能+央企
33,000752,000752.SZ,
33,000821,000821.SZ,
33,000950,000950.SZ,回购+连锁药房+创新药+央企
33,000993,000993.SZ,
33,002109,002109.SZ,
33,002222,002222.SZ,光通信+光学晶体+中科院
33,002357,002357.SZ,
33,002538,002538.SZ,
33,002578,002578.SZ,
33,002580,002580.SZ,
33,002620,002620.SZ,
33,002678,002678.SZ,文旅转型+智能钢琴+机器人合作+广州国资
33,002792,002792.SZ,光模块+卫星通信+商业航天+基站天线
33,002796,002796.SZ,CPO光模块+精密箱体+移动通信
33,002800,002800.SZ,
33,002831,002831.SZ,回购+机器人+环保包装
33,002898,002898.SZ,AI服务器+原料药制剂一体化+股权转让
33,002905,002905.SZ,
33,002923,002923.SZ,
33,002952,002952.SZ,电子纸+液晶显示+液晶光阀+外销
33,002980,002980.SZ,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表
33,003007,003007.SZ,商业航天+算力网络+OSS
33,003031,003031.SZ,光模块+SiC芯片+电子陶瓷+央企
33,300006,300006.SZ,创新药+卡纳琳+国企改革
33,300608,300608.SZ,算力调度+AI智能体+东数西算
33,300626,300626.SZ,机器人换向器+汽车电机+年报预增+国企
33,300812,300812.SZ,CPO+先进封装+Mini/Micro LED
17,600056,600056.SH,创新药+SPD业务+医药商业+中字头
17,600106,600106.SH,路桥收费+智慧城市+集成电路战略
22,600107,600107.SH,
17,600207,600207.SH,
22,600238,600238.SH,
17,600249,600249.SH,
17,600250,600250.SH,
17,600302,600302.SH,缝制设备+控制权变更+西安国资
17,600310,600310.SH,
22,600355,600355.SH,
17,600488,600488.SH,原料药+出口
17,600513,600513.SH,
22,600581,600581.SH,
22,600599,600599.SH,
17,600602,600602.SH,算力租赁+智能网联汽车+上海国资
22,600608,600608.SH,
17,600644,600644.SH,
17,600645,600645.SH,
17,600654,600654.SH,算力中心+智慧安防+三季报大增
22,600696,600696.SH,
17,600792,600792.SH,
17,600844,600844.SH,
17,600869,600869.SH,液冷+光纤+英伟达+中标项目
17,603008,603008.SH,
17,603016,603016.SH,
17,603017,603017.SH,
17,603033,603033.SH,BDO一体化+可降解塑料+橡胶制品
17,603067,603067.SH,提前赎回转债+铬盐龙头+固态电池+储能电站
17,603123,603123.SH,跨境支付+数字货币+百货零售+北京国资
17,603189,603189.SH,鸿蒙生态+AI视频+低空经济
22,603429,603429.SH,
17,603585,603585.SH,溴素涨价+百菌清涨价+阻燃剂
22,603813,603813.SH,
17,603966,603966.SH,机器人+起重机出海+无锡国资入主+年报增长
22,605081,605081.SH,
17,605133,605133.SH,人形机器人+汽车零部件+特斯拉
22,605199,605199.SH,
17,605303,605303.SH,存储芯片+园林工程
17,605589,605589.SH,电子材料+光刻胶+硅碳负极+军工材料
17,688146,688146.SH,氦气+电子特气+固态电池+央企
17,688205,688205.SH,1.6T光模块+CPO+算力
17,688226,688226.SH,光模块+光电产品+储能+高压母线
17,688485,688485.SH,拟收购半导体+第四代半导体+减振降噪
