涨停原因类别[20260520],股票代码,market_code,code
半导体硅片+供货晶圆厂+12英寸扩产,688584.SH,17,688584
高速连接器+存储芯片,002055.SZ,33,002055
股份转让+小家电,001259.SZ,33,001259
,603082.SH,17,603082
人形机器人+液冷服务器+汽车热管理,002126.SZ,33,002126
稀土永磁+机器人+一季报大增,002645.SZ,33,002645
薄膜电容器+AI硬件+机器人+新能源,600563.SH,17,600563
,600156.SH,17,600156
半导体真空泵+数据中心压缩机+光伏真空泵,002158.SZ,33,002158
半导体产业链+核级锆+锆铪分离,603663.SH,17,603663
特种水产饲料+越南投产+一季度高增长,001313.SZ,33,001313
存储芯片+PCIe6/7+UFS5.0,688449.SH,17,688449
光刻胶+芯片封装膜+拟收购金张科技+合肥国资,000859.SZ,33,000859
高压储能+重组进展+粤芯半导体,002169.SZ,33,002169
,000767.SZ,33,000767
,600180.SH,22,600180
固态电池+电子布纺织机+高端纺机+纺织机器人,003036.SZ,33,003036
控制权变更+缝制设备+机器人概念+西安国资,600302.SH,22,600302
,603121.SH,17,603121
机器人+染料助剂+海外扩张,603790.SH,17,603790
存储芯片+定增扩产+业绩暴增,603316.SH,17,603316
拟收购诚瑞科技+半导体设备+场地电动车,301322.SZ,33,301322
光刻胶+半导体设备+绿色厂务,603324.SH,17,603324
重组推进+芯片产线+央企,600962.SH,17,600962
,002082.SZ,33,002082
,603007.SH,17,603007
,600381.SH,22,600381
半导体设备+测试分选机+可转债扩产+一季报高增,603061.SH,17,603061
,002620.SZ,33,002620
液冷储能+算电一体化+一季报大增+智能电控,001266.SZ,33,001266
,002175.SZ,33,002175
地天板+ST反弹+石灰石+洛阳国资,600678.SH,22,600678
,000669.SZ,33,000669
持股长鑫科技+存储芯片涨价+一季报高增,603986.SH,17,603986
机器人+线性驱动+智能家居,605288.SH,17,605288
董事长增持+炭黑龙头+绿色降碳,002442.SZ,33,002442
间接投资长江存储+智能网联+上海国资,600611.SH,17,600611
半导体测试+华为合作+MLCC,301013.SZ,33,301013
间接投资长鑫科技+合肥国资+零售+农批,000417.SZ,33,000417
存储上游+光纤材料+硅产品,603938.SH,17,603938
液冷服务器+机器人+定增扩产,002272.SZ,33,002272
,603278.SH,17,603278
,600243.SH,22,600243
,002348.SZ,33,002348
收购中科西光+商业航天+复牌+特高压玻璃绝缘子,300069.SZ,33,300069
半导体石英坩埚+大尺寸光伏坩埚+客户验证加速,001269.SZ,33,001269
,002207.SZ,33,002207
,600769.SH,17,600769
存储芯片+长江产业控股+湖北国资,002654.SZ,33,002654
,000010.SZ,33,000010
淄博国资入主+葡萄酒+白兰地,603779.SH,17,603779
光纤涨价+一季报增长+特高压,603618.SH,17,603618
间接投资长存+创投+上海国资,600604.SH,17,600604
TSV封装+第三代半导体+车规CIS,603005.SH,17,603005
保健品+宠物新品+益生菌+养老护理,600530.SH,17,600530
,605299.SH,17,605299
,000029.SZ,33,000029
参股光纤公司+金属制品+环保业务,000890.SZ,33,000890
,600370.SH,22,600370
半导体设备+温控设备+并购扩张,002787.SZ,33,002787
超跌反弹+算力租赁+通信运维+新能源,301139.SZ,33,301139
,600936.SH,17,600936
存储芯片+电子雷管+低空经济,603375.SH,17,603375
光模块+6G+精密箱体,002796.SZ,33,002796
电池+负极材料+绿电+产能扩张,000695.SZ,33,000695
,002031.SZ,33,002031
白酒+全国化扩张+高端产品升级,603919.SH,17,603919
,603178.SH,17,603178
盐湖提锂+稀土永磁+核电树脂,301092.SZ,33,301092
,002918.SZ,33,002918
长鑫产业链+存储芯片+洁净室,601133.SH,17,601133
,600023.SH,17,600023
电源产品+SST高频变压器+机器人+墨西哥扩产,002782.SZ,33,002782
城中村改造+武汉地产+金属制品+碳中和,000926.SZ,33,000926
,600396.SH,17,600396
ST摘帽预期+卤味龙头+冷链物流,603517.SH,22,603517
芯片IP+控股奎芯科技+成品油,603353.SH,17,603353
摘帽+智能安防+军工信息化,003004.SZ,33,003004
,600578.SH,17,600578
,000911.SZ,33,000911
保健酒+海南国资+ST摘帽预期,600238.SH,22,600238
,002667.SZ,33,002667
,603580.SH,22,603580
氢氟酸涨价+大圆柱电池+一季报暴增,002407.SZ,33,002407
,600539.SH,17,600539
,000078.SZ,33,000078
司法拍卖+煤炭贸易,002072.SZ,33,002072
,600208.SH,17,600208
摘帽+生物医药+园林绿化,000518.SZ,33,000518
智能农机+机器人+无人割草机,600615.SH,17,600615
实控人变更+风电混塔+绿色电力,000809.SZ,33,000809
,600745.SH,22,600745
发电机组+数据中心+山东国资,000880.SZ,33,000880
,002081.SZ,33,002081
AI床垫+脑机接口+ST重整,603008.SH,22,603008
PI薄膜+AI服务器上游+商业航天+国产替代,688323.SH,17,688323
液冷服务器+AIoT平台+机器人概念+AI应用,002421.SZ,33,002421
人形机器人+智能制造+亏损收窄,002514.SZ,33,002514
控股股东拟变更+氢能密封+技改扩产+国企,301020.SZ,33,301020
,000056.SZ,33,000056
黑色健康食品+一季报高增+广西国资入主,000716.SZ,33,000716
上海微电子+集成电路+浦东国资,600895.SH,17,600895
覆铜板+AI算力+定增扩产,603186.SH,17,603186
GPU投资+芯片布局+纸包装,603687.SH,17,603687
液冷服务器+铝制换热器+氢能源,603090.SH,17,603090
,002392.SZ,33,002392
,601991.SH,17,601991
