market_code,code,股票代码,涨停原因类别[20260422]
22,600421,600421.SH,
33,002443,002443.SZ,焊接钢管+氢能管道+智能机器人+一季报预增
33,002418,002418.SZ,液冷算力+家电制冷+扭亏预增
33,000990,000990.SZ,煤制烯烃+一季报增长+青岛国资
17,603903,603903.SH,芯长征入主+污水处理+PPP
17,603618,603618.SH,一季报增长+光纤涨价+特高压+锂电铜箔
17,600736,600736.SH,商业航天+产业园运营+苏州+脑机接口
33,000711,000711.SZ,铟靶材+固危废资源化+ST炒作
17,605376,605376.SH,MLCC镍粉+光伏银包铜+年报高增
33,001270,001270.SZ,摘帽+T/R芯片+商业航天
33,002588,002588.SZ,业绩增长+复合肥龙头+磷酸铁
17,600703,600703.SH,光芯片+碳化硅+商业航天
33,002428,002428.SZ,磷化铟扩产+光纤级锗+商业航天
33,002731,002731.SZ,
33,002938,002938.SZ,PCB龙头+淮安HD园区动工+AI服务器+人形机器人
17,603906,603906.SH,锂矿入股+磷酸铁锂+业绩预增
17,600487,600487.SH,光纤涨价+海底电缆+CPO
17,605588,605588.SH,光掩膜版+半导体产业链+显示器件
33,002636,002636.SZ,覆铜板涨价+高频高速CCL+定增扩产
33,002542,002542.SZ,
17,601061,601061.SH,一季报大增+铜贸易+铌+央企
17,603778,603778.SH,
33,002201,002201.SZ,年报增长+商业航天+玻璃纤维+风电叶片
17,603606,603606.SH,业绩高增+海缆交付+订单饱满
33,002796,002796.SZ,光模块+6G概念+精密箱体
17,603115,603115.SH,AI服务器电极箔+储能电极箔+业绩高增+高分红
17,600869,600869.SH,一季报增长+定增+光纤+算力AI
17,600105,600105.SH,光纤概念+光芯片+年报增长
17,600126,600126.SH,算力租赁+钢铁智造+扭亏+浙江国资
17,600184,600184.SH,光纤+CPO+军工装备+央企
17,603637,603637.SH,石化工程+氢能源+控制权拟变更+地方国企
22,600696,600696.SH,退市博弈+酱香型白酒+ST板块
17,603773,603773.SH,玻璃基板+CPO+商业航天
33,300067,300067.SZ,拟收购烽云信息+算力服务+复牌
17,603272,603272.SH,
22,603813,603813.SH,申请撤销退市风险警示+氢能物流+供应链服务
17,600396,600396.SH,火电+氢能+央企
33,002898,002898.SZ,
33,002227,002227.SZ,
33,002384,002384.SZ,光模块+AI PCB+年报增长
33,001234,001234.SZ,服装贴牌+回购注销+广州国资入主
33,000751,000751.SZ,金属铟+黄金概念+锌冶炼
17,600446,600446.SH,AI金融科技+数字人民币+亏损收窄
17,600234,600234.SH,建筑工程+抖音概念+数字营销+定增
17,600641,600641.SH,离子注入机+半导体设备+铋材料+股权激励
33,000004,000004.SZ,
17,600683,600683.SH,拟剥离地产+TOD轨道物业+北京国资
33,002256,002256.SZ,盐湖提锂+光伏+精细化工+一季报增长
33,002620,002620.SZ,重整投资人+光伏建筑一体化+建筑装饰
22,605081,605081.SH,
33,002808,002808.SZ,
17,600330,600330.SH,铌酸锂晶体+光模块+商业航天
33,300890,300890.SZ,钠离子电池+硅碳负极+一季报扭亏+定增扩产
17,601512,601512.SH,苏州+机器人+绿色电力+年报增长
33,002005,002005.SZ,ST摘帽预期+LED封装+小家电出口+扭亏预增
33,000669,000669.SZ,重整协议+天然气+ST
33,002397,002397.SZ,高端家纺+C2M+三胎概念
22,600636,600636.SH,
33,002360,002360.SZ,重整预期+PBAT项目+民爆
22,600193,600193.SH,
33,002194,002194.SZ,6G预研+商业航天+射频器件龙头
33,301003,301003.SZ,改性塑料+下游应用广泛
33,002081,002081.SZ,商业航天产业配套+半导体洁净室+越南合作+EPC总包
22,688287,688287.SH,
17,605365,605365.SH,LED照明+北美订单+机器人+泰国基地
17,688048,688048.SH,光通信芯片+激光雷达+扭亏为盈
33,000062,000062.SZ,分销龙头+存储芯片+华为昇腾+一季报预增
22,603822,603822.SH,生物航煤+扭亏+出口白名单
151,920981,920981.BJ,晶振+封装材料+年报增长
17,600815,600815.SH,工程装备+雅鲁藏布江水电+厦门国资
17,603959,603959.SH,
22,600243,600243.SH,
33,003018,003018.SZ,液冷产能扩张+瓶盖龙头+饮料供应链
17,600052,600052.SH,收购调整+锂电池+热水服务+国资背景
33,002432,002432.SZ,AI医疗+AI投资+四联检获批
17,603496,603496.SH,智算可视化+液冷服务器+拟现金并购数珩科技
17,603318,603318.SH,燃气轮机掺氢+天然气+氢能应用+山东国资
33,000811,000811.SZ,液冷+核电+氦气压缩机
