涨停原因类别[20260331],code,股票代码,market_code
轨道交通+盾构机龙头+中字头,600528,600528.SH,17
申请撤销退市风险警示+充电桩+地方国资,002168,002168.SZ,33
年报高增+出口新能源+高股息,600066,600066.SH,17
,600599,600599.SH,22
清洁电器+机器人订单+小米客户,603657,603657.SH,17
,000638,000638.SZ,33
大排量摩托+出口增长+吉利系,000913,000913.SZ,33
足球概念+体育产业+健身器材+外销,605299,605299.SH,17
年报增长+铁路物流+一带一路+央企,000927,000927.SZ,33
,000711,000711.SZ,33
司美格鲁肽+创新药+欧盟出口,605116,605116.SH,17
太空算力+增资轨道辰光+环保纸,002565,002565.SZ,33
海峡两岸+福建自贸区+林木主业,000592,000592.SZ,33
AI营销+抖音概念+持股中书艺莲+VR文旅,002995,002995.SZ,33
电缆+光纤+实控人中国华能+央企,000720,000720.SZ,33
,600355,600355.SH,22
高股息+智慧楼宇+电梯+机器人,600894,600894.SH,17
年报增长+创新药CDMO+境外订单,002821,002821.SZ,33
算力储能+固态电池+山东国资,002580,002580.SZ,33
盾构机+岩土工程+低空经济+成都国资,002542,002542.SZ,33
年报增长+基建龙头+低空经济+国企改革,600502,600502.SH,17
轨交装备+央企,301048,301048.SZ,33
汽车零部件+电控减振器+低空经济+吉林国资,000030,000030.SZ,33
,000908,000908.SZ,33
特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革,002263,002263.SZ,33
光纤涨价+CPO+深圳国资,000070,000070.SZ,33
轨交设备+高铁车轴+央企增持,600495,600495.SH,17
,600982,600982.SH,17
铝型材+光伏铝材+国企改革,002578,002578.SZ,33
,000691,000691.SZ,33
机器人轴承+汽车轴承+军工轴承+湖北国资,000678,000678.SZ,33
光纤概念+人形机器人+军工装备+央企,600184,600184.SH,17
盾构机+深地经济+风电,001239,001239.SZ,33
商业航天+深海系泊+索具龙头,002342,002342.SZ,33
齿轮减速机+机器人+锂电设备,301255,301255.SZ,33
卫星+低空经济+音视频产品,603660,603660.SH,17
ST摘帽预期+通信工程+重整完成,603559,603559.SH,22
电力+储能+业绩预增,000037,000037.SZ,33
创新药+原料药+出口,600488,600488.SH,17
,000609,000609.SZ,33
固态电池+烟草包装+ST摘帽博弈,603429,603429.SH,22
年报高增+特高压线缆+航空零部件+机器人电缆,002560,002560.SZ,33
,600136,600136.SH,22
,603813,603813.SH,22
煤炭运输+航空物流+跨境电商+一带一路,002800,002800.SZ,33
TOPCon电池+无缝服装外销+预重整推进,002634,002634.SZ,33
拟收购新承航锐+商业航天+液压龙头,301079,301079.SZ,33
商业航天+无人机+聚酯树脂+地方国资,002361,002361.SZ,33
间接投资张雪机车+人形机器人+减速器,301008,301008.SZ,33
张雪机车合作+微型链+灵巧手,003033,003033.SZ,33
创新药+一季报预增+阿尔茨海默,002082,002082.SZ,33
,600238,600238.SH,22
,000004,000004.SZ,33
热电联产+储能+回购,605162,605162.SH,17
年报增长+小鹏汇天+储能热管理+移动式热管理,002454,002454.SZ,33
体育产业+彩票概念+央企背景,600158,600158.SH,17
高铁+轨交机器人+锂电池+央企,000008,000008.SZ,33
,605081,605081.SH,22
,000608,000608.SZ,33
创新药+儿科药+海南自贸区,605199,605199.SH,22
绿色电力+光伏设备+硅片,601908,601908.SH,17
,603268,603268.SH,22
复牌+特钢+新疆龙头+央企,600581,600581.SH,22
绿色电力+福建国资+风电试点,000993,000993.SZ,33
IP经济+绿色地产+数字文旅,000863,000863.SZ,33
,603822,603822.SH,22
旅游+商贸+IP经济+南京国资,600250,600250.SH,17
太空光伏+钙钛矿+绿电,002218,002218.SZ,33
一季报预增+钛白粉涨价+珠光材料,603826,603826.SH,17
年报增长+AI智能体+信创,603039,603039.SH,17
清洁能源转型+储能+风电+回购注销,000631,000631.SZ,33
复牌+控制权变更+溢价转让+民用水泵,300992,300992.SZ,33
,002538,002538.SZ,33
股权转让+聚苯乙烯+回购完成,300834,300834.SZ,33
庭外重组+深圳国资+智慧城市,002528,002528.SZ,33
海峡两岸+中药饮片+医药分销,002788,002788.SZ,33
