股票代码,market_code,code,涨停原因类别[20260408]
002491.SZ,33,002491,光纤光缆+数据中心+储能消防
002716.SZ,33,002716,银价大涨+湖南国资+全产业链
002957.SZ,33,002957,光模块+半导体设备+精密零部件制造+业绩预增
000426.SZ,33,000426,黄金+银锡主业+增持评级
603890.SH,17,603890,拟收购液冷+人形机器人+AIPC
002055.SZ,33,002055,高速连接器+高压快充+大幅减亏
688693.SH,17,688693,SiC功率器件+拟收购晶艺半导体
600666.SH,17,600666,算力租赁+扭亏为盈+蓝宝石
002928.SZ,33,002928,支线航空+油价回落+业绩预增
000638.SZ,33,000638,
600608.SH,22,600608,
000506.SZ,33,000506,黄金+扭亏+国企
002797.SZ,33,002797,证券+北京国资+期货概念
605016.SH,17,605016,业绩高增+阿洛酮糖+泰国扩产
002273.SZ,33,002273,AI光学+车载光学+北美涂布滤光片
605305.SH,17,605305,风电设备+储能消防+年报预增
000818.SZ,33,000818,
601069.SH,17,601069,一季度预增+黄金采选冶+新疆国资
301070.SZ,33,301070,拟控股威泰思+光通信+HVLS风扇
688655.SH,17,688655,PCB样板+800G光模块+CPO
002995.SZ,33,002995,AI营销+抖音概念+持股中书艺莲+VR文旅
300475.SZ,33,300475,业绩暴增+存储芯片涨价+海普存储量产
002353.SZ,33,002353,燃气轮机+北美数据中心+油气装备
605060.SH,17,605060,燃气轮机+液冷+精密零部件+年报增长
600743.SH,17,600743,物业+轻资产转型+国企
603950.SH,17,603950,复牌+重大资产重组+柴油动力单元+热交换系统
002008.SZ,33,002008,PCB设备+半导体设备+商业航天+东南亚扩产
000968.SZ,33,000968,
603619.SH,17,603619,
002713.SZ,33,002713,算力中心+家装AI+重整完成
603757.SH,17,603757,液冷+储能+算力+泵业龙头
600869.SH,17,600869,光纤+英伟达+中标项目
600841.SH,17,600841,柴油发动机+数据中心+年报扭亏+上海国资
002536.SZ,33,002536,液冷服务器+机器人+汽车热管理
002155.SZ,33,002155,黄金+钨锑涨价+拟资产重组+湖南国资
002046.SZ,33,002046,商业航天+金刚石散热+轴承+央企
002342.SZ,33,002342,商业航天+深海系泊+索具龙头
601137.SH,17,601137,摩洛哥扩产+液冷散热+商业航天+有色合金
600115.SH,17,600115,航空运输+央企+回购注销
600654.SH,17,600654,算力中心+智慧安防+三季报暴增
605289.SH,17,605289,算力+液冷+AR/VR
002634.SZ,33,002634,TOPCon电池+无缝服装外销+预重整推进
600228.SH,22,600228,AI导购+电商零售+毛利率转正
001337.SZ,33,001337,金精矿+年报高增+四川国资
600721.SH,17,600721,金华国资入主+CRO+复杂制剂
600381.SH,22,600381,
002380.SZ,33,002380,工业AI+火电DCS+机器人
603211.SH,17,603211,机器人+特斯拉+铝合金压铸
600777.SH,22,600777,
605162.SH,17,605162,热电联产+储能+比亚迪供热+回购
002663.SZ,33,002663,广告营销+城市运营+华为项目+康养布局
002213.SZ,33,002213,存储芯片+锂矿资源+拟定增
002181.SZ,33,002181,AI营销+全运会IP+广州国资+年报增长
601002.SH,17,601002,高铁扣件+业绩大增+海峡两岸
000892.SZ,33,000892,AIGC短剧+影视制作+互动剧
603629.SH,17,603629,算力租赁+英伟达合作+年报预增
603598.SH,17,603598,AI营销+短剧出海+业绩预增
920171.BJ,151,920171,智慧城市+服务器订单+年报预增
603315.SH,17,603315,燃气轮机+核电铸件+水电转轮
688630.SH,17,688630,PCB高端化+先进封装+业绩高增
600984.SH,17,600984,一带一路+工程机械+煤矿智能开采+陕西国资
603516.SH,17,603516,液冷测试+芯片+显控系统
002606.SZ,33,002606,特高压+海外订单+江西二期
300058.SZ,33,300058,AI应用+出海营销+业绩预增
002400.SZ,33,002400,AI营销+出海营销+广东国资
603822.SH,22,603822,生物航煤+扭亏+出口白名单
603083.SH,17,603083,1.6T光模块+800G放量+CPO布局+北美扩产
603881.SH,17,603881,算力租赁+阿里+上海国资
002478.SZ,33,002478,HRSG满产（用于燃机）+特材投产+核电管材
600815.SH,17,600815,绿色装备+雅鲁藏布江水电+厦门国资
603196.SH,17,603196,锂电池重组+PAA粘结剂+服装+扭亏为盈
002348.SZ,33,002348,定增募资+固态电池（尚未投产）+潮玩玩具
600186.SH,17,600186,业绩预增+算力租赁+调味品
002708.SZ,33,002708,人形机器人+关节模组+黄山国资
002484.SZ,33,002484,算力+铝电解电容+人形机器人+浙江国资
603595.SH,22,603595,消费电子+富士康+股权转让
600356.SH,17,600356,烟标扩产+并购落地+黑龙江国资
000811.SZ,33,000811,液冷+核聚变+烟台国资
002598.SZ,33,002598,
605318.SH,17,605318,装配式建筑+AI子公司+亏损收窄
600599.SH,22,600599,烟花爆竹+退市博弈+业绩预盈
300571.SZ,33,300571,算力+提供担保
000917.SZ,33,000917,文化传媒+创投+湖南国资
603175.SH,17,603175,AI算力PCB+存储芯片+特斯拉
688485.SH,17,688485,第四代半导体+拟收购半导体+减振降噪
002051.SZ,33,002051,中东重建+一带一路+算力+央企
001270.SZ,33,001270,T/R芯片+商业航天+扭亏为盈+摘帽预期
000889.SZ,33,000889,算力销售+5G消息+短信通道
600114.SH,17,600114,人形机器人+MIM+算力
002131.SZ,33,002131,AI营销+液冷泵+扭亏为盈
605258.SH,17,605258,高频PCB+汽车电子+高分红
002929.SZ,33,002929,算力出海+AI智能体+通信管维
