code,股票代码,market_code,涨停原因类别[20260525]
002957,002957.SZ,33,光器件耦合设备+半导体设备+精密零部件
603001,603001.SH,17,皮鞋+C2M+一季报扭亏
002055,002055.SZ,33,高速连接器+存储芯片+AI算力
000988,000988.SZ,33,800G光模块+AI算力+武汉国资
000564,000564.SZ,33,供销社+零售+海南自贸港
300626,300626.SZ,33,机器人换向器+控股股东股权转让+国企
603823,603823.SH,17,PEEK材料+光刻胶颜料+有机颜料龙头
002940,002940.SZ,33,
002645,002645.SZ,33,稀土永磁+机器人+一季报大增
300835,300835.SZ,33,芯片电感+服务器电源+越南扩产+永磁铁氧体
600156,600156.SH,17,
600592,600592.SH,17,人形机器人+商业航天+关节轴承+漳州国资
600053,600053.SH,22,
002409,002409.SZ,33,半导体前驱体+HBM+存储芯片+分红
603256,603256.SH,17,电子布+PCB+H股发行+业绩暴增
603663,603663.SH,17,半导体产业链+锆铪分离+核级锆
603359,603359.SH,22,
600726,600726.SH,17,热电联产+煤炭+绿电转型+央企
002613,002613.SZ,33,玻璃深加工+钙钛矿设备+建筑节能
002745,002745.SZ,33,MicroLED+光通信+PCB+一季报增长
000980,000980.SZ,33,整车复产+海外布局+新能源汽车
002674,002674.SZ,33,柔性电子皮肤+机器人材料+汽车内饰
001365,001365.SZ,33,
603778,603778.SH,17,
002438,002438.SZ,33,核电阀门+液冷服务器+商业航天
002759,002759.SZ,33,
600180,600180.SH,22,
003036,003036.SZ,33,电子布纺织机+纺织机器人+固态电池+高端纺机
600996,600996.SH,17,算力租赁+广电5G+贵州国资
600302,600302.SH,22,控制权变更+缝制设备+机器人概念+西安国资
603360,603360.SH,17,半导体设备+芯慧联+工业杀菌剂
002585,002585.SZ,33,MLCC离型膜+复合铜箔+扭亏为盈
603790,603790.SH,17,
600520,600520.SH,17,先进封装+半导体设备+合肥国资
000016,000016.SZ,33,华润保壳预期+PCB+存储芯片
600637,600637.SH,17,超聚变IPO+AI应用+上海国资
600503,600503.SH,17,机器人+创新药+房地产
002634,002634.SZ,33,美年大健康入主+预重整推进+无缝服装
002980,002980.SZ,33,光通信测试+伽蓝特并购+AI眼镜
605198,605198.SH,17,浓缩果汁龙头+外销+回购注销
600234,600234.SH,17,算力租赁+抖音概念+建筑工程
600381,600381.SH,22,申请摘帽+酒水高增+虫草业务
002380,002380.SZ,33,
002888,002888.SZ,33,
300779,300779.SZ,33,废塑料循环+危废处理
001211,001211.SZ,33,
002388,002388.SZ,33,第一大客户华为+六氟磷酸锂+电子信息产品销售
603661,603661.SH,17,投资GPU公司+培育钻石+家居用品+出口
002156,002156.SZ,33,先进封装+存储芯片封测+AMD链
600735,600735.SH,22,资金占用清偿+石墨新材料+发制品出口
600603,600603.SH,17,煤炭+疆煤外运+回购
600863,600863.SH,17,新能源装机+煤电联营+央企
002951,002951.SZ,33,储能电站+超级电容+回购注销
002175,002175.SZ,33,广西国资终止入主+智能物流+精密量具
000409,000409.SZ,33,采掘机械机器人+AI能源+采煤+山东国资
600395,600395.SH,17,煤炭+煤电一体化+贵州国资
002691,002691.SZ,33,机器人+煤矿装备+ST摘帽预期
600376,600376.SH,17,间接持股宇树科技+城市更新+北京国资+一季报减亏
688110,688110.SH,17,H股上市+GPU布局+存储芯片
002897,002897.SZ,33,800G高速连接器+华为链+CPO+液冷
601608,601608.SH,17,矿山装备+人形机器人+央企
002012,002012.SZ,33,电解电容器纸+特种纸+控股股东破产清算
000966,000966.SZ,33,火电+煤电装机+绿色转型+央企
002297,002297.SZ,33,硬质合金涨价+商业航天+湖南国资
600172,600172.SH,17,金刚石散热+培育钻石+半导体+重大突破
603021,603021.SH,22,ST博弈+日用玻璃+委托贷款
603083,603083.SH,17,CPO概念+800G/1.6T光模块+订单旺盛
605111,605111.SH,17,功率半导体+人形机器人+MOSFET+先进封装
600186,600186.SH,17,算力到货+Token工厂+类ABF膜+味精龙头
603496,603496.SH,17,
002323,002323.SZ,33,股权划转+枣庄国资+BIPV
600730,600730.SH,22,半导体封测+AI教育+国资背景
300975,300975.SZ,33,存储芯片+分销+机器人
603595,603595.SH,22,碳化硅+股权转让+一季报增长
603010,603010.SH,17,PCB阻燃剂+磷系阻燃剂+泰国基地
002207,002207.SZ,33,新疆国资+油气服务+转型预期
605566,605566.SH,17,拟采购服务器+机器人皮肤+染料
000010,000010.SZ,33,
002741,002741.SZ,33,股权激励+PCB化学品
600851,600851.SH,17,创新药+APDC三期+医药制造
002552,002552.SZ,33,PCB铜箔+黄金采选+Q1业绩大增
002976,002976.SZ,33,光通信散热布局+空气悬架+特斯拉概念
603378,603378.SH,22,重整预期+建筑节能+ST板块
002735,002735.SZ,33,薄膜电容+可控核聚变+军工电子
000875,000875.SZ,33,绿氢氨醇+新能源装机+央企
688347,688347.SH,17,并购华力微+存储芯片+上海国资
600759,600759.SH,22,
603005,603005.SH,17,TSV封装+车规CIS+第三代半导体+CPO
603303,603303.SH,17,车载照明+车灯控制器+汽车电子+收购嘉利股份
688362,688362.SH,17,先进封装+AI芯片+转债赎回
603936,603936.SH,17,800G光模块PCB+AMB陶瓷衬板+AI算力
000677,000677.SZ,33,
000711,000711.SZ,33,铟靶材+一季度扭亏+摘帽预期
002693,002693.SZ,33,摘帽+复牌+多肽出口+紫杉醇美国获批
002045,002045.SZ,33,
002051,002051.SZ,33,中东重建+国际工程+算力+一带一路
002726,002726.SZ,33,
002938,002938.SZ,33,PCB龙头+光模块+AI服务器+人形机器人
603871,603871.SH,17,蒙煤贸易+中俄贸易+非洲物流
600370,600370.SH,22,瓶级聚酯切片+一季报扭亏+超跌反弹
605588,605588.SH,17,光掩膜版+半导体产业链+半导体显示
605580,605580.SH,17,培育钻石+芯片散热+热电联产
002717,002717.SZ,33,
002526,002526.SZ,33,煤机+机器人+无人机
603220,603220.SH,17,
