股票代码,涨停原因类别[20260420],code,market_code
002491.SZ,光纤光缆+数据中心+储能消防,002491,33
002418.SZ,液冷算力+家电制冷+扭亏预增,002418,33
002309.SZ,光伏储能+光纤概念+厦门国资,002309,33
600746.SH,,600746,17
002149.SZ,商业航天+可控核聚变+稀有金属+国企,002149,33
603789.SH,摘帽预期+农机+无人驾驶+专用车注入,603789,22
600156.SH,算力租赁+液冷+拟收购易信科技+湖南国资,600156,17
002324.SZ,机器人+商业航天+脑机接口,002324,33
002731.SZ,,002731,33
600800.SH,丙烯酸酯投产+氢能源+天津国资,600800,17
600118.SH,卫星制造+商业航天+年报增长+央企,600118,17
600961.SH,一季报增长+黄金+铟金属+央企,600961,17
603778.SH,固态电池+异质结光伏+终止收购,603778,17
002496.SZ,提交撤销退市风险警示申请+功能肥+氢能源,002496,33
605222.SH,商业航天+电线电缆+海缆扩产+转债有望提前赎回,605222,17
603912.SH,液冷+算力+东数西算,603912,17
002536.SZ,液冷服务器+机器人+汽车热管理,002536,33
603360.SH,,603360,17
301265.SZ,存储芯片+贵金属回收+一季报预增,301265,33
002843.SZ,数据中心电源+商业航天+锯切龙头,002843,33
000609.SZ,半导体资产注入+房地产回款+ST博弈,000609,33
002560.SZ,特高压线缆+航空零部件+一季报预增,002560,33
001366.SZ,猪饲料+合成生物+业绩预增,001366,33
600979.SH,电力+液冷服务器+分布式光伏+国企改革,600979,17
001400.SZ,液冷服务器+商业航天+3D打印+铝挤压模具,001400,33
600234.SH,建筑工程+抖音概念+数字营销+定增,600234,17
600381.SH,退市博弈+高端白酒+虫草龙头,600381,22
000004.SZ,,000004,33
605162.SH,热电联产+储能+比亚迪供热+回购,605162,17
600433.SH,造纸行业+氢能碳纸+烟用白卡纸+收储补偿,600433,17
002620.SZ,重整投资人+光伏建筑一体化+建筑装饰,002620,33
003023.SZ,电热毯龙头+母婴驱蚊+露营经济+AI营销,003023,33
000669.SZ,,000669,33
300540.SZ,商业航天+氢能装备+燃料电池+四川国资,300540,33
600636.SH,,600636,22
002297.SZ,一季报业绩预增+商业航天+硬质合金,002297,33
600206.SH,半导体靶材+稀土永磁+央企+业绩预增,600206,17
600149.SH,供热+京津冀一体化+国企,600149,17
600243.SH,退市博弈+减速器+电梯配件,600243,22
000949.SZ,氨纶扩产+生物质长丝龙头+国企,000949,33
603595.SH,新能源汽车+消费电子+碳化硅,603595,22
603318.SH,燃气设备+氢能应用+山东国资,603318,17
605178.SH,,605178,17
603052.SH,硅光芯片+光模块+消费电子,603052,17
603108.SH,AI医疗+华为合作+杭州国资,603108,17
003006.SZ,盈利修复+卫生巾+纸尿裤+全国扩张,003006,33
600599.SH,,600599,22
688811.SH,商业航天+铝基复材+央企,688811,17
603261.SH,退市博弈+C919配套+航空装备,603261,22
605299.SH,足球概念+体育产业+健身器材+外销,605299,17
603699.SH,年报增长+核电阀门+氢能应用,603699,17
600707.SH,玻璃基板+ITC胜诉+国企改革,600707,17
000711.SZ,,000711,33
600072.SH,中船系+风电+氢氨醇,600072,17
001270.SZ,摘帽+T/R芯片+商业航天,001270,33
600601.SH,AI扩建+HDI+光模块+珠海国资,600601,17
002428.SZ,磷化铟扩产+光纤级锗+商业航天,002428,33
603189.SH,,603189,17
603057.SH,限制性股票激励+卤味龙头+一带一路,603057,17
603332.SH,年报增长+高分红+仿皮草纤维+涤纶长丝,603332,17
601698.SH,卫星互联网+商业航天+央企,601698,17
001229.SZ,商业航天+光纤KVMS+分布式视听,001229,33
002492.SZ,石化仓储+创投+横琴新区,002492,33
000752.SZ,ST重整+拟全资控股拉萨啤酒+业绩预增,000752,33
000586.SZ,光纤+特种光缆+车载电子+定增推进,000586,33
002331.SZ,智慧高速+智慧交通+AI运维+华为合作,002331,33
603178.SH,低空经济+机器人关节+新能源电驱,603178,17
002885.SZ,电源类产品+磁性元器件+数据中心+业绩预增,002885,33
600184.SH,光纤概念+人形机器人+军工装备+央企,600184,17
002289.SZ,IDC并购+算力租赁+液晶显示,002289,33
002300.SZ,海缆+数据中心+特高压,002300,33
600696.SH,退市博弈+酱香型白酒+ST板块,600696,22
603773.SH,玻璃基板+CPO+商业航天,603773,17
603272.SH,,603272,17
000404.SZ,一季报增长+压缩机龙头+国企,000404,33
002935.SZ,商业航天+原子钟+军工存储+央企,002935,33
603813.SH,退市风险博弈+氢能物流+电商物流,603813,22
002898.SZ,,002898,33
002361.SZ,商业航天+无人机+聚酯树脂+地方国资,002361,33
600872.SH,一季报增长+味滋美并购+大股东增持,600872,17
002686.SZ,数据中心冷却+控制权变更+浙江国资,002686,33
002217.SZ,算力租赁+电子纸+福建国资,002217,33
002647.SZ,AI算力+第三方支付+摘帽,002647,33
002512.SZ,商业航天+卫星通信+显示主板,002512,33
600590.SH,算力+军工电源+储能,600590,17
605081.SH,,605081,22
