股票代码,code,涨停原因类别[20260529],market_code
603890.SH,603890,戴尔产业链+AIPC镁合金+人形机器人,17
000025.SZ,000025,物业租赁+深圳国资+黄金珠宝,33
001360.SZ,001360,,33
002273.SZ,002273,,33
600110.SH,600110,铜箔+HVLP+固态电池+满产满销,17
605500.SH,605500,,17
600460.SH,600460,,17
002995.SZ,002995,AI营销+字节概念+持股中书艺莲+VR文旅,33
600726.SH,600726,热电联产+煤炭产销+一季报增长+央企,17
002173.SZ,002173,,33
002613.SZ,002613,,33
605177.SH,605177,头孢需求回暖+阿尔茨海默+原料药制剂一体化,17
000799.SZ,000799,白酒+胖东来联名+央企+一季报改善,33
600265.SH,600265,协议转让引战投+林业+算力租赁,22
600280.SH,600280,百货零售+罗森便利店+中华老字号,17
002983.SZ,002983,,33
002465.SZ,002465,,33
300486.SZ,300486,智能物流+机器人+扭亏为盈+海外订单,33
002169.SZ,002169,,33
002713.SZ,002713,,33
000767.SZ,000767,火电+新能源+国企改革,33
600869.SH,600869,光通信+算力AI+减持完毕+一季报增长,17
000670.SZ,000670,,33
002792.SZ,002792,,33
601702.SH,601702,分红+铝热传输材料+特斯拉概念,17
002990.SZ,002990,,33
603616.SH,603616,水利管道+拟购PEEK+PCCP大单,17
002585.SZ,002585,,33
000037.SZ,000037,电力+综合能源+储能+一季报扭亏,33
002952.SZ,002952,,33
600488.SH,600488,新品获批+仿制药+甾体激素,17
301439.SZ,301439,戴尔合作+高速铜缆+电源线龙头+分红除权,33
301360.SZ,301360,MLCC+固态电池+一季报增长+AI眼镜,33
002634.SZ,002634,美年大健康入主+预重整推进+无缝服装,33
603324.SH,603324,光刻胶+半导体设备+股权激励,17
001366.SZ,001366,,33
600979.SH,600979,电力+液冷服务器+光伏储能+水电补偿款,17
603286.SH,603286,,17
002380.SZ,002380,,33
600381.SH,600381,申请摘帽+听花酒增长+转型预期,22
000151.SZ,000151,成套设备出口+储能+央企+一带一路,33
002388.SZ,002388,,33
600622.SH,600622,城市更新+不动产资管+征收补偿+央企,17
603391.SH,603391,,17
600863.SH,600863,电力+新能源+煤电联营+央企,17
600693.SH,600693,零售+首店经济+转让仓储物流资产,17
601958.SH,601958,,17
601086.SH,601086,新零售+算力布局+一季报增长,17
000669.SZ,000669,实控人变更+天然气+ST板块,33
002824.SZ,002824,折叠屏+电池结构件+铝合金型材+分红,33
002442.SZ,002442,,33
002012.SZ,002012,,33
002119.SZ,002119,,33
002297.SZ,002297,,33
605277.SH,605277,戴尔产业链+高频高速铜缆+消费电子,17
600011.SH,600011,电力+算电协同+绿色电力+央企,17
002643.SZ,002643,,33
001269.SZ,001269,半导体石英坩埚+光伏坩埚,33
002323.SZ,002323,实控人变更+BIPV+国资划转,33
600857.SH,600857,零售+老字号+杭州金帝入主,17
002207.SZ,002207,新疆国资+油气服务+转型预期,33
000010.SZ,000010,庭外重组+一季报扭亏+市政工程,33
603922.SH,603922,,22
603290.SH,603290,,17
603779.SH,603779,,17
603601.SH,603601,,17
601116.SH,601116,零售+社区生鲜+阿里概念,17
688622.SH,688622,拟收购量羲技术+量子计算+质谱仪,22
603261.SH,603261,,22
600759.SH,600759,拍卖撤回+油气开采+一季报增长+ST板块,22
603005.SH,603005,,17
600530.SH,600530,保健品+宠物新品+益生菌+养老护理,17
603303.SH,603303,车载照明+车灯控制器+汽车电子+收购嘉利股份,17
603435.SH,603435,BOPP电工膜+复合铜箔+次新股,17
600707.SH,600707,,17
002669.SZ,002669,,33
000711.SZ,000711,,33
001270.SZ,001270,,33
600865.SH,600865,零售+恒隆长期租约+收藏品改造,17
002806.SZ,002806,超级电容用材料+铝箔材+SiC控制器+实控人变更,33
000539.SZ,000539,电力+业绩减亏+广东国资,33
601566.SH,601566,男裤龙头+太空裤+分红+网红经济,17
000969.SZ,000969,,33
600370.SH,600370,PTA装置完成检修+瓶级聚酯切片+一季度扭亏,22
603011.SH,603011,光模块结构件+CCL/PCB层压设备+高端成形机床,17
605399.SH,605399,,17
002617.SZ,002617,,33
002608.SZ,002608,火电+股东增持+江苏国资,33
000725.SZ,000725,,33
002102.SZ,002102,维生素E+控制权稳定+国企,33
603060.SH,603060,存量房检测+检验检测龙头+商业航天+央企,17
002918.SZ,002918,,33
002289.SZ,002289,摘帽申请+一季报暴增+IDC并表+算力租赁,33
603203.SH,603203,,17
000926.SZ,000926,武汉地产+城中村改造+算力+金属制品,33
000090.SZ,000090,城中村改造+地产+董事长变更+深圳国资,33
603353.SH,603353,,17
600828.SH,600828,百货零售+商业不动产REITs+商管,17
001257.SZ,001257,,33
002185.SZ,002185,,33
688108.SH,688108,拟赴港上市+冠脉支架欧盟获批+介入医疗器械,17
002667.SZ,002667,,33
002512.SZ,002512,,33
002922.SZ,002922,,33
600187.SH,600187,污水处理+回购+一季报扭亏,22
000078.SZ,000078,医药流通+股权转让+ST板块,33
002856.SZ,002856,庭外重组+建筑装饰+佛山国资,33
000608.SZ,000608,商业地产+承诺不减持+撤销风险警示,33
603398.SH,603398,预重整+股东会决议+光伏硅片,22
002251.SZ,002251,胖东来调改+零售+线上业务开放,33
600745.SH,600745,80亿诉讼+转债下修+半导体,22
605069.SH,605069,,17
603373.SH,603373,,17
