涨停原因类别[20260706],code,股票代码,market_code
职教龙头+AI就业,002607,002607.SZ,33
,603001,603001.SH,17
协议转让+具身智能+商业航天+视频技术,688039,688039.SH,17
芯长征入主+功率半导体+污水处理+一季报扭亏,603903,603903.SH,17
,002963,002963.SZ,33
,603978,603978.SH,17
猪肉+成本领先+数智化,603477,603477.SH,17
控制权变更+新能源+农业机械+ST板块,603789,603789.SH,22
交换机+硅光芯片+机器人+国资,603118,603118.SH,17
旧梯更新+AI电梯+股权转让+一带一路,002774,002774.SZ,33
变压器出海+AIDC直流配电+电网设备,603861,603861.SH,17
液冷服务器+CPO散热+导热材料龙头,300684,300684.SZ,33
覆铜板+PCB上游+盐湖提锂参股,002141,002141.SZ,33
小游戏+字节合作+日化双主业,002919,002919.SZ,33
机器视觉+机器人+半导体,600288,600288.SH,17
,002565,002565.SZ,33
燃气轮机+AI数据中心+一季报增长,605060,605060.SH,17
,603407,603407.SH,17
,600397,600397.SH,17
交换机+算力+GPU板卡+一季报增长,301191,301191.SZ,33
,603778,603778.SH,17
液冷泵+算力温控+泵业龙头,603757,603757.SH,17
水牛奶+新式茶饮+种源突破+引入战投,002329,002329.SZ,33
,600869,600869.SH,17
庭外重组+海外煤炭+ST板块,600180,600180.SH,22
,002106,002106.SZ,33
,605222,605222.SH,17
装饰原纸+高分红+盈利修复,605377,605377.SH,17
天然气+氢能+一季报增长+实控人变更,000593,000593.SZ,33
光通信+光伏组件+家电零部件,002860,002860.SZ,33
,920193,920193.BJ,151
,002657,002657.SZ,33
,603026,603026.SH,17
国产算力+CPO硅光数据中心交换机+董事长变更,000938,000938.SZ,33
,603626,603626.SH,17
与宇树科技合资+人形机器人+机器人零部件,603211,603211.SH,17
人形机器人+工业机器人+炊具,002403,002403.SZ,33
ST板块+面值退市博弈+电子纸模组,688496,688496.SH,22
机器人+工业自动化+北美汽车产业链,600215,600215.SH,17
互动影游+短剧+AI应用,000892,000892.SZ,33
控制权变更+碳基新材料+精密数显量具,002175,002175.SZ,33
煤炭+甲醇+一季报增长+北京国资,601101,601101.SH,17
,600783,600783.SH,17
,002119,002119.SZ,33
金刚石散热+培育钻石+许昌国资,600172,600172.SH,17
国产算力+液冷服务器+CPU+央企,000066,000066.SZ,33
,688669,688669.SH,17
,600367,600367.SH,17
,603278,603278.SH,17
,002971,002971.SZ,33
,600730,600730.SH,22
,002207,002207.SZ,33
机器人概念+芯片概念+智慧燃气,002767,002767.SZ,33
柴油发电机+电机铁芯+扭亏为盈,603819,603819.SH,17
,600769,600769.SH,17
半年报预增+数据中心交换机+CPO+福建国资,002396,002396.SZ,33
,002575,002575.SZ,33
,002552,002552.SZ,33
,601678,601678.SH,17
,603601,603601.SH,17
,002080,002080.SZ,33
,603618,603618.SH,17
,688622,688622.SH,22
香精香料+鱼油+收购落地,603020,603020.SH,17
拟收购存储公司+复牌+建筑幕墙,603137,603137.SH,17
数据中心液冷+核电冷却+冷却塔龙头,603269,603269.SH,17
创新药+P-CAB注射剂+一季报增长,002793,002793.SZ,33
控制权变更预期+油气开采+ST板块,600759,600759.SH,22
,000657,000657.SZ,33
,600707,600707.SH,17
钛白粉+徐州钛白复产+新能源盈利,000545,000545.SZ,33
庭外重组+猪肉+ST板块,002726,002726.SZ,33
,603638,603638.SH,17
,600630,600630.SH,17
,603682,603682.SH,17
,603667,603667.SH,17
线缆与油服+电解铝+一季报增长,605196,605196.SH,17
高速交换芯片+AI算力+PCIe5.0量产,600246,600246.SH,17
,600378,600378.SH,17
EDA+半导体IP+并购重组获批,688206,688206.SH,17
磷化工+产品涨价+精制磷酸,600470,600470.SH,17
电子雷管+存储芯片+低空经济+汽车科技,603375,603375.SH,17
,603679,603679.SH,17
中报预增+存储芯片分销+央企,001287,001287.SZ,33
中报预增+炼化一体化+光伏EVA/POE,000301,000301.SZ,33
超跌反弹+房地产开发+北京国资,600791,600791.SH,17
高速光模块发布+算力配套+商业航天+央企,002025,002025.SZ,33
BBU备用电源+锂电池+镍氢电池+辽宁国资,600241,600241.SH,17
PCB+AI服务器+高端产能,002815,002815.SZ,33
,603773,603773.SH,17
半年报预增+算力租赁+色纺纱,002042,002042.SZ,33
,603272,603272.SH,22
,001317,001317.SZ,33
乳业+宠物经济+国企改革,002910,002910.SZ,33
,002635,002635.SZ,33
基建+新型城镇化+地下管网,603815,603815.SH,17
,002361,002361.SZ,33
,603588,603588.SH,17
