market_code,涨停原因类别[20260722],code,股票代码
33,算力租赁+腾讯合作+酒类销售,002575,002575.SZ
33,算力租赁+数据中心REITs+金融科技+中报扭亏,002197,002197.SZ
33,算力租赁+AI大模型+收购北京版信通,300688,300688.SZ
17,数据中心交换机+CPO+机器人+唐山国资,603118,603118.SH
33,创新药+P-CAB注射剂+中报预增,002793,002793.SZ
33,黄金+半年报预增+国企,000506,000506.SZ
33,半导体设备+精密零部件+次新股,301583,301583.SZ
33,黄金+半年报预增+山东国资,000975,000975.SZ
17,热电联产+煤炭+新能源转型+央企,600726,600726.SH
17,黄金+电机+风电+储能,603988,603988.SH
33,机器人电缆+数据中心线缆+新能源电缆,002953,002953.SZ
17,中报增长+干散货航运+运力扩张,603162,603162.SH
17,终止可转债+电解铝+线缆+油服装备,605196,605196.SH
17,氧化锆涨价+存储芯片材料+特种尼龙,603407,603407.SH
17,油气开采+中东布局+机器人概念,603619,603619.SH
17,甲醇+风电+河北国资,600722,600722.SH
33,医药+创新药+中报减亏,002900,002900.SZ
17,电力+天然气+新型储能,600644,600644.SH
17,算力交换机+光网络+半年报大幅减亏,603803,603803.SH
33,跨界半导体+电机控制芯片+医疗器械,301234,301234.SZ
33,,003001,003001.SZ
33,房地产+重整+ST板块,000838,000838.SZ
17,端侧AI+AIoT芯片+半年报预增,603893,603893.SH
17,机器人+电子皮肤+高分子饰面材料,603725,603725.SH
17,跨境电商+建筑节能+遮阳龙头,605155,605155.SH
17,绿色电力+火力发电+央企,600396,600396.SH
17,火电+新能源+定增获批+央企,600744,600744.SH
17,拟收购欧康诺+存储测试设备+PVC弹性地板,603221,603221.SH
33,创新药+肝纤维化+脑机接口+央企,000566,000566.SZ
17,控制权拟变更+轻型输送带+消费电子,603580,603580.SH
17,热电联产+弗迪电池供热+储能,605162,605162.SH
33,光通信芯片+特色肉制品+火腿,002515,002515.SZ
33,废塑料化学循环+固废处理+稀土永磁,300779,300779.SZ
33,半导体存储+定增获批+锂矿审批推进+中报预增,002213,002213.SZ
151,退市整理期投机+大数据存储+AI大模型,920305,920305.BJ
17,创新药+阿扎胞苷获批+抗肿瘤药,600594,600594.SH
33,AI应用+内容审核+数据标注+央企,000839,000839.SZ
33,回购+增持+液冷+电缆附件,002879,002879.SZ
33,中药+独家品种+中报预增,002412,002412.SZ
17,算力租赁+英伟达合作+中报预增,603629,603629.SH
17,超节点+AI算力+中报预增+回购增持,603296,603296.SH
17,热电联产+协议转让+扣非增长,605028,605028.SH
33,,001206,001206.SZ
22,,603398,603398.SH
33,风电光伏+定增获批+半年报预增+新疆国资,001258,001258.SZ
33,,001388,001388.SZ
17,煤炭+中报减亏+河南国资,600403,600403.SH
33,,001309,001309.SZ
33,控股股东增持+风光储+宁夏国资,000595,000595.SZ
17,,603683,603683.SH
33,回购+聚苯乙烯+粤港澳大湾区,300834,300834.SZ
33,白银+铅锌+黄金概念+中报预增,000603,000603.SZ
33,,000779,000779.SZ
17,,600176,600176.SH
33,算力租赁+东数西算+中国诚通旗下,000815,000815.SZ
33,钾肥+钢结构+中报预增,002545,002545.SZ
17,,603519,603519.SH
