market_code,股票代码,code,涨停原因类别[20260326]
17,603217.SH,603217,化工+固态电池+PCB溶剂+光稳定剂
33,000965.SZ,000965,天津国资+三季报增长+大飞机+房地产
17,603601.SH,603601,SpaceX供货传闻+玻璃微纤维+高效滤材
17,600207.SH,600207,光伏玻璃+光热玻璃+河南国资+高纯石英砂
33,002569.SZ,002569,控制权变更+扭亏预告+宝鸡国资
33,002149.SZ,002149,商业航天+可控核聚变+超导+国企
33,000638.SZ,000638,
33,000692.SZ,000692,供热+沈阳国资
17,601330.SH,601330,
17,605555.SH,605555,机器人电机+EPS电机+吸尘器出口
33,000927.SZ,000927,供应链服务+一带一路+央企
33,000711.SZ,000711,
33,001270.SZ,001270,T/R芯片+商业航天+扭亏为盈+摘帽预期
33,000890.SZ,000890,
17,600726.SH,600726,热电联产+绿电转型+煤炭概念+央企
33,000720.SZ,000720,电缆+光纤+央企
22,600355.SH,600355,
17,600800.SH,600800,丙烯酸酯投产+氢能源+天津国资
33,000908.SZ,000908,摘星+石药入主+创新药
33,002263.SZ,002263,特高压电容膜+光伏背板膜+国企改革
33,002192.SZ,002192,锂矿+负极材料+年报增长
17,603520.SH,603520,六氟磷酸锂+碘造影剂+产能爬坡
33,000968.SZ,000968,煤层气+地缘冲突+山西国资
17,603778.SH,603778,
33,002471.SZ,002471,大飞机+商业航天+高温合金+电网设备
33,000767.SZ,000767,火电预增+绿色电力+山西国资
33,002796.SZ,002796,
17,600682.SH,600682,养老机器人+干细胞+商业焕新
17,601515.SH,601515,固态电池+提前终止减持+回购+衢州国资
33,000037.SZ,000037,电力+储能+业绩预增
17,603272.SH,603272,墙布龙头+智能家居+控股股东转让股份
22,603429.SH,603429,固态电池+烟草包装+ST摘帽博弈
22,600136.SH,600136,湖北国资+影视传媒+智慧空间
17,603538.SH,603538,减肥药+创新药+原料药
33,002782.SZ,002782,电源产品+储能+墨西哥扩产
17,603817.SH,603817,
17,603026.SH,603026,电解液+宁德时代+H股上市
33,002361.SZ,002361,商业航天+无人机+聚酯树脂+地方国资
33,000722.SZ,000722,水电并购+湖南国资+绿色电力
17,600310.SH,600310,电力+绿色电力+广西国资
33,002082.SZ,002082,创新药+一季报预增+阿尔茨海默
17,600163.SH,600163,绿电直连+渔光互补+抽水蓄能+福建国资
22,600381.SH,600381,
33,002961.SZ,002961,
17,603937.SH,603937,新能源电池箔+彩涂铝+安徽项目
33,002620.SZ,002620,重整投资人+光伏建筑一体化+建筑装饰
33,002808.SZ,002808,OPC感光鼓+新能源转型+ST板块
17,600844.SH,600844,煤化工+草酸扩产+乙二醇涨价
33,002705.SZ,002705,泡泡玛特代工报道+小家电出口+机器人
33,002047.SZ,002047,
33,002630.SZ,002630,一带一路+超临界锅炉+ST摘帽预期
33,000669.SZ,000669,重整预期+天然气+ST板块
33,000533.SZ,000533,
17,601908.SH,601908,电力板块+硅片+光伏设备
33,002902.SZ,002902,800G光模块+AI算力+磁性元器件
33,001367.SZ,001367,年报增长+原料药+欧美放量+合成生物
33,002109.SZ,002109,甲醇涨价+煤化工+陕西国资
22,603843.SH,603843,算力租赁+重整预期+基建转型
22,600107.SH,600107,服装+出售资产+ST板块
33,003018.SZ,003018,液冷收购+瓶盖龙头+饮料供应链
33,002859.SZ,002859,
33,002199.SZ,002199,退市博弈+石英晶体+ST板块
33,002692.SZ,002692,电线电缆+芯片概念+国企改革
17,603687.SH,603687,拟投GPU+钙钛矿设备+参股曲速科技+纸包装
