market_code,股票代码,code,涨停原因类别[20260707]
17,603001.SH,603001,
17,603458.SH,603458,
17,600360.SH,600360,功率半导体+摘帽+吉林国资
33,300716.SZ,300716,
33,301516.SZ,301516,服务器电源+液冷超充+央企
17,603618.SH,603618,
22,688121.SH,688121,
17,603020.SH,603020,
17,603137.SH,603137,拟收购存储公司+建筑幕墙+跨界转型
17,603861.SH,603861,变压器出海+AIDC直流配电+电网设备
33,002774.SZ,002774,
17,603823.SH,603823,光刻胶颜料+PEEK材料+有机颜料龙头
17,600288.SH,600288,机器视觉+机器人+半导体
33,002211.SZ,002211,
33,002731.SZ,002731,
17,600630.SH,600630,
17,605399.SH,605399,功能性硅烷+产能释放+气凝胶
17,600246.SH,600246,高速交换芯片+AI算力+PCIe5.0量产
17,603166.SH,603166,
17,600397.SH,600397,
33,001229.SZ,001229,AI视觉+边缘计算+光纤KVMS+商业航天
33,001365.SZ,001365,人形机器人+汽车线束龙头+广州国资
33,002547.SZ,002547,
33,002148.SZ,002148,
22,600180.SH,600180,
17,603065.SH,603065,磷化铟衬底+光稳定剂+终止减持
17,600791.SH,600791,
17,603178.SH,603178,机器人关节驱动+飞行汽车+泵类龙头
33,002585.SZ,002585,MLCC离型膜+复合铜箔+聚酯薄膜
17,603033.SH,603033,
33,000838.SZ,000838,
22,603272.SH,603272,
33,301251.SZ,301251,AI电源+PCB+产能释放
33,003009.SZ,003009,
33,002931.SZ,002931,
33,002657.SZ,002657,
33,002789.SZ,002789,
33,001230.SZ,001230,无人环卫+机器人+智慧环卫
33,003004.SZ,003004,光电信息并购+低空安全+智能安防
33,002038.SZ,002038,
33,002497.SZ,002497,中报预增+锂盐+硫化锂
33,002185.SZ,002185,先进封装+存储芯片+并购重组
17,603678.SH,603678,
33,000566.SZ,000566,
33,000973.SZ,000973,锂电池隔膜+一季报增长+广东国资
33,002403.SZ,002403,
33,002667.SZ,002667,
17,600301.SH,600301,
17,600353.SH,600353,
37,002808.SZ,002808,
33,000078.SZ,000078,miRNA肿瘤早筛+摘帽预期+医药全产业链
33,002856.SZ,002856,
22,600187.SH,600187,
33,002951.SZ,002951,超级电容+间接投资光纤公司+投建多孔炭产线+储能
33,002137.SZ,002137,间接持股宇树科技+参股六度人和（腾讯投资）+先进封装
17,603032.SH,603032,
17,603629.SH,603629,
17,605118.SH,605118,光学镜头+机器人+低空经济
17,600376.SH,600376,
17,600793.SH,600793,TAC膜+醋酸纤维素+竹基新材料+宜宾国资
33,001206.SZ,001206,宠物卫生用品+产品提价+海外产能
17,600206.SH,600206,终止定增+半导体靶材+存储芯片+央企
17,601121.SH,601121,中报预增+铁矿石+黄金+新疆国资
33,002719.SZ,002719,
22,603843.SH,603843,
17,600120.SH,600120,中报预增+金融控股+浙江国资
33,002514.SZ,002514,
33,002129.SZ,002129,半导体硅片+BC电池+光伏硅片
17,600182.SH,600182,
33,002729.SZ,002729,
17,603610.SH,603610,
17,603257.SH,603257,
17,600843.SH,600843,
33,002841.SZ,002841,中报预增+AI教育+机器人
33,002989.SZ,002989,
17,688432.SH,688432,收购晶隆半导体+半导体硅片+产能扩张
17,603356.SH,603356,电梯对重块+光伏支架+股份转让
17,600094.SH,600094,6G通信+低空经济+算力运营+地产转型
33,001311.SZ,001311,机器人概念+特斯拉产业链+终止减持
