股票代码,market_code,涨停原因类别[20260210],code
002848.SZ,33,定增易主+潍坊国资+高频覆铜板,002848
603888.SH,17,文化传媒+安全合规+国企改革,603888
002739.SZ,33,春节档影片+IP潮玩+院线龙头+扭亏为盈,002739
600207.SH,17,光伏玻璃+光热玻璃+高纯石英砂+河南国资,600207
000638.SZ,33,军工+退市风险+粮食,000638
002292.SZ,33,AI玩具+IP经济+影视院线,002292
002905.SZ,33,影视投资+预计扭亏,002905
000711.SZ,33,,000711
000818.SZ,33,算力租赁+800G光模块+化工+武汉国资,000818
002731.SZ,33,,002731
002485.SZ,33,文旅复苏+ST摘帽预期+供应链扩张,002485
002806.SZ,33,实控人变更+新能源商用车+百度概念+电极箔,002806
600355.SH,22,,600355
300749.SZ,33,商业航天+扭亏为盈+大家居定制,300749
301025.SZ,33,文化传媒+字节合作+IP孵化,301025
603980.SH,17,控制权变更+染料涨价+宇树科技,603980
605060.SH,17,燃气轮机+AIDC+风电+精密零部件,605060
002655.SZ,33,车载声学+AI声学+股份转让完成,002655
000070.SZ,33,CPO+光纤光缆+商业航天+深圳国资,000070
601599.SH,17,AI影视+短剧+浙江国资,601599
000559.SZ,33,人形机器人+机器人轴承+汽车零部件,000559
000859.SZ,33,光刻胶+拟收购金张科技+合肥国资,000859
603115.SH,17,AI服务器+储能+电极箔+股权激励,603115
000156.SZ,33,AI应用+数字电视+低空经济+杭州国资,000156
601595.SH,17,AI影视+即梦合作+上海国资,601595
603960.SH,17,机器人+AI应用+汽车电子,603960
603721.SH,22,AI微短剧+扭亏为盈+长沙国资,603721
300182.SZ,33,AI漫剧+影视版权+文化传媒,300182
600696.SH,22,酱香型白酒+退市风险+ST板块,600696
002159.SZ,33,旅游客运索道+国企改革+千岛湖项目,002159
002455.SZ,33,锂电闭环+TMP涨价+负极产能,002455
002723.SZ,33,短剧游戏+电子烟+一带一路+控制权拟变更,002723
603058.SH,17,拟收购半导体资产（已终止）+烟标酒盒+管制药品,603058
000609.SZ,33,司法拍卖+房地产+创投,000609
001330.SZ,33,AI短剧+春节档IP+影视院线,001330
000681.SZ,33,AI数据+版权交易+MiniMax上市,000681
603968.SH,17,染料中间体+醋酸衍生物+食品防腐+亏损收窄,603968
301085.SZ,33,算力租赁+昇腾一体机+字节合作,301085
603301.SH,17,注销回购+医疗器械+跨境电商+出口龙头,603301
601869.SH,17,空芯光纤+算力网络+光纤光缆,601869
603999.SH,17,AIGC+文创产品+直播电商+甘肃国资,603999
603729.SH,17,拟收购愚恒影业58%股权+影视内容+复牌,603729
600715.SH,17,AI漫剧+小程序游戏+北京国资,600715
002082.SZ,33,阿尔茨海默+孤儿药+创新药+AI应用,002082
603320.SH,17,压缩机电机+空气能热泵+出口增长,603320
605599.SH,17,,605599
600381.SH,22,ST板块+高端白酒+中药大健康,600381
000004.SZ,33,,000004
600814.SH,17,,600814
002181.SZ,33,AI营销+全运会IP+广州国资,002181
000892.SZ,33,AIGC短剧+影视制作+春节档,000892
000839.SZ,33,AI数据标注+业绩预增+央企背景,000839
603103.SH,17,春节档+AI漫剧+影视院线,603103
002969.SZ,33,追觅入主+三片罐龙头+饮料灌装,002969
603533.SH,17,AI短剧+数字阅读+海外扩张,603533
301231.SZ,33,AI互动玩具+阿里合作+少儿图书,301231
603466.SH,17,文生视频+豆包合作+数字体验+人形机器人,603466
000608.SZ,33,摘星脱帽预期+控制权变更+商业地产,000608
603598.SH,17,AI营销+短剧出海+业绩预增,603598
000669.SZ,33,预重整+天然气+扭亏,000669
603398.SH,22,,603398
300251.SZ,33,春节档+IP运营+动画电影+AI应用,300251
603268.SH,22,VLCC大单+船舶制造+业绩预增,603268
600088.SH,17,影视院线+AI融媒体+央企,600088
603000.SH,17,AI安全+内容风控+央媒+国企,603000
002597.SZ,33,三氯蔗糖饲料+固态电池+甜味剂龙头,002597
603021.SH,22,,603021
300364.SZ,33,AI短剧+海外短剧+腾讯合作+文生视频,300364
603843.SH,22,,603843
600107.SH,22,服装+出售资产+*ST风险,600107
002429.SZ,33,CPO+AI应用+MiniLED+深圳国资,002429
600589.SH,17,算力租赁+东数西算+IDC,600589
600482.SH,17,柴油机+军工舰船动力+固态电池+央企,600482
000056.SZ,33,零售+功率半导体+固态电池,000056
000821.SZ,33,,000821
002302.SZ,33,火箭基地签约+预拌混凝土+央企,002302
002323.SZ,33,光伏建筑一体化+光伏设备+枣庄国资,002323
600977.SH,17,影视院线+央企,600977
000815.SZ,33,东数西算+扭亏为盈+央企,000815
300528.SZ,33,影视院线+春节档+江苏国资,300528
605287.SH,17,AI漫剧+城市更新+扭亏为盈,605287
