market_code,涨停原因类别[20260507],code,股票代码
33,光纤涨价+数据中心+通信电缆,002491,002491.SZ
33,,002193,002193.SZ
17,光伏玻璃+拟控股弘诺+河南国资,600207,600207.SH
17,机器人+特斯拉链+汽车内饰,603179,603179.SH
33,算力租赁+800G光模块+武汉国资+一季报净利增长,000818,000818.SZ
17,,603101,603101.SH
22,,600053,600053.SH
33,半导体设备+机器人线束+扭亏+国企,002816,002816.SZ
17,电子布涨价+AI算力+80亿扩产,603256,603256.SH
22,,603359,603359.SH
17,绿电转型+热电联产+央企,600726,600726.SH
17,算电协同+氢能投产+央企储能,601868,601868.SH
22,算力租赁+资产赠与+林业,600265,600265.SH
33,,002501,002501.SZ
33,液冷智算+算力租赁+储能PCS,002335,002335.SZ
17,柴油动力单元+发动机零部件+重大资产重组,603950,603950.SH
33,PCB设备+一季报高增+光纤激光器,002008,002008.SZ
22,,600340,600340.SH
22,天津国资+工业地产+利空落地+ST板块,600082,600082.SH
33,回购进展+功能肥+氨氢能源,002496,002496.SZ
22,,600180,600180.SH
33,,300010,300010.SZ
33,低空经济+军工射频+空管系统,002253,002253.SZ
22,,600239,600239.SH
17,CPO+智算中心+一季报扭亏为盈,603803,603803.SH
22,,600302,600302.SH
33,算力采购+人形机器人+智慧口岸,002990,002990.SZ
33,钠电材料+硅碳负极+AI算力+一季报增长,002591,002591.SZ
33,商业航天+深海系泊+索具龙头+年报扭亏,002342,002342.SZ
33,,300352,300352.SZ
33,,000909,000909.SZ
33,半导体资产注入+ST博弈+房地产,000609,000609.SZ
17,存储芯片+业绩暴增+定增扩产,603316,603316.SH
17,热电联产+新能源注入预期+大连国资+业绩增长,600719,600719.SH
33,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,002980,002980.SZ
33,,000703,000703.SZ
22,,603729,603729.SH
33,,002082,002082.SZ
17,高速树脂+AI服务器+商业航天+一季报大增,601208,601208.SH
22,申请摘帽+酒水高增+虫草龙头,600381,600381.SH
33,机器人+工业母机+半导体,002903,002903.SZ
22,控制权变更+光伏建筑一体化+装配化装修,603828,603828.SH
33,申请撤销退市风险警示+啤酒饮料+果汁扩产,000929,000929.SZ
33,重整投资人+光伏建筑一体化+建筑装饰,002620,002620.SZ
33,,002431,002431.SZ
33,,000632,000632.SZ
22,,600818,600818.SH
22,,600735,600735.SH
33,创新药+流感+RAY1225,002317,002317.SZ
33,间接投资光纤公司+储能电站+超级电容,002951,002951.SZ
33,,002175,002175.SZ
22,,600678,600678.SH
17,AI营销+短剧出海+业绩增长,603598,603598.SH
17,半导体石英+光纤材料+高纯石英砂,603688,603688.SH
17,燃气轮机+核电铸件+算力租赁,603315,603315.SH
33,折叠屏+新能源汽车电池结构件+业绩高增,002824,002824.SZ
17,PCB扩产+1.6T光模块+存储芯片,603459,603459.SH
22,,600084,600084.SH
33,CPU+AI服务器电源+央企,000066,000066.SZ
33,,002198,002198.SZ
33,摘帽+航空发动机+无人机+四川国资,000697,000697.SZ
22,预重整协议+TOPCon电池+ST板块,600537,600537.SH
17,股份转让+湖泊生态医院+扭亏为盈,688069,688069.SH
17,光纤材料+存储芯片+电子特气,603938,603938.SH
22,ST保壳+储能出售+服装扭亏,600107,600107.SH
17,算力大单+液冷+制冷剂涨价,600673,600673.SH
17,玻纤涨价+风电纱+山东国资,605006,605006.SH
17,人形机器人+腱绳+商业航天+胎圈钢丝,603278,603278.SH
17,电动装载机+矿山装备+工程机械+厦门国资,600815,600815.SH
22,申请撤销退市风险警示+电梯配件+天然气,600243,600243.SH
17,MiniLED车载背光+定增落地,605218,605218.SH
33,,002323,002323.SZ
22,集成电路+国资背景+ST板块,600730,600730.SH
33,FCBGA封装基板+算力芯片+存储芯片+回购,002436,002436.SZ
17,人形机器人+固态电池+锂电池装备,603895,603895.SH
33,AI营销+出海服务+H股上市,301171,301171.SZ
17,,603318,603318.SH
33,ST板块+油气服务+新疆国资,002207,002207.SZ
22,,601718,601718.SH
17,摘帽+参股华大北斗+汽车电子+消费电子,600130,600130.SH
33,,000010,000010.SZ
22,,603922,603922.SH
33,PCB铜箔+黄金采选+Q1业绩大增,002552,002552.SZ
17,乘用车座椅+特斯拉概念+海外订单,603997,603997.SH
17,季戊四醇+扭亏+中字头,600610,600610.SH
22,,603378,603378.SH
17,光纤涨价+特高压+锂电铜箔+一季报增长,603618,603618.SH
33,人形机器人+固态电池+超细纤维,300819,300819.SZ
17,参股联讯仪器+商业航天+产业园运营+苏州,600736,600736.SH
22,,600759,600759.SH
33,PCB+算力+国资,000823,000823.SZ
17,玻璃基板+ITC胜诉+国企改革,600707,600707.SH
33,,000677,000677.SZ
33,铟靶材+固危废资源化+一季度扭亏,000711,000711.SZ
33,中东重建+国际工程+算力+一带一路,002051,002051.SZ
33,AI算力+存储芯片+深圳国资+出海,002183,002183.SZ
33,,002726,002726.SZ
33,摘帽+T/R芯片+商业航天,001270,001270.SZ
17,算力+基建中标+上海国资,600284,600284.SH
22,,600370,600370.SH
33,光纤+电缆+实控人中国华能+央企,000720,000720.SZ
17,AI验布机+高端装备+纺织机械,603095,603095.SH
33,算力租赁+通信运维+5G消息+亏损收窄,000889,000889.SZ
151,储能电池订单+铝基铅炭+湿法冶金,920152,920152.BJ
17,林业+人造板+碳中和,601996,601996.SH
17,热镀锌板+南通项目+一带一路,605158,605158.SH
33,PEEK材料+人形机器人+钠电池,002915,002915.SZ
33,增持+车载声学+MEMS芯片,002655,002655.SZ
33,算力+石化仓储+交割资质,002930,002930.SZ
17,PCB概念+汽车电子+高分红,605258,605258.SH
17,PCB+覆铜板+环氧树脂+英伟达链,603002,603002.SH
22,,601010,601010.SH
17,重大资产置换完成+智慧交通+机器人+广西国资,600936,600936.SH
33,光纤光缆+CPO+算力租赁+深圳国资,000070,000070.SZ
33,算力+AI智能体+通信网络管维,002929,002929.SZ
33,人形机器人+订单落地+保险杠龙头,000700,000700.SZ
22,,600491,600491.SH
33,,000752,000752.SZ
33,AI穿戴+新材料+ODM/OEM,300868,300868.SZ
22,,600965,600965.SH
17,800G光模块+CPO,603306,603306.SH
33,,002102,002102.SZ
33,人形机器人+RV减速器+XT减速器,002031,002031.SZ
33,算力+游戏+摘帽,300052,300052.SZ
33,电源类产品+磁性元器件+数据中心+储能,002885,002885.SZ
33,,300430,300430.SZ
33,摘帽申请+一季报暴增+IDC并表+算力租赁,002289,002289.SZ
33,人形机器人+智能制造,002698,002698.SZ
33,,002581,002581.SZ
22,,603272,603272.SH
33,摘帽预期+跨境物流转型+房地产去化,000668,000668.SZ
17,,603538,603538.SH
17,绿电+氢能+央企,600396,600396.SH
17,液冷服务器+新能源车热管理+一季报增长,603158,603158.SH
22,,600337,600337.SH
33,光模块+AI PCB+业绩高增,002384,002384.SZ
33,算电协同+储能+智能输配电,002298,002298.SZ
33,摘帽申请+安消一体化+智能安防,003004,003004.SZ
33,算力租赁+智慧环卫+机器人+转债提前赎回,000967,000967.SZ
17,风光储能+数据中心+电接触材料+业绩大增,603045,603045.SH
33,算力租赁+电子纸+福建国资,002217,002217.SZ
33,,002667,002667.SZ
22,年报扭亏+轻型输送带+新能源电池配件,603580,603580.SH
33,AI算力+第三方支付+摘帽,002647,002647.SZ
