涨停原因类别[20260429],股票代码,market_code,code
光通信+机器人+光电集成封测,300632.SZ,33,300632
虚拟电厂+光储充+储能,300982.SZ,33,300982
一季报高增+预制菜+烘焙赛道,603345.SH,17,603345
花卉转型+扭亏预告+昆明国资,600608.SH,22,600608
,603313.SH,17,603313
稀土永磁+扭亏为盈+汽车回收拆解+机器人,002645.SZ,33,002645
一季报净利增长+算力租赁+800G光模块+武汉国资,000818.SZ,33,000818
算力租赁+液冷+拟收购易信科技+湖南国资,600156.SH,17,600156
AI算力+电子布涨价+80亿扩产,603256.SH,17,603256
,002731.SZ,33,002731
锂矿入股+业绩预增+磷酸铁锂,603906.SH,17,603906
整车复产+海外布局+减亏,000980.SZ,33,000980
钨钽并购+磁选设备+江西国资,600397.SH,17,600397
国家电投入主+碳酸锶+30万吨天青石项目,600714.SH,17,600714
ST摘帽预期+天津国资+工业地产,600082.SH,22,600082
,002253.SZ,33,002253
摘帽预期+精细化工+锂电池添加剂,000691.SZ,33,000691
一季报扭亏为盈+CPO+智算中心,603803.SH,17,603803
锂矿放量+电机+低空经济,002176.SZ,33,002176
上海国资+保障房开发+存量去化+估值提升计划,600708.SH,17,600708
,000909.SZ,33,000909
业绩改善+威士忌新品+预调鸡尾酒,002568.SZ,33,002568
稀土涨价+回购+央企,600392.SH,17,600392
玻纤设备+华为合作+减亏+纺织机械,600545.SH,17,600545
半导体资产注入+ST博弈+房地产,000609.SZ,33,000609
业绩扭亏+磷酸铁锂+固态电池,002805.SZ,33,002805
商业航天+车联网+央企,000901.SZ,33,000901
一季报扭亏+磷酸铁锂+补锂增强剂,300769.SZ,33,300769
电子特气+氢能+储能+特高压+央企,600379.SH,17,600379
一季报大增+算力中心+智慧安防,600654.SH,17,600654
一季报扭亏+半导体封装+国资背景,002786.SZ,33,002786
一季报增长+POF热收缩膜+常德国资+光纤油膏,002522.SZ,33,002522
一季度扭亏+电解液涨价+宁德时代,603026.SH,17,603026
重整投资协议+无缝服装+ST板块,002634.SZ,33,002634
业绩改善+储能+充电桩,002227.SZ,33,002227
稀土永磁+业绩高增+并购重组预期,000831.SZ,33,000831
锂盐产能扩张+一季度扭亏+固态电池材料,603399.SH,17,603399
一季报扭亏+童装+AI布局,002875.SZ,33,002875
一季度扭亏+资产处置收益+中成药医保,603139.SH,17,603139
高端白酒+虫草龙头+退市博弈,600381.SH,22,600381
扭亏为盈+房地产双位数增长+基建大单,600606.SH,17,600606
一季报大增+锂电+特钢,002756.SZ,33,002756
机器人+工业母机+半导体,002903.SZ,33,002903
,603828.SH,22,603828
TAC膜+锂电隔膜+航天系,600135.SH,17,600135
一季报增长+混动燃油系统+储氢系统+国企改革,603013.SH,17,603013
,002431.SZ,33,002431
,600818.SH,22,600818
资金占用清偿+石墨新材料+发制品出口,600735.SH,22,600735
业绩增长+足球概念+高分红,605099.SH,17,605099
一季报大增+液冷储能+智能电控,001266.SZ,33,001266
算力租赁+业绩暴增+高送转,603629.SH,17,603629
,002099.SZ,33,002099
,600636.SH,22,600636
芯片放量+业绩扭亏+XR订单,603516.SH,17,603516
,002360.SZ,33,002360
拟收购菲莱测试+半导体检测+光芯片测试+复牌,688531.SH,17,688531
,001233.SZ,33,001233
,002719.SZ,33,002719
,600084.SH,22,600084
ST摘帽+中成药+减亏,002872.SZ,33,002872
一季报净利大增+家居建材流通商+高分红规划,002818.SZ,33,002818
锂电池+碳酸钡龙头+青岛国资,600367.SH,17,600367
一季报增长+高股息+铁路列控,603508.SH,17,603508
一季报增长+500kV海缆+海上风电+特高压,002498.SZ,33,002498
业绩大增+800G硅光模块+1.6T+激励计划,603083.SH,17,603083
,600537.SH,22,600537
玻纤涨价+风电纱+山东国资,605006.SH,17,605006
申请撤销退市风险警示+电梯配件+天然气,600243.SH,22,600243
AI玩具+算力布局+此前实控人变更,002348.SZ,33,002348
困境资管+海南自贸区+业绩暴增,000567.SZ,33,000567
业绩高增+算力租赁+半导体材料,600186.SH,17,600186
固废处理+黄金供应链+一季度扭亏,002210.SZ,33,002210
AI教育+ST板块+国资背景,600730.SH,22,600730
,300245.SZ,33,300245
磷酸铁锂+钛白粉+国企改革,002136.SZ,33,002136
一季报大增+算力租赁+AI应用,002354.SZ,33,002354
业绩大增+光伏银浆+半导体封测,002079.SZ,33,002079
低空经济+无人机+空港装备+业绩高增,002111.SZ,33,002111
,600421.SH,22,600421
,600599.SH,22,600599
,603378.SH,17,603378
业绩增长+高股息+黄金珠宝,002867.SZ,33,002867
,688121.SH,17,688121
,600759.SH,22,600759
一季度扭亏+风电项目+供热龙头,000692.SZ,33,000692
足球概念+外销扩张+健身器材,605299.SH,17,605299
钨价上涨+PCB微钻+一季报大增+央企,000657.SZ,33,000657
申请撤销退市风险警示+储能+冶金设计,000820.SZ,33,000820
,002693.SZ,33,002693
地下管网+专精特新+一季报扭亏,001396.SZ,33,001396
,001270.SZ,33,001270
一季报高增+火锅调料+员工持股,603317.SH,17,603317
AI验布机+高端装备+纺织机械,603095.SH,17,603095
锂矿放量+铁矿龙头+固态电池材料,001203.SZ,33,001203
热镀锌板+南通项目+彩色涂层板,605158.SH,17,605158
增持+车载声学+股权激励,002655.SZ,33,002655
一季报高增+药食同源新品+全渠道扩张,002956.SZ,33,002956
一季报大增+锂矿+负极材料,002192.SZ,33,002192
业绩高增+碳酸锂+盐湖提锂+资产聚焦,600338.SH,17,600338
,000752.SZ,33,000752
固态电池+587Ah扩产+储能满产+业绩高增,300438.SZ,33,300438
一季报增长+魔芋零食+渠道优化,002847.SZ,33,002847
,600965.SH,17,600965
一季报增长+高分红+服装纺织,002832.SZ,33,002832
稀土永磁+人形机器人+国企改革,600111.SH,17,600111
一季报增长+IDC并购完成+算力租赁+盛合晶微上市,002289.SZ,33,002289
,600696.SH,22,600696
业绩大增+IC分销+人形机器人+拟收购博泰智能,603933.SH,17,603933
玻璃基板+CPO+MicroLED+商业航天,603773.SH,17,603773
,300029.SZ,33,300029
中芯国际概念+半导体洁净室+有机涂层板,002652.SZ,33,002652
*ST+墙布+外部流通盘相对较小,603272.SH,22,603272
一季报大增+PCB铜箔+锂电池铜箔+安徽国资,301217.SZ,33,301217
,688201.SH,22,688201
一季报增长+商业航天+洁净环保+苏州国资,000551.SZ,33,000551
,002898.SZ,33,002898
机器人+生猪养殖+饲料,002548.SZ,33,002548
,688280.SH,17,688280
双氧水扩产+电子级双氧水+柳州国资,600423.SH,22,600423
拟控股奎芯+芯片IP+成品油+一季报增长,603353.SH,17,603353
,603215.SH,17,603215
固态电池+硫化锂+锂盐产能,002497.SZ,33,002497
一季报大增+锂电隔膜+广东国资,000973.SZ,33,000973
电池铝箔+扭亏为盈+锂电池概念,603937.SH,17,603937
一季报扭亏+卫星通信+商业航天,002512.SZ,33,002512
,002779.SZ,33,002779
,605081.SH,22,605081
,603282.SH,17,603282
,002808.SZ,33,002808
电踏车电机+力矩传感器+业绩大增+锂电池,603489.SH,17,603489
一季报增长+追觅入主+要约收购+三片罐龙头,002969.SZ,33,002969
一季报大增+钨价上涨+光伏钨丝+硬质合金,002842.SZ,33,002842
一季报大增+固态电池+电解液龙头,002709.SZ,33,002709
一季度净利大增+涤纶长丝龙头+全产业链,601233.SH,17,601233
商业航天+工程设计+低空经济,603017.SH,17,603017
一季报大增+钨价上涨+钨精矿,002378.SZ,33,002378
先进封装+果链+北交所次新股,920125.BJ,151,920125
一季报增长+英伟达AI电源+数据中心电源+储能,002851.SZ,33,002851
模块化数据中心+商业航天+氢能,000039.SZ,33,000039
创新药+亏损缩窄+拟出售东北证券股权,600881.SH,17,600881
半导体洁净室+海外EPC+城市更新,002081.SZ,33,002081
,603008.SH,22,603008
省际游轮首航+两坝一峡+宜昌国资,002627.SZ,33,002627
算力租赁+英伟达合作+AI营销,605168.SH,17,605168
625MHz晶振+光模块+人形机器人,603738.SH,17,603738
算力租赁+重整预期+ST板块,603843.SH,22,603843
,002514.SZ,33,002514
,603959.SH,22,603959
,000903.SZ,33,000903
,000056.SZ,33,000056
算力转型+ST保壳+GPU定制,600289.SH,22,600289
业绩改善+申请撤销退市风险警示+碳酸锂+石英晶体,002199.SZ,33,002199
一季报高增+广西国资入主+黑色健康食品,000716.SZ,33,000716
AI应用+全球化卡牌+业绩反转,002174.SZ,33,002174
扭亏为盈+人形机器人+高端机床,002520.SZ,33,002520
一季报高增+废气治理+半导体,001336.SZ,33,001336
一季度扭亏+减债+北京国资,000402.SZ,33,000402
