涨停原因类别[20260211],code,股票代码,market_code
重整完成+医疗美容+毛发医疗,000615,000615.SZ,33
SpaceX传闻+玻璃微纤维+高效滤材,603601,603601.SH,17
AI纤维布+风电叶片+央企重组,002080,002080.SZ,33
玻纤涨价+电子细纱+风电纱+云南国资,301526,301526.SZ,33
固态电池+镍资源+金属回收+业绩预增,002340,002340.SZ,33
糖宁通络+苗药龙头+创新药,002424,002424.SZ,33
机器人+固态电池+超细纤维,300819,300819.SZ,33
军工+退市风险+粮食,000638,000638.SZ,33
芳纶涂覆+半固态电池+机器人+国企,002254,002254.SZ,33
,002905,002905.SZ,33
钨矿增储+PCB钻针棒扩产+西南研发中心,000657,000657.SZ,33
染料+苯二胺投产+硝酸龙头,001217,001217.SZ,33
玻璃纤维布+AI算力+业绩预增,603256,603256.SH,17
,001270,001270.SZ,33
,002731,002731.SZ,33
控制权拟变更+AIGC+女鞋多品牌,603608,603608.SH,17
实控人宣判+文旅复苏+ST摘帽预期,002485,002485.SZ,33
退市博弈+地天板,600355,600355.SH,22
城市更新+AI运营+扭亏,603682,603682.SH,17
控制权变更+染料涨价+宇树科技,603980,603980.SH,17
磁选设备+江西国资+国企改革,600397,600397.SH,17
CPO+光纤光缆+商业航天+深圳国资,000070,000070.SZ,33
,601599,601599.SH,17
玻纤布+云母绝缘+三季报增长,001359,001359.SZ,33
算力中心+重整完成+家装AI,002713,002713.SZ,33
甲醇+风电+国企改革,600722,600722.SH,17
特高压+外资调研+电力设备,002270,002270.SZ,33
ST保壳+动保兽药+资产剥离完成,002868,002868.SZ,33
CPO硅光模块+鄂州投产+业绩预增,001267,001267.SZ,33
安哥拉电解铝+热电联产+境外投资,001376,001376.SZ,33
光刻胶+特种单体+风电,603125,603125.SH,17
TMP涨价+锂电闭环+负极产能,002455,002455.SZ,33
短剧游戏+电子烟+一带一路,002723,002723.SZ,33
先进封装+液冷服务器+人形机器人,688035,688035.SH,17
海工装备+央企+油价上行,600583,600583.SH,17
AI智慧工厂+纺织机械+回购,600545,600545.SH,17
半导体的人来了+房地产+创投,000609,000609.SZ,33
染料中间体+醋酸衍生物+食品防腐+亏损收窄,603968,603968.SH,17
,603813,603813.SH,22
氯碱龙头+钽铌锡矿+有色金属,000510,000510.SZ,33
化肥+磷矿建设+复合肥龙头,002470,002470.SZ,33
拟收购愚恒影业58%股权+影视内容+复牌,603729,603729.SH,17
PET瓶+饮料代工+横琴新区,000659,000659.SZ,33
,000004,000004.SZ,33
农药制剂+原药一体化+西部大开发,605033,605033.SH,17
水电资产注入+央企+锂电回收,600292,600292.SH,17
AIGC短剧+影视制作+春节档,000892,000892.SZ,33
,603103,603103.SH,17
储能系统+超级电容+风电应用,002951,002951.SZ,33
钨价上涨+光伏钨丝+年报预增,002842,002842.SZ,33
算力租赁+年报预增+英伟达合作,603629,603629.SH,17
AI短剧+字节概念+数字阅读,603533,603533.SH,17
预重整+天然气+扭亏,000669,000669.SZ,33
钨价上涨+钨产业链+商业航天+业绩预增,002378,002378.SZ,33
收购葱岭能源+铁矿储量+新疆国资,601121,601121.SH,17
稀土永磁+机器人+央企,600980,600980.SH,17
,002830,002830.SZ,33
IDC+AI智能体+机器人+家具机械,002757,002757.SZ,33
国产数据库+向量数据库+信创,603138,603138.SH,17
算力租赁+东数西算+IDC,600589,600589.SH,17
玻纤+董事长变更+山东国资,605006,605006.SH,17
,600243,600243.SH,22
液冷收购+瓶盖龙头+业绩承诺,003018,003018.SZ,33
,000056,000056.SZ,33
算力租赁+味精+业绩预增,600186,600186.SH,17
光伏建筑一体化+光伏设备+枣庄国资,002323,002323.SZ,33
股东增持+玻纤龙头+风电纱+央企,600176,600176.SH,17
参股算力+绿电储备+河南国资,001896,001896.SZ,33
钽铌制品+定增注册获批+商业航天,000962,000962.SZ,33
AI漫剧+城市更新+扭亏为盈,605287,605287.SH,17
