股票代码,code,涨停原因类别[20260414],market_code
600855.SH,600855,航天+军工电子+央企,17
002305.SZ,002305,商业地产+央企重组+净资产转正,33
002328.SZ,002328,液冷服务器+储能+汽车零部件+回购,33
002149.SZ,002149,商业航天+可控核聚变+稀有金属+国企,33
603269.SH,603269,液冷服务器+核电冷却塔+回购+制造业单项冠军,17
605167.SH,605167,核电模块+海工模块+工业模块,17
603171.SH,603171,财税SaaS+AI智能体,17
000711.SZ,000711,铟靶材+固危废资源化+ST炒作,33
002051.SZ,002051,中东重建+国际工程+算力+一带一路,33
001270.SZ,001270,T/R芯片+商业航天+扭亏为盈+摘帽预期,33
601778.SH,601778,回购股份注销+算电协同+储能,17
600152.SH,600152,电池项目投资+钠电储能龙头+锂电产业链,17
603929.SH,603929,,17
000889.SZ,000889,算力销售+5G消息+短信通道,33
002580.SZ,002580,液冷储能+固态电池+山东国资,33
301157.SZ,301157,液冷+东数西算+BMS,33
002229.SZ,002229,AI算力业务+彩票印刷龙头,33
603002.SH,603002,先进封装+英伟达链+环氧树脂+覆铜板,17
603109.SH,603109,小型发电机+储能+北美大客户+拟投资新质基金,17
600743.SH,600743,实控人筹划重组+物业管理+北京国资,17
600491.SH,600491,,17
000752.SZ,000752,ST重整+拟全资控股拉萨啤酒+业绩预增,33
603778.SH,603778,,17
002083.SZ,002083,锂电池添加剂+涂层材料+业绩增长+地方国企,33
301292.SZ,301292,电解液龙头+固态电池+比亚迪大单,33
600082.SH,600082,,22
002314.SZ,002314,住宅开发+储能+REITs+国企,33
002713.SZ,002713,算力中心+家装AI+重整完成,33
600605.SH,600605,半导体投资+上海房产租赁+战略转型,17
002107.SZ,002107,心脑血管中药+独家产品线+业绩大增,33
002885.SZ,002885,电源类产品+磁性元器件+储能+业绩预增,33
600696.SH,600696,,22
603389.SH,603389,ST板块+锆钛选矿+世博家具,22
002990.SZ,002990,存储芯片+人形机器人+智慧口岸,33
300857.SZ,300857,一季报预增+算力租赁+光模块,33
601588.SH,601588,控股股东增持+房地产+会展+北京国资,17
603813.SH,603813,退市风险博弈预期+电商物流合作+氢能物流布局,22
600396.SH,600396,火电+氢能+央企,17
603026.SH,603026,一季度业绩预盈+锂电池电解液+国企,17
600469.SH,600469,巨型轮胎项目+工程机械配套+央企,17
002634.SZ,002634,,33
002980.SZ,002980,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,33
600173.SH,600173,风光储氢+储能中标+氢能出海,17
000967.SZ,000967,算力+新能源环卫+机器人,33
603139.SH,603139,中药医保+控制权变更+资产处置收益,17
600381.SH,600381,退市博弈+高端白酒+虫草龙头,22
002686.SZ,002686,数据中心冷却+控制权变更+浙江国资,33
600238.SH,600238,退市风险博弈+保健酒主业+海南国资,22
000004.SZ,000004,退市风险博弈+算力+移动应用安全,33
600664.SH,600664,创新药+保健品+仿制药一致性评价,17
002647.SZ,002647,摘帽+AI算力+第三方支付,33
002124.SZ,002124,猪肉+预重整+销量增长,33
603061.SH,603061,先进封装+封测设备+年报增长,17
000929.SZ,000929,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期,33
002213.SZ,002213,存储芯片+锂矿资源+拟定增,33
603527.SH,603527,固态电池+铜箔+新能源结构件+3D打印,17
600539.SH,600539,电商服务+锂电订单+机器视觉+并购重组,17
002808.SZ,002808,ST摘帽博弈+新能源转型+OPC感光鼓,33
603629.SH,603629,算力租赁+液冷+英伟达合作+年报预增,17
000793.SZ,000793,,33
001299.SZ,001299,燃气+综合能源转型+年报增长+西部大开发,33
002630.SZ,002630,ST摘帽预期+储能+高效环保锅炉,33
000608.SZ,000608,摘星脱帽预期+商业地产+控制权变更,33
600636.SH,600636,,22
002297.SZ,002297,一季报业绩预增+商业航天+硬质合金,33
000620.SZ,000620,存储芯片+拟收购长兴半导体+文旅地产,33
301219.SZ,301219,一季度业绩预增+钴铜涨价+能源金属,33
600193.SH,600193,,22
002463.SZ,002463,一季度业绩预增+AI服务器PCB+68亿扩产,33
688287.SH,688287,军工装备+商业航天+无人机禁毒,22
002364.SZ,002364,宁德时代入股+HVDC+数据中心电源,33
603843.SH,603843,,22
603585.SH,603585,溴素涨价+百菌清涨价+阻燃剂,17
301189.SZ,301189,AI服务器+英伟达概念+沐曦合作,33
603698.SH,603698,实控人航天科技+绿氢工程+煤气化+央企,17
600243.SH,600243,退市博弈+减速器+电梯配件,22
002157.SZ,002157,生猪养殖+量价齐升+双胞胎协同,33
002023.SZ,002023,参股华芯科技（产品应用于光模块）+航空装备+eVTOL模拟器,33
603383.SH,603383,金融科技+AI应用+信创,17
688813.SH,688813,PCB+铜箔+陕西国资+次新股,17
002692.SZ,002692,超短期融资券发行+电线电缆+参股半导体+国企改革,33
