涨停原因类别[20260416],market_code,股票代码,code
光纤光缆+数据中心+储能消防,33,002491.SZ,002491
算力+高频覆铜板+潍坊国资,33,002848.SZ,002848
年报扭亏+算力租赁+蓝宝石,17,600666.SH,600666
锦纶6+军工锦纶+29亿项目,33,000782.SZ,000782
沐曦GPU+算力租赁+扭亏为盈,17,603322.SH,603322
创新药+克立硼罗+原料药,33,002940.SZ,002940
锂盐湖+二期爬坡+宝武央企,33,000762.SZ,000762
算力租赁+拟收购易信科技+湖南国资,17,600156.SH,600156
成飞概念+拟收购迈特航空+精密零部件+业绩增长,33,001268.SZ,001268
入境游增长+景区运营+智慧平台,17,600749.SH,600749
业绩预增+磷酸铁锂+储能,17,603906.SH,603906
储能电池+液冷储能+固态电池+算力,33,002580.SZ,002580
玻璃钢化设备+钙钛矿设备+一带一路,33,002613.SZ,002613
特种氯乙烯共聚物+风电+回购注销+国企,33,002802.SZ,002802
燃气轮机+液冷+年报增长,17,605060.SH,605060
小金属+黄金+央企控股,17,600961.SH,600961
PCB设备+液冷核心部件焊接+光纤激光器,33,002008.SZ,002008
,22,600082.SH,600082
液冷算力+算力租赁+AI视讯,33,002771.SZ,002771
尼龙6切片+PA66项目+产能扩张,17,605166.SH,605166
燃气+氢能中心+控制权变更完成,33,000593.SZ,000593
算力采购+人形机器人+智慧口岸,33,002990.SZ,002990
机器人+包装装备+激励计划,33,002209.SZ,002209
ST板块+半导体创投+房地产回款,33,000609.SZ,000609
热电联产+新能源注入预期+大连国资,17,600719.SH,600719
无人环卫+智慧环卫+新能源装备,33,001230.SZ,001230
收购钨矿+光伏钨丝,17,600549.SH,600549
童装+三胎概念+跨境电商+增持完成,33,002875.SZ,002875
,33,002294.SZ,002294
退市博弈+算力+移动安全,33,000004.SZ,000004
锂矿资源+存储芯片+拟定增,33,002213.SZ,002213
业绩扭亏+锂电模具+光伏减速器,17,603032.SH,603032
燃气轮机+核电铸件+水电转轮,17,603315.SH,603315
,33,000669.SZ,000669
,22,600636.SH,600636
一季报业绩预增+商业航天+硬质合金,33,002297.SZ,002297
军工装备+商业航天+无人机禁毒,22,688287.SH,688287
,22,603021.SH,603021
一季度预增+农机柴油机+常州国资,33,000570.SZ,000570
锂电回收+拟并购杭州蓝然+核电废水处理+膜分离装备,33,301148.SZ,301148
不锈钢管+核电+光热发电,17,603878.SH,603878
被申请重整+AI短剧+影视制作,33,300027.SZ,300027
硅光芯片+光模块+消费电子,17,603052.SH,603052
锂电池结构件+人形机器人+年报增长,33,002850.SZ,002850
,22,600599.SH,600599
一季报增长+224G连接器+液冷服务器,17,688668.SH,688668
COFs验证+固态电池材料+纤维母粒+年报预增,33,300905.SZ,300905
钨全产业链+PCB微钻+一季报预增+央企,33,000657.SZ,000657
铟靶材+固危废资源化+ST炒作,33,000711.SZ,000711
猪肉+预制菜+直播带货,33,002726.SZ,002726
算电协同+储能+回购股份注销,17,601778.SH,601778
基建中标+车路协同+上海国资,17,600284.SH,600284
锂矿放量+铁矿龙头+金属锂电池新材料,33,001203.SZ,001203
电容膜+国企改革,33,002263.SZ,002263
一季报预增+受益于银价上涨+电接触,17,600768.SH,600768
光纤光缆+CPO+算力租赁+深圳国资,33,000070.SZ,000070
益生菌+味动力+扭亏预期,17,605388.SH,605388
算力集群+光纤+CPO,17,603220.SH,603220
算力+AI智能体+中标光伏,33,002929.SZ,002929
人形机器人+光伏+基建,33,002062.SZ,002062
燃气轮机+拟投资轮胎装备+轮胎模具,33,002595.SZ,002595
集成灶+智能家居+退市保壳博弈,17,605336.SH,605336
算力租赁+风电轴承+扭亏为盈+国企,17,603985.SH,603985
,22,600696.SH,600696
精密传动+拟收购博泰智能+IC分销+机器人,17,603933.SH,603933
机器人+电磁线+新能源汽车,17,603897.SH,603897
创新药+眼科III期+ST摘帽预期,33,002581.SZ,002581
弹簧扁钢+特钢+业绩大增,17,600507.SH,600507
一季报预增+快递涨价+经济型快递,33,002468.SZ,002468
算力+机器人+新能源环卫,33,000967.SZ,000967
