market_code,涨停原因类别[20260513],股票代码,code
17,算力租赁+PCB油墨+一季报增长,603110.SH,603110
33,精纺呢绒+外销占比高+ST摘帽预期,002193.SZ,002193
33,硅碳负极+氢能源+回购,002825.SZ,002825
17,液冷并购+人形机器人+镁合金结构件+AIPC,603890.SH,603890
33,股份转让+小家电+露营经济,001259.SZ,001259
17,算力租赁+蓝宝石+扭亏,600666.SH,600666
33,创投+光芯片+索尔思光电交割+涤纶化纤,000936.SZ,000936
17,长存投资+创投+核桃乳,603156.SH,603156
33,创新药+原料药+定增推进,002940.SZ,002940
33,实控人变更+AI医保+国企,002777.SZ,002777
17,算力租赁+液冷+拟收购易信科技+湖南国资,600156.SH,600156
33,半导体前驱体+存储芯片+HBM,002409.SZ,002409
17,算力+SST+电网设备,601126.SH,601126
33,数据中心+军工特种电机+危废回收,002760.SZ,002760
17,绿电转型+热电联产+央企,600726.SH,600726
17,算电协同+储能+电梯部件,605286.SH,605286
33,汽车铝型材+步步高纾困+ST摘帽预期,002501.SZ,002501
33,风光电站+重大资产重组+限售股解禁+北京国资,002310.SZ,002310
33,特种水产饲料+越南投产+一季度高增长,001313.SZ,001313
33,机器人+特斯拉概念+通信结构件+新能源汽车,002547.SZ,002547
33,PCB设备+商业航天+3D打印,002008.SZ,002008
17,热电联产效益释放+国企,600982.SH,600982
17,算力租赁+IDC转型+央企入主,603887.SH,603887
22,天津国资+工业地产+利空落地+ST板块,600082.SH,600082
33,算力中心+家装AI+摘帽申请,002713.SZ,002713
33,绿色电力+火电盈利修复+山西国资,000767.SZ,000767
33,摘帽+剥离光伏胶膜业务+动保兽药,002868.SZ,002868
22,,600180.SH,600180
33,数据中心+供能+蓄冷储能,001210.SZ,001210
33,,301053.SZ,301053
33,摘帽预期+精细化工+锂电池添加剂,000691.SZ,000691
33,算电协同+储能+绿电直供,000601.SZ,000601
17,机器人+染料助剂+业绩增长,603790.SH,603790
22,摘帽申请+低空经济+扭亏为盈,603559.SH,603559
33,数据中心电源+商业航天+锯切龙头,002843.SZ,002843
17,先进电子材料+硅碳负极+军工材料,605589.SH,605589
33,磷酸铁锂+固态电池+业绩扭亏,002805.SZ,002805
33,特高压线缆+航空零部件+券商上调评级,002560.SZ,002560
17,电子特气+电力设备+真空灭弧室+央企,600379.SH,600379
33,算电协同+固废处理+转债强赎,002034.SZ,002034
33,,002082.SZ,002082
17,六氟化钨+存储上游+电子特气+央企,688146.SH,688146
17,更名+机器人+储能+摘帽,603007.SH,603007
17,参股公司H股上市+电力+光伏+无锡国资,600475.SH,600475
22,申请摘帽+酒水高增+虫草龙头,600381.SH,600381
33,算电协同+虚拟电厂+储能,002015.SZ,002015
33,,002810.SZ,002810
22,,688496.SH,688496
33,萤石矿+路桥基建+机器人,002628.SZ,002628
17,覆铜板+AI服务器+业绩高增,600183.SH,600183
33,AI服务器电源+机器人电源+消费电子快充,002993.SZ,002993
22,,603828.SH,603828
33,申请撤销退市风险警示+啤酒饮料+果汁扩产,000929.SZ,000929
33,重整投资人+光伏建筑一体化+建筑装饰,002620.SZ,002620
22,,600818.SH,600818
33,债务延期+跨境电商+地方国资,000632.SZ,000632
17,算力租赁+业绩暴增+高送转,603629.SH,603629
33,重整资金到账+海南国资入主+文旅传媒,000793.SZ,000793
33,广西国资拟入主+智能物流+*ST博弈,002175.SZ,002175
22,,600678.SH,600678
17,光伏+储能+中字头+一季报扭亏,603126.SH,603126
33,ST摘帽预期+汽车轻量化+光伏组件,002529.SZ,002529
17,鸿海“提前供货”英伟达全光CPO机柜+AI服务器,601138.SH,601138
33,机器人+煤矿装备+ST板块,002691.SZ,002691
33,锌锭增产+绿色电力+曲靖国资,002114.SZ,002114
33,干式变压器+数据中心+储能+核电,000533.SZ,000533
17,重大突破+金刚石散热+培育钻石+半导体,600172.SH,600172
17,芯片概念+高端木作+智能家居,603216.SH,603216
17,绿电扩张+风电+储能突破+央企,601016.SH,601016
33,电源设备+数据中心+储能+液冷服务器,002518.SZ,002518
33,500kV海缆+特高压+海上风电+一季报增长,002498.SZ,002498
17,光纤材料+存储芯片+电子特气,603938.SH,603938
17,煤炭+电力+国企,600758.SH,600758
17,天然气+页岩气收购+贵州国资,600903.SH,600903
33,存储芯片+企业级SSD+涨价周期,001309.SZ,001309
33,BIPV+储能+枣庄国资,002323.SZ,002323
22,碳化硅+新能源汽车+消费电子+ST摘帽预期,603595.SH,603595
17,黄金零售+商业零售+老字号+杭州金帝入主,600857.SH,600857
