market_code,股票代码,code,涨停原因类别[20260317]
33,001278.SZ,001278,
22,600599.SH,600599,业绩预盈+烟花爆竹+退市博弈+ST板块
17,600643.SH,600643,多元金融+上海不动产信托+参股券商
33,000638.SZ,000638,
17,605167.SH,605167,氢模块+核电模块+工业模块
33,000820.SZ,000820,储能中标+固废处理+退市风险
33,002565.SZ,002565,商业航天+增资轨道辰光+环保纸
33,301667.SZ,301667,电池液冷板+数据中心液冷+次新股
33,000890.SZ,000890,钢帘线剥离+光纤概念+环保设备
33,002150.SZ,002150,光伏设备+储能一体机+外销
17,600691.SH,600691,氢能装备+煤化工+山西国资
17,603929.SH,603929,IC洁净室+东南亚订单+年报增长
17,600370.SH,600370,瓶级聚酯切片+PTA龙头+机器人概念
22,600355.SH,600355,
17,600227.SH,600227,甲醇+尿素+化肥+煤炭
33,000908.SZ,000908,重整完成+创新药CDMO+合成生物
22,600265.SH,600265,算力租赁+资产重组+林业
17,603778.SH,603778,固态电池+异质结光伏+光伏治沙
33,301680.SZ,301680,储能+宁德时代+次新股
33,001369.SZ,001369,锂电电解液+聚乙烯醇+电石+光伏PVB膜
33,001210.SZ,001210,
17,600791.SH,600791,地产+北京国资+京津冀
33,002253.SZ,002253,军工射频+低空经济+空管系统
17,603992.SH,603992,人形机器人+康养+转债赎回
33,002629.SZ,002629,油服工程+光伏EPC+改性材料
17,600408.SH,600408,焦炭+煤炭+循环经济
17,603685.SH,603685,算电协同+绿电算力+照明组件
33,000488.SZ,000488,复工复产+浆纸一体化+山东国资
33,000572.SZ,000572,氢能汽车+海南封关+整车出口+氢能政策
22,600753.SH,600753,
17,688031.SH,688031,
17,688295.SH,688295,T1200级碳纤维+全球首发+央企
17,600545.SH,600545,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销
33,002285.SZ,002285,房地产服务+IDC中标+珠海国资
17,600396.SH,600396,氢能+绿电+央企
33,000042.SZ,000042,地产产业链+粤港澳大湾区+项目热销
17,605255.SH,605255,
33,002470.SZ,002470,化肥+磷化工+缓控释肥+国企改革
17,603248.SH,603248,风电齿轮箱+大兆瓦产品
17,603693.SH,603693,海上风电注入+绿色电力+江苏国资
22,600381.SH,600381,退市博弈+高端白酒+中药大健康
33,301226.SZ,301226,人形机器人+商业航天+无框电机
33,000004.SZ,000004,
17,600683.SH,600683,拟剥离地产+北京国资+TOD轨道物业
22,603580.SH,603580,退市博弈+轻型输送带+两岸融合
33,002256.SZ,002256,盐湖提锂+业绩预增+精细化工+光伏
22,603828.SH,603828,
33,002808.SZ,002808,ST板块+OPC感光鼓+新能源转型+退市风险
17,600569.SH,600569,特钢转型+河南国资
17,600330.SH,600330,
33,000669.SZ,000669,其它
33,002506.SZ,002506,光伏设备+TOPCon电池+储能系统
33,000533.SZ,000533,算力基建+北美出口+干式变压器
22,603398.SH,603398,光伏硅片+预重整+退市博弈
17,600172.SH,600172,
17,600307.SH,600307,钢铁+氢能源+可控核聚变+甘肃国资
17,601016.SH,601016,绿电+储能布局+央企
17,605277.SH,605277,高频高速铜缆+液冷服务器+新能源线缆
22,603843.SH,603843,算力租赁+重整进展+基建转型
33,000020.SZ,000020,深圳旧改+液晶显示+物业经营
17,603387.SH,603387,体外诊断+POCT+流感
22,600289.SH,600289,4亿合同+算力概念+ST保壳
17,600860.SH,600860,
33,002323.SZ,002323,光伏建筑一体化+光伏设备+枣庄国资
17,603127.SH,603127,
33,002637.SZ,002637,
17,603052.SH,603052,
