market_code,涨停原因类别[20260723],code,股票代码
17,风光储氢+储能项目+稀土,600173,600173.SH
17,拟收购欧康诺+存储测试设备+PVC弹性地板,603221,603221.SH
33,商品混凝土+海南自贸区+实控人股份拍卖+中报减亏,002596,002596.SZ
17,实控人航天科技+泵及泵系统+煤化工+半年报减亏,600343,600343.SH
17,原料药获批+创新药+中报扭亏+扬州国资,600513,600513.SH
33,ST板块+碳酸锂+多金属矿,002667,002667.SZ
33,锂矿采选+中报预增+四川国资,000155,000155.SZ
33,磷化工+磷酸铁+一季报增长,002539,002539.SZ
33,庭外重组+建筑装饰+佛山国资,002856,002856.SZ
17,煤化工+草酸扩产+中报预计扭亏,600844,600844.SH
33,回购+增持+液冷+电缆附件,002879,002879.SZ
33,中药+独家品种+中报预增,002412,002412.SZ
33,商业运营+数字科技+摘帽,000608,000608.SZ
33,新型电网+数据中心+河南国资,002358,002358.SZ
17,半导体材料+光伏胶膜+锂电池材料+中报大幅减亏,603212,603212.SH
17,半年报增长+矿冶装备+机器人+央企,600980,600980.SH
17,电网设备+中报预增+央企,600550,600550.SH
22,绿色算力+矿业+预重整+ST板块,603843,603843.SH
17,铝全产业链+航空铝材+印尼扩产,600219,600219.SH
17,特高压中标+中报预增+国企改革,601700,601700.SH
17,液冷泵+六张网建设+智慧水务,603956,603956.SH
33,智能制造+共享充电宝+退市风险博弈,002514,002514.SZ
33,,002432,002432.SZ
22,算力卡定制+GPU,600289,600289.SH
33,摘帽复牌+碳酸锂+石英晶体元器件,002199,002199.SZ
33,白银龙头+黄金概念+铅锌+中报预增,000603,000603.SZ
17,人形机器人+汽车零部件+业绩预增,603331,603331.SH
33,算力租赁+东数西算+中国诚通旗下,000815,000815.SZ
17,油气开发+FPSO模块+重大合同,603727,603727.SH
33,油气开采+可燃冰+海外布局,301158,301158.SZ
