涨停原因类别[20260811],market_code,股票代码,code
液冷服务器+智慧灯杆+照明工程,33,002963.SZ,002963
造纸+产能扩张+循环经济+次新股,17,603284.SH,603284
跨界存储+建筑幕墙+新签项目增长,17,603137.SH,603137
油气开采+伊拉克项目+ST摘帽预期,22,600759.SH,600759
机器人+汽车饰件+全球化布局,17,603179.SH,603179
彩票印制+数据确权+防伪溯源+控制权变更,33,002235.SZ,002235
人形机器人+丝杠+汽车零部件,17,603009.SH,603009
光刻胶+战略入股+PEEK材料+有机颜料,17,603823.SH,603823
算力租赁+彩票印刷,33,002229.SZ,002229
算电协同+储能+电梯部件,17,605286.SH,605286
工业母机+谐波减速器+圆台磨床中标,33,002248.SZ,002248
光刻胶+MLCC+聚酰亚胺+并购重组,33,000859.SZ,000859
模块化数据中心+算力租赁+央企入主,17,603887.SH,603887
机器人+谐波减速器+汽车轮毂轴承,33,301550.SZ,301550
乳业+新式茶饮+代工+种源突破,33,002329.SZ,002329
人形机器人+RV减速器+轮胎模具,33,002031.SZ,002031
药品零售+股份回购+员工持股,17,603883.SH,603883
职业装+校服+通勤服,33,002687.SZ,002687
减持未实施+算力租赁+浙江国资,17,600126.SH,600126
煤机装备+智慧矿山+华为合作+定增获批,17,603012.SH,603012
AI安全+智算云+车联网安全,33,002212.SZ,002212
MLCC离型膜+复合铜箔+光学膜+半年报预计扭亏,33,002585.SZ,002585
机器人概念+电磁线+年报增长,17,603897.SH,603897
军工+军事仿真+电梯门系统,17,603488.SH,603488
染料+资产处置+一季报增长+常州国资,17,603188.SH,603188
AI应用+金融智能终端+金融信创,17,603106.SH,603106
创新药+CRO+收购赛德盛,33,301520.SZ,301520
CRO+创新药+金华国资,17,600721.SH,600721
影视院线+AI漫剧+北京国资,17,600715.SH,600715
人形机器人+真空镀膜+发动机核心零部件+回购注销,17,603758.SH,603758
《欢迎来龙餐馆》上映+影视全产业链+半年报减亏,33,000802.SZ,000802
橡胶密封件+新能源汽车+年报增长,17,603655.SH,603655
影视院线+AI应用+半年报扭亏,33,300426.SZ,300426
创新药+集采拟中标+半年报预增,17,600664.SH,600664
资产重组+拟购光电子资产+TOD轨道物业+北京国资,17,600683.SH,600683
SPD+医药商业+资产收购+上海国资,17,600272.SH,600272
光伏+收购新能源运维公司+盐湖提锂+定增,33,002256.SZ,002256
光耦合器+股权转让+国企改革,33,002047.SZ,002047
电力+新能源+煤电联营+央企,17,600863.SH,600863
污水处理+PPP项目+估值提升,17,603797.SH,603797
乳业+烘焙食品+米制鲜食,17,605179.SH,605179
母婴用品+摘帽+中报预计扭亏,33,002762.SZ,002762
半年报增长+硝化棉+商业航天+央企,33,002246.SZ,002246
机器人+智能线性驱动+新能源汽车,17,605288.SH,605288
无人驾驶+上海出租车+间接投资长江存储+算力,17,600611.SH,600611
半年报增长+风电+光伏+新疆国资,33,001258.SZ,001258
6G预研+滤波器龙头+卫星通信,33,002194.SZ,002194
黄金概念+汽车零部件+一季报增长,33,002715.SZ,002715
创新药+预重整+重整投资人招募+长春国资,17,600881.SH,600881
黄金珠宝+数字货币+AI应用+海淀国资,33,002721.SZ,002721
医药商业+中报预增+上海国资,17,600833.SH,600833
存储芯片+先进封装+SK海力士+无锡国资,17,600667.SH,600667
算力+IDC+家居商贸+房地产,17,600162.SH,600162
港机出海+GPU芯片+重大合同+中报预增,33,002685.SZ,002685
服装主业+股权变卖+ST板块,22,600107.SH,600107
GLP-1出海+独家许可协议+创新药+胰岛素龙头,17,603087.SH,603087
拟重大资产重组+复牌+真空镀膜设备+环境监测,33,300862.SZ,300862
拟收购埃福思科技+MLCC离型膜+载带满产,33,002859.SZ,002859
,33,002350.SZ,002350
,22,600730.SH,600730
参股算力建设（金额较小）+工程咨询+AI应用+甘肃国资,33,000779.SZ,000779
机器人+汽车内饰件+定增获批,33,301529.SZ,301529
