code,股票代码,market_code,涨停原因类别[20260604]
002491,002491.SZ,33,光纤涨价+通信电缆+合资投建
603903,603903.SH,17,芯长征入主+功率半导体+污水处理+一季报扭亏
002645,002645.SZ,33,稀土永磁+机器人+一季报大增
600703,600703.SH,17,光芯片+碳化硅+CPO+金刚石散热
300726,300726.SZ,33,钽电容+陶瓷电容+光模块+商业航天
002353,002353.SZ,33,燃气轮机+北美数据中心+油气装备
605060,605060.SH,17,燃气轮机+液冷+明德二期投产
600280,600280.SH,17,
002501,002501.SZ,33,重大资产重组+汽车铝型材+ST摘帽预期
603950,603950.SH,17,柴油动力单元+发动机零部件+重大资产重组
002547,002547.SZ,33,
000582,000582.SZ,33,
003011,003011.SZ,33,PVC地板出口+年报增长+回购
600439,600439.SH,17,发制品+跨境电商+人形机器人+股东间接参投黄河信产
002496,002496.SZ,33,
603210,603210.SH,17,汽车结构件+新能源客户+权益分派+业绩增长
600180,600180.SH,22,海外煤炭+诉讼撤诉+债务化解
000670,000670.SZ,33,长江存储代理+半导体分销+重大资产重组
003036,003036.SZ,33,电子布纺织机+纺织机器人+固态电池+高端纺机
600408,600408.SH,17,焦炭+型钢+碳减排
600302,600302.SH,22,
003043,003043.SZ,33,半导体设备+固态电池+精密金属结构件
002585,002585.SZ,33,MLCC产能扩张+复合铜箔量产+扭亏为盈
688031,688031.SH,17,AI基础设施软件提供商+数据库+一季报增长
000718,000718.SZ,33,地产+医美增长+低负债率
603559,603559.SH,22,
000838,000838.SZ,33,
605398,605398.SH,17,AI应用+AIGC短剧+智能运维
603989,603989.SH,17,MLPC+铝电解电容+AI服务器+新能源
002931,002931.SZ,33,优必选入主+机器人概念+园林机械零部件
002789,002789.SZ,33,
301188,301188.SZ,33,中硼硅药用玻璃+RTU免洗免灭药包+产品涨价
002875,002875.SZ,33,
002082,002082.SZ,33,
688146,688146.SH,17,电子特气龙头+存储上游+六氟化钨+央企
603286,603286.SH,17,人形机器人+电子皮肤+北美工厂+传感器
605162,605162.SH,17,可转债赎回完成+热电联产+弗迪电池供热
002213,002213.SZ,33,半导体存储+锂矿审批
000759,000759.SZ,33,
688378,688378.SH,17,OLED蒸发源+中标京东方+一季报增长
600353,600353.SH,17,氮化铝+韩国客户+真空灭弧室+可控核聚变
002733,002733.SZ,33,算力UPS+氢能+归还募资
603500,603500.SH,17,超级电容+轨交扣件+产能扩张
