股票代码,涨停原因类别[20260129],code,market_code
603001.SH,皮鞋+智能制造,603001,17
600339.SH,油气资源+一带一路+央企,600339,17
601579.SH,黄酒+高端化+年轻化+足球,601579,17
000638.SZ,,000638,33
000506.SZ,扭亏为盈+黄金+国企,000506,33
000630.SZ,铜价上涨+黄金+铜箔+国企,000630,33
601069.SH,金价新高+黄金采选冶+新疆国资,601069,17
601212.SH,黄金+白银+铜冶炼+锂电材料,601212,17
601155.SH,房地产板块+吾悦广场+商业运营,601155,17
002948.SZ,业绩超预期+不良双降+青岛国资,002948,33
000596.SZ,白酒+中期分红+国企改革,000596,33
002995.SZ,持股艺莲文创+AI营销+海南陵发战投,002995,33
002731.SZ,,002731,33
003002.SZ,,003002,33
603162.SH,运力扩张+海峡两岸+干散货航运,603162,17
600525.SH,,600525,22
000799.SZ,白酒+胖东来+央企,000799,33
300561.SZ,,300561,33
001316.SZ,业绩预增+商业航天+低空经济,001316,33
001386.SZ,建筑陶瓷+AIGC+分红派息,001386,33
600059.SH,高端黄酒+品牌热度+国潮出海+绍兴国资,600059,17
603619.SH,伊拉克中标+油气一体化+民营龙头,603619,17
600199.SH,白酒+亏损收窄+国企改革,600199,17
002496.SZ,,002496,33
603958.SH,机器人+消费电子+钛合金粉+重组进展,603958,17
600531.SH,白银涨价+黄金+铅铜龙头+国企改革,600531,17
605080.SH,露营经济+AI赋能+三季报增长,605080,17
002155.SZ,重组复牌+黄金预增+湖南国资,002155,33
002304.SZ,白酒+苏超合作+国企改革,002304,33
000813.SZ,创新药+东方略+国企,000813,33
600392.SH,稀土+Peak收购+央企,600392,17
000901.SZ,商业航天+车联网+央企,000901,33
601118.SH,橡胶龙头+海南国资+收入保险,601118,17
000858.SZ,白酒+分红+浓香龙头,000858,33
600702.SH,白酒+老酒战略+明星代言,600702,17
600559.SH,白酒+河北龙头+国企背景,600559,17
600381.SH,,600381,22
002586.SZ,,002586,33
603828.SH,,603828,22
002620.SZ,,002620,33
600215.SH,机器人+新能源车+北美订单,600215,17
002181.SZ,AI营销+全运会IP+广州国资,002181,33
600735.SH,,600735,22
605099.SH,足球概念+苏超赞助+全球龙头,605099,17
603103.SH,春节档+AI漫剧+院线龙头,603103,17
600678.SH,太空采矿+建材+国企改革,600678,17
003042.SZ,,003042,33
002246.SZ,,002246,33
605288.SH,,605288,17
600959.SH,文化传媒+苏盐井神定增+算力云网+江苏国资,600959,17
603589.SH,白酒+兼香型龙头+业绩预减落地,603589,17
600684.SH,AI应用+全运会+文体运营+广州国资,600684,17
600084.SH,葡萄酒+中字头+AMC,600084,17
000878.SZ,收购凉山矿业+黄金+有色金属+央企,000878,33
600871.SH,CCUS+央企油服+海外大单,600871,17
688287.SH,,688287,22
600197.SH,白酒+国企改革,600197,17
000595.SZ,,000595,33
000737.SZ,黄金+铜+山西国资+压延铜箔,000737,33
300780.SZ,商业航天+机器人+机械传动,300780,33
000607.SZ,数字人+AIGC+杭州国资+文化传媒,000607,33
300344.SZ,实控人公开信+退市风险+数字云服务,300344,33
002883.SZ,,002883,33
300975.SZ,存储芯片+机器人+业绩预增+收购立功,300975,33
600809.SH,白酒+清香龙头+山西国资,600809,17
002207.SZ,油气服务+新疆国资+定增推进,002207,33
600421.SH,业绩预盈+股权转让终止+风电模具,600421,22
002277.SZ,,002277,33
002231.SZ,,002231,33
603916.SH,AI4S+混凝土外加剂+雅下水电,603916,17
600759.SH,油气开采+哈萨克斯坦油田+海南自贸区,600759,17
603198.SH,白酒+徽酒龙头+生态洞藏,603198,17
300164.SZ,油气+北美巨头合作+射孔技术,300164,33
000560.SZ,房地产经纪+租售同权+三季报增长,000560,33
600779.SH,白酒+高端浓香+梁朝伟代言,600779,17
000711.SZ,ITO靶材+有色金属+金属铟+资产注入,000711,33
000029.SZ,扭亏为盈+深圳国资+房地产,000029,33
000568.SZ,白酒+分红+悦己消费+国企,000568,33
001270.SZ,,001270,33
600355.SH,,600355,22
002678.SZ,赛马概念+文旅转型+广州国资,002678,33
000554.SZ,年报预增+新能源转型+央企回购,000554,33
600785.SH,黄金+零售+股权转让,600785,17
603980.SH,分散染料+宇树科技+创新药,603980,17
002440.SZ,染料龙头+涨价+年报预增,002440,33
603369.SH,白酒+国缘V3+国企改革,603369,17
600986.SH,AI营销+GEO概念+浙江国资,600986,17
600722.SH,甲醇+风电+国企改革,600722,17
000995.SZ,白酒+区域强牌+控股股东增持,000995,33
600499.SH,拟收购特福国际+非洲建材+陶瓷机械+复牌,600499,17
603919.SH,白酒+高端产品增长+全国化布局,603919,17
600273.SH,化工+脂肪醇+PVC+回购进展,600273,17
002646.SZ,青稞酒+出海,002646,33
603876.SH,业绩预增+电池铝箔+电解铝,603876,17
001376.SZ,安哥拉电解铝+热电联产+境外投资,001376,33
600696.SH,酱香型白酒+退市风险+直播电商,600696,22
002455.SZ,磷酸铁锂+锂电闭环+精细化工,002455,33
600916.SH,黄金销售+培育钻石+央企,600916,17
600119.SH,,600119,17
002898.SZ,,002898,33
000510.SZ,,000510,33
003004.SZ,,003004,33
601388.SH,年报预增+再生铝+汽车拆解,601388,17
002030.SZ,,002030,33
603678.SH,,603678,17
002970.SZ,无人巴士+越南产能+业绩预增,002970,33
300781.SZ,AI营销+字节生态+智驾营销,300781,33
002047.SZ,,002047,33
600193.SH,,600193,22
000863.SZ,IP经济+绿色地产+数字文旅,000863,33
002689.SZ,,002689,33
603843.SH,,603843,22
002259.SZ,天然气+西部大开发+前三季度业绩同比扭亏,002259,33
600649.SH,房地产+上海国资+回购,600649,17
000031.SZ,商业地产+物业管理+大消费+央企,000031,33
603172.SH,分散染料涨价+聚酰亚胺+越南子公司,603172,17
002214.SZ,,002214,33
603599.SH,农药+农业股联动+光气资源,603599,17
002199.SZ,,002199,33
002528.SZ,,002528,33
603090.SH,,603090,17
