股票代码,market_code,涨停原因类别[20260817],code
603110.SH,17,PCB电子油墨+算力租赁+半年报预增,603110
001207.SZ,33,炭黑+二氧化硅+半年报分红+回购,001207
003031.SZ,33,CPO+电子陶瓷+央企,003031
301516.SZ,33,服务器电源+储能+央企,301516
603082.SH,17,机器人+AI+资产收购+央企,603082
000564.SZ,33,供销社+县域消费+海南自贸港+股份回购,000564
600127.SH,17,粮食概念+大健康食品+湖南国资,600127
600165.SH,22,申请摘帽+长链二元酸+合成生物,600165
603118.SH,17,数据中心交换机+光通信+机器人+唐山国资,603118
603657.SH,17,家庭具身机器人+清洁电器+定增扩产,603657
300684.SZ,33,中际旭创入股+CPO散热+液冷服务器,300684
603823.SH,17,光刻胶+战略入股+PEEK材料+有机颜料,603823
002258.SZ,33,草铵膦+精草铵膦+合成生物+华润双鹤拟入主,002258
002863.SZ,33,半年报增长+人形机器人+铝合金轮毂,002863
002353.SZ,33,AIDC燃气轮机+大额订单+微电网,002353
603929.SH,17,半导体洁净室+半年报增长+海外业务,603929
002651.SZ,33,商业航天+军工+机器人+分红提议,002651
002229.SZ,33,算力租赁+彩票印刷+成立科技公司,002229
605060.SH,17,燃气轮机+数据中心+液冷,605060
600313.SH,17,种业+粮食概念+央企,600313
603079.SH,17,维生素+合成生物+生物保鲜剂+回购,603079
300314.SZ,33,三胎概念+微创外科器械+年报增长,300314
000670.SZ,33,电子元器件分销+存储芯片+重大资产重组,000670
603958.SH,17,中报扭亏+苹果产业链+工业母机+重组,603958
300570.SZ,33,中报增长+CPO+MPO连接器+产能扩张,300570
002476.SZ,33,精细化工+聚丙烯酰胺+品牌推广,002476
000735.SZ,33,“牛”字炒作+生猪养殖+海南自贸区,000735
603790.SH,17,PEEK材料+染料+一季报增长,603790
301282.SZ,33,AI算力PCB+CPO概念+人形机器人,301282
600545.SH,17,玻纤机+纺织机械+机器人+中报减亏,600545
002682.SZ,33,宁德时代换电+排水机器人+沥青物流+国企改革,002682
300313.SZ,33,肉牛全产业链+活畜销售增长+摘帽,300313
600824.SH,17,黄金珠宝+零售+上海国资,600824
000802.SZ,33,,000802
603286.SH,17,人形机器人+电子皮肤+汽车零部件,603286
605162.SH,17,热电联产+弗迪电池供汽+电网储能,605162
002156.SZ,33,先进封装+AMD产业链+半年报预增,002156
688378.SH,17,玻璃基板+OLED蒸发源+光刻胶+中报预增,688378
600353.SH,17,氮化铝+可控核聚变+光刻机+真空灭弧室,600353
002028.SZ,33,超级电容扩产+AI数据中心+电网设备+半年报增长,002028
603330.SH,17,生肖炒作+CPO+电子胶+半年报预盈,603330
001318.SZ,33,乳业+低温乳品+老字号,001318
603703.SH,17,卫星通信+定增+高速铜缆+海外收购,603703
002742.SZ,33,半年报减亏+医药制造+资产注入,002742
600172.SH,17,金刚石散热+培育钻石+许昌国资,600172
600206.SH,17,半导体靶材+存储芯片+稀土+半年报增长,600206
000505.SZ,33,粮食概念+油脂加工+国企改革,000505
002478.SZ,33,HRSG管（用于燃机）+特材项目+油井管,002478
000737.SZ,33,铜+PCB概念+山西国资+半年报预增,000737
002668.SZ,33,AI智慧家电+全球化布局+中报预披露,002668
600860.SH,17,机器人概念+氢能储运+北京国资,600860
002838.SZ,33,机器人材料+乙丙橡胶扩产+半年报预增,002838
000779.SZ,33,参股算力建设（金额较小）+工程咨询+AI应用+甘肃国资,000779
