涨停原因类别[20260430],market_code,股票代码,code
具身智能+CPO+机器视觉+一季报高增,17,688400.SH,688400
光通信+机器人+光电集成封测,33,300632.SZ,300632
硫铁矿涨价+新能源材料+广东国资,33,000833.SZ,000833
商业航天+稀有金属+国企+章建平新进,33,002149.SZ,002149
防伪溯源+控制权变更,33,002235.SZ,002235
一季报大增+稀土回收+汽车拆解,33,002645.SZ,002645
生猪养殖+红曲业务+猪肉概念+绿色电力,17,603717.SH,603717
资产出售+物业管理+天津国资,17,600322.SH,600322
半导体真空泵+数据中心压缩机+光伏真空泵,33,002158.SZ,002158
,22,600053.SH,600053
成飞概念+航空收购+精密零部件,33,001268.SZ,001268
,33,002731.SZ,002731
,33,300068.SZ,300068
,22,603359.SH,603359
一季报扭亏+AI智慧建造+先进光源+建筑装饰,17,603030.SH,603030
整车复产+海外布局+减亏,33,000980.SZ,000980
一季报增长+可转债受理+商业航天,33,001316.SZ,001316
一季报增长+棉籽蛋白+棉花+兵团国资,17,600540.SH,600540
,33,002501.SZ,002501
,33,002547.SZ,002547
定增审核通过+人形机器人+液冷+数控机床,33,300083.SZ,300083
国家电投入主+碳酸锶+硫磺+30万吨天青石项目,17,600714.SH,600714
商业航天+军工电子+固态发射机+ST板块,33,002977.SZ,002977
,22,600180.SH,600180
一季报扭亏+零食量贩+线下茶饮,17,603711.SH,603711
,22,600239.SH,600239
一季报高增+工业清洗剂+3C电子,33,001218.SZ,001218
一季报增长+海缆扩产+商业航天,17,605222.SH,605222
人形机器人+一季报增长+商业航天+越南建厂,33,300885.SZ,300885
半导体设备+工业杀菌剂+减持终止+回购,17,603360.SH,603360
一季报增长+钠电材料+硅碳负极,33,002591.SZ,002591
算力采购+人形机器人+智慧口岸,33,002990.SZ,002990
扭亏为盈+核电装备+央企,17,601106.SH,601106
,33,000909.SZ,000909
江西中久拟入主+房地产+ST板块,33,000838.SZ,000838
ST摘帽预期+通信工程+扭亏为盈,22,603559.SH,603559
,33,002209.SZ,002209
,17,600545.SH,600545
半导体资产注入+ST博弈+房地产,33,000609.SZ,000609
业绩扭亏+磷酸铁锂+固态电池,33,002805.SZ,002805
,33,000016.SZ,000016
控股股东增持+会展+北京国资+养老,17,601588.SH,601588
电子特气+氢能+储能+特高压+央企,17,600379.SH,600379
预重整推进+无缝服装主业+ST板块,33,002634.SZ,002634
锂盐产能扩张+一季度扭亏+固态电池材料,17,603399.SH,603399
,22,603729.SH,603729
一季报增利+商业航天+焊接切割+机器人,17,603131.SH,603131
一季报净利扭亏+跨境电商+母婴奶粉,33,002640.SZ,002640
申请摘帽+酒水高增+虫草龙头,22,600381.SH,600381
,22,688496.SH,688496
体育产业+一季报减亏+央企,17,600158.SH,600158
氢能碳纸+土地补偿+一季报增长+央企,17,600433.SH,600433
控制权变更+光伏建筑一体化+装配化装修,22,603828.SH,603828
,33,002620.SZ,002620
,33,002431.SZ,002431
AI应用+世界杯+广州国资,33,002181.SZ,002181
,33,000632.SZ,000632
,22,600735.SH,600735
,22,600818.SH,600818
业绩增长+体育产业+人造草坪,17,605099.SH,605099
,33,002175.SZ,002175
,22,600678.SH,600678
一季报增长+机器人关节+先进封装+空调风叶,17,603726.SH,603726
,17,600821.SH,600821
一季报增长+百货零售+IP经济+参股券商,17,601086.SH,601086
,33,002691.SZ,002691
,17,603516.SH,603516
一季报增长+拟收购菲莱测试+半导体检测,17,688531.SH,688531
一季报大增+AI芯片+算力需求,17,688256.SH,688256
,22,600084.SH,600084
AI服务器电源+国产算力+信创+CPU+央企,33,000066.SZ,000066
,22,600537.SH,600537
港机出海+GPU芯片+一季报增长,33,002685.SZ,002685
,33,002368.SZ,002368
汽车销售+医药器械+物业租赁,33,000007.SZ,000007
一季报大增+困境资管+海南自贸区,33,000567.SZ,000567
收购莱恩光电+光气资源+精细化工+光刻胶概念,33,002453.SZ,002453
,33,002210.SZ,002210
,33,002323.SZ,002323
集成电路+国资背景+ST板块,22,600730.SH,600730
一季报大增+草甘膦+央企,33,000553.SZ,000553
ST板块+油气服务+新疆国资,33,002207.SZ,002207
,33,000010.SZ,000010
,22,603922.SH,603922
,33,300594.SZ,300594
,22,600759.SH,600759
一季报增长+体育产业+健身器材,17,605299.SH,605299
量子科技+医药+园区+上海国资,22,600624.SH,600624
一季报增长+锂矿资源+固态电池+津巴布韦出口,33,002240.SZ,002240
,33,002726.SZ,002726
摘帽+T/R芯片+商业航天,33,001270.SZ,001270
一季报高增+MLCC镍粉+扩产640吨,17,605376.SH,605376
,22,600370.SH,600370
AI验布机+高端装备+纺织机械,17,603095.SH,603095
PCIe5.0芯片+商业航天+科技转型+房地产,17,600246.SH,600246
,22,601010.SH,601010
一季报大增+锂矿+固态电池,33,002192.SZ,002192
算力+AI智能体+通信网络管维,33,002929.SZ,002929
业绩高增+固态电池+海外订单,17,688155.SH,688155
定增获批+人形机器人+低空经济+智能座舱,33,002870.SZ,002870
电子雷管+芯片概念+低空经济+分红,17,603375.SH,603375
业绩增长+10转4派3+新能源汽车零部件,17,603190.SH,603190
,33,002102.SZ,002102
一季报大增+湖北国资+证券,33,000783.SZ,000783
一季报扭亏+汽车零部件+高压泵量产+飞行汽车定点,17,603178.SH,603178
摘帽申请+一季报暴增+IDC并表+算力租赁,33,002289.SZ,002289
一季报增长+云母材料+人形机器人+泰国产能,17,603119.SH,603119
,33,300212.SZ,300212
申请撤销退市风险警示+锆钛选矿+家居业务,22,603389.SH,603389
机器人+电磁线+新能源汽车,17,603897.SH,603897
,33,002581.SZ,002581
*ST+墙布+流通盘小,22,603272.SH,603272
一季度扭亏+中药大健康+机构新进,33,000790.SZ,000790
,33,002898.SZ,002898
一季报增长+可控核聚变+商业航天,17,605123.SH,605123
一季报大增+数据中心+风光储能+电接触材料,17,603045.SH,603045
,33,000911.SZ,000911
一季报增长+烘焙新品+海外建厂+股价波动,33,001215.SZ,001215
养老机器人+男装+扭亏为盈,17,600400.SH,600400
年报扭亏+轻型输送带+新能源电池配件,22,603580.SH,603580
电池铝箔+扭亏为盈+锂电池概念,17,603937.SH,603937
一季报扭亏+Micro LED+芯片设计+封装测试,17,688699.SH,688699
AI算力订单+半导体IP+Chiplet,17,688521.SH,688521
,33,002808.SZ,002808
ST更名+国资背景+建筑装饰,33,002856.SZ,002856
一季报大增+光伏钨丝+钨全产业链,33,002842.SZ,002842
,33,002630.SZ,002630
拟并购先导电科+半导体靶材+衢州国资,17,600208.SH,600208
铀矿布局+锂资源+石材,33,002785.SZ,002785
预重整+光伏硅片+ST板块,22,603398.SH,603398
一季报增长+先进封装+果链+北交所次新股,151,920125.BJ,920125
,17,601717.SH,601717
一季报增长+高分红+内衣主业,33,002763.SZ,002763
,17,603113.SH,603113
半导体洁净室+海外EPC+城市更新,33,002081.SZ,002081
,22,603008.SH,603008
一季报扭亏+智慧物流+车联网+央企,22,600476.SH,600476
算力租赁+重整预期+ST板块,22,603843.SH,603843
,33,000639.SZ,000639
一季报增长+绿氢工程+煤气化+央企,17,603698.SH,603698
,22,603959.SH,603959
,33,000056.SZ,000056
锂电池+热水服务+拟购科冠聚合物股权+国资背景,17,600052.SH,600052
功率半导体+华鲲振宇并购预期+成都国资,33,000628.SZ,000628
,22,600734.SH,600734
半导体转型+FCBGA载板+国资背景,33,002989.SZ,002989
,22,600080.SH,600080
,33,001896.SZ,001896
拟投GPU+钙钛矿设备+纸包装,17,603687.SH,603687
一季度扭亏为盈+房地产+北京国资,33,000402.SZ,000402
