market_code,涨停原因类别[20260617],股票代码,code
33,光纤光缆+产能扩张+数据中心,002491.SZ,002491
33,智算+人形机器人+一季报增长,001339.SZ,001339
33,算力+TGV玻璃基板+UTG+国企,300088.SZ,300088
17,玻璃基板+浮法玻璃+光伏玻璃,601636.SH,601636
33,PCB+高阶HDI+定增扩产+AIPC,002579.SZ,002579
33,算力+液冷服务器+汽车电子,300735.SZ,300735
33,数字货币概念+安全芯片+车规级芯片,300386.SZ,300386
33,覆铜板+PCB上游+扭亏为盈,002141.SZ,002141
17,铜箔+HVLP+固态电池+满产满销,600110.SH,600110
33,固态电池+电解液添加剂+兰地洛尔+仿制药,300584.SZ,300584
33,存储芯片+SK海力士代理+一季报暴增,300475.SZ,300475
17,半导体产业链+光伏热场+碳陶制动盘+人形机器人,688598.SH,688598
17,半导体洁净室+新加坡布局+一季报倍增,603929.SH,603929
17,钨钽铌并购+磁选装备+江西国资,600397.SH,600397
17,玻璃基板+面板+央企改革,600552.SH,600552
17,脱硫技术+芯片+化学工程+中字头,601117.SH,601117
17,MLCC+电子陶瓷+定增扩产,688260.SH,688260
33,面板+回购+一季报增长,000100.SZ,000100
33,特种玻璃纤维+风电叶片+商业航天,002201.SZ,002201
17,AI服务器电极箔+市占率第一+业绩增长,603115.SH,603115
33,RFID+AI赋能+文旅消费+券商看好,002161.SZ,002161
17,HBM检测+半导体设备+一季报增长,603283.SH,603283
33,玻璃基板+MED+AI PC,002106.SZ,002106
17,石油化工+加氢技术+控制权转让+浙江国企,603637.SH,603637
33,,000838.SZ,000838
17,军工仿真+VR/XR+双主业,603488.SH,603488
17,MLPC+AI服务器+铝电解电容+薄膜电容,603989.SH,603989
33,庭外重组+建筑装饰+国资+债务豁免,002789.SZ,002789
17,光伏玻璃+产线退出预期+央企,600876.SH,600876
17,电子化学品+半导体附属装备+股权激励,603324.SH,603324
17,输变电设备+核电+一带一路+国企改革,600192.SH,600192
33,商业航天+工业涂料+光伏防水,300737.SZ,300737
33,股权转让+石杉碱甲+一季报增长,002082.SZ,002082
17,AI算力+中药+资产重整,603139.SH,603139
22,,600381.SH,600381
22,,600777.SH,600777
33,,001211.SZ,001211
17,氮化铝+韩国客户+真空灭弧室+可控核聚变,600353.SH,600353
33,,000632.SZ,000632
17,AI存储+拟收购诺亚长天+一季报增长,688766.SH,688766
17,存储芯片涨价+行业龙头+端侧AI+一季报增长,603986.SH,603986
17,中字头+资产重组+化工装备+机器人概念,600579.SH,600579
22,,603021.SH,603021
33,半导体产业链+投资长鑫科技+半导体封装基板+水泥,000672.SZ,000672
22,预重整+签订投资协议+光伏组件,600537.SH,600537
17,薄膜电容器+PET铜箔+国企,600237.SH,600237
33,人形机器人+精密压铸+光模块+AI BOX,002906.SZ,002906
17,算力大单+收购秦淮数据+人形机器人,600673.SH,600673
33,PCB签单增长+光模块PCB,301366.SZ,301366
17,算力+阶跃星辰投资+半导体材料+调味品龙头,600186.SH,600186
33,,002207.SZ,002207
33,权益分派实施+数据中心液冷+拟收购整合+烟台国资,000811.SZ,000811
17,金属3D打印+商业航天+人形机器人,688333.SH,688333
33,PCB化学品+AI算力+股权激励,002741.SZ,002741
22,汽车零部件+一季度扣非净利增517%+控制权变更预期,603922.SH,603922
17,玻璃微纤维+商业航天+半导体洁净+干净空气材料,603601.SH,603601
17,数据中心+工程咨询+北斗技术+无人驾驶,603458.SH,603458
33,特种电子布+风电叶片+央企背景,002080.SZ,002080
22,,603378.SH,603378
17,光纤涨价+铜箔+特高压,603618.SH,603618
17,摘帽+航空装备+无人机,603261.SH,603261
33,创新药+中华老字号+询价转让,301111.SZ,301111
17,香精香料+鱼油+收购进展+一季报增长,603020.SH,603020
33,PCB+覆铜板+转债完成赎回+汕头国资,000823.SZ,000823
33,光纤概念+芳纶涂覆隔膜+烟台国资,002254.SZ,002254
17,医疗器械+创可贴+海外市场,603880.SH,603880
17,基板玻璃+面板+年报分红+咸阳国资,600707.SH,600707
33,植物照明+北美业务+LED照明+机器人,001326.SZ,001326
33,,000677.SZ,000677
33,PCB+AI算力扩产+光模块,002938.SZ,002938
22,ST板块+董事长离任+拍卖暂缓+聚酯产业链,600370.SH,600370
17,资产置换+拟更名+文体旅+上海国资,600676.SH,600676
17,六氟化钨+氟化工+PCB概念+央企,600378.SH,600378
17,高速覆铜板+环氧树脂+先进封装,603002.SH,603002
33,,002717.SZ,002717
33,玻璃基封装载板+康宁合作+光互连+半导体显示,000725.SZ,000725
33,固态电池+硅碳负极+绿电降本,000695.SZ,000695
33,先进陶瓷+建筑陶瓷+传闻澄清,002918.SZ,002918
22,撤销退市风险警示+液化石油气+改性塑料+一季报扭亏,600753.SH,600753
17,TGV玻璃基板+先进封装+PET铜箔,603773.SH,603773
33,玻璃基封装+Micro-LED+央企,000050.SZ,000050
33,创新药+ST板块+营收增长,002581.SZ,002581
22,,603272.SH,603272
