market_code,code,股票代码,涨停原因类别[20260515]
33,000056,000056.SZ,
33,000078,000078.SZ,
33,000518,000518.SZ,申请撤销退市风险警示+生物医药+营收增长
33,000595,000595.SZ,撤销退市风险警示申请+风光储+宁夏国资
33,000608,000608.SZ,摘星脱帽预期+商业地产运营+控制权变更
33,000609,000609.SZ,
33,000632,000632.SZ,
33,000639,000639.SZ,
33,000668,000668.SZ,摘帽申请+跨境物流转型+房地产去化
33,000669,000669.SZ,重整协议+实控人变更+天然气+ST
33,000677,000677.SZ,
33,000711,000711.SZ,
33,000826,000826.SZ,预重整+数字环卫+ST板块
33,000925,000925.SZ,
33,001259,001259.SZ,股份转让+小家电+露营经济
33,001267,001267.SZ,
33,001333,001333.SZ,聚酯树脂+电子封装材料验证
33,002031,002031.SZ,人形机器人+RV减速器+XT减速器
33,002066,002066.SZ,核电材料+耐火材料+央企
33,002082,002082.SZ,
33,002175,002175.SZ,广西国资拟入主+智能物流+*ST博弈
33,002181,002181.SZ,AI视频/短剧+世界杯+传媒主业+广州国资
33,002196,002196.SZ,人形机器人+新能源电机+地方国资
33,002199,002199.SZ,
33,002207,002207.SZ,ST板块+新疆国资+油气服务+连续涨停
33,002290,002290.SZ,
33,002309,002309.SZ,
33,002348,002348.SZ,AI玩具+算力布局+此前实控人变更
33,002374,002374.SZ,防伪瓶盖+化债预期
33,002395,002395.SZ,足球赛事+光学级PMMA+产业链优势
33,002407,002407.SZ,氢氟酸涨价+大圆柱电池+一季报暴增
33,002421,002421.SZ,液冷服务器+AIoT平台+AI应用+机器人概念
33,002431,002431.SZ,
33,002501,002501.SZ,
33,002512,002512.SZ,
33,002514,002514.SZ,人形机器人+光伏+智能制造
33,002560,002560.SZ,
33,002569,002569.SZ,
33,002580,002580.SZ,
33,002581,002581.SZ,创新药+收到参股分红+*ST风险
33,002620,002620.SZ,
33,002667,002667.SZ,
33,002691,002691.SZ,
33,002717,002717.SZ,
33,002726,002726.SZ,
33,002729,002729.SZ,储能熔断器+光伏+风电
33,002856,002856.SZ,国资背景+建筑装饰+ST摘帽预期
33,002892,002892.SZ,机器人+伺服系统+华为汽车
33,002915,002915.SZ,氢氟酸涨价+PEEK材料+氟化工
33,002918,002918.SZ,先进陶瓷+建筑陶瓷+地产链
33,002971,002971.SZ,电子特气+硅基新材料
33,002979,002979.SZ,人形机器人+订单放量+一季度增长
33,300263,300263.SZ,三星供应链+靶材+商业航天+业绩增长
33,300276,300276.SZ,机器人+智能制造+汽车产业链
33,300721,300721.SZ,湿电子化学品+环氧丙烷+一季度扭亏
33,300878,300878.SZ,创新药+业绩改善预期+主营业务企稳
33,301081,301081.SZ,环保过滤+机织滤布+增持贷款
33,301139,301139.SZ,
33,301696,301696.SZ,人形机器人+机器人动力系统+无人机动力系统+次新股
22,600053,600053.SH,
17,600081,600081.SH,汽车电子+一体化压铸+东风汽车控股+央企
22,600082,600082.SH,
17,600088,600088.SH,微短剧+一季报扭亏+央企
17,600176,600176.SH,
22,600180,600180.SH,
22,600289,600289.SH,算力转型+GPU定制+ST保壳
17,600330,600330.SH,
22,600370,600370.SH,
22,600381,600381.SH,申请摘帽+酒水高增+虫草龙头
17,600386,600386.SH,广告传媒+汽车服务+北京国资
17,600488,600488.SH,
22,600491,600491.SH,
17,600510,600510.SH,新型城镇化+牛仔布+国企改革
22,600568,600568.SH,医药制造+地产去化+法院受理
17,600578,600578.SH,风光火储+绿电转型+北京国资
22,600678,600678.SH,
22,600745,600745.SH,
22,600759,600759.SH,
17,600784,600784.SH,人形机器人+新材料业务增长+盐化工+山东国资
17,600857,600857.SH,
17,601133,601133.SH,存储芯片+半导体洁净室+海外扩张
17,601678,601678.SH,氢氟酸+环氧丙烷龙头+股东增持
17,601991,601991.SH,蒙电入苏+绿电直供+央企
17,601996,601996.SH,回购+林业+人造板+碳中和
22,603008,603008.SH,ST板块+床垫主业+经营正常
17,603040,603040.SH,丝杠送样+汽车精密件+业绩增长
17,603078,603078.SH,氢氟酸涨价+湿电子化学品+上海国资入主
17,603082,603082.SH,人形机器人+智能物流+拟收购穗柯智能+央企
17,603093,603093.SH,
17,603118,603118.SH,
17,603248,603248.SH,风电齿轮箱+大兆瓦产品+高端装备+次新股
17,603278,603278.SH,人形机器人+腱绳+商业航天+胎圈钢丝
17,603310,603310.SH,氟化工+三氟甲基苯+一季报增长
17,603333,603333.SH,氢氟酸+特种电缆+锂电池材料
22,603359,603359.SH,
17,603363,603363.SH,生猪销量大增+产业链一体化
17,603370,603370.SH,机器人+精密冲压铁芯+次新股
22,603378,603378.SH,重整预期+涂装业务+ST反弹
17,603386,603386.SH,人形机器人+PCB+光模块HDI
22,603389,603389.SH,申请撤销退市风险警示+锆钛选矿+家居业务
17,603390,603390.SH,智慧交通+氢能源+比亚迪+一季报业绩大增
17,603505,603505.SH,氟化工概念+萤石龙头
17,603520,603520.SH,氟化工概念+六氟磷酸锂+碘造影剂
22,603559,603559.SH,摘帽申请+低空经济+扭亏为盈
17,603588,603588.SH,
17,603598,603598.SH,AI营销+短剧出海+业绩增长
17,603677,603677.SH,机器人+家电零部件+国企改革
17,603697,603697.SH,一季报高增+泡卤食品+预制菜+分红
17,603767,603767.SH,减速器+新能源汽车+长安汽车概念
17,603773,603773.SH,
17,603779,603779.SH,淄博国资入主+复牌+葡萄酒
17,605099,605099.SH,人造草坪+体育产业+业绩增长
17,605365,605365.SH,
22,688496,688496.SH,
17,688549,688549.SH,电子级氢氟酸+一季报扭亏为盈+电子特气+存储芯片材料
17,688697,688697.SH,人形机器人+工业母机+订单充足
