股票代码,market_code,code,涨停原因类别[20260511]
002491.SZ,33,002491,合资投建+光纤涨价+数据中心+通信电缆
002848.SZ,33,002848,算力+高频覆铜板+消费电子+潍坊国资
002193.SZ,33,002193,
001207.SZ,33,001207,炭黑+固态电池+高压电缆屏蔽料+人形机器人
003031.SZ,33,003031,光模块陶瓷+SiC功率器件+央企
600360.SH,22,600360,摘帽预期+功率半导体+吉林国资
001259.SZ,33,001259,小家电+净水概念+一季报增长
600236.SH,17,600236,水电高增+高股息+央企
600259.SH,17,600259,稀土涨价+业绩翻倍+央企整合
688328.SH,17,688328,存储芯片+半导体设备+业绩高增
688603.SH,17,688603,先进封装+半导体电镀液+PCB化学品
600076.SH,17,600076,半导体并购+集装箱地板+无锡国资
600053.SH,22,600053,ST板块+超跌反弹+人形机器人+六维力传感器
603359.SH,22,603359,
000791.SZ,33,000791,东数西算二期+绿电装机+甘肃国资
600525.SH,22,600525,储能中标+智能电网+一季报扭亏
001331.SZ,33,001331,要约收购+七腾机器人+LNG运贸
002501.SZ,33,002501,军工+汽车铝型材+退市风险
002547.SZ,33,002547,机器人+特斯拉概念+通信结构件+新能源汽车
002008.SZ,33,002008,PCB设备+商业航天+3D打印
603778.SH,17,603778,
002977.SZ,33,002977,商业航天+军工电子+固态发射机
603757.SH,17,603757,液冷泵+算力+储能+屏蔽泵龙头
002066.SZ,33,002066,核电材料+耐火材料+央企
600869.SH,17,600869,算力AI+光纤+商业航天+中标大单
600180.SH,22,600180,
605186.SH,17,605186,AI医疗+智慧药房+机器人
002585.SZ,33,002585,MLCC离型膜+复合铜箔+聚酯薄膜
603559.SH,22,603559,摘帽申请+通信工程+扭亏为盈
000838.SZ,33,000838,江西中久拟入主+房地产+ST板块
000922.SZ,33,000922,四代核电+主氦风机+央企
600545.SH,17,600545,玻纤设备+华为合作+纺织机械+减亏
000609.SZ,33,000609,
600488.SH,17,600488,甾体激素+原料药出口
688618.SH,17,688618,光纤概念+储能+工业互联网
600379.SH,17,600379,电子特气+真空灭弧室+氢能+储能+央企
301188.SZ,33,301188,中硼硅药用玻璃+RTU投产+智能制造
002789.SZ,33,002789,珠海国资+储能+建筑装饰
605255.SH,17,605255,中昊芯英入主+汽车管路+此前多次风险提示
002082.SZ,33,002082,
688146.SH,17,688146,六氟化钨+存储上游+电子特气+央企
002294.SZ,33,002294,
002640.SZ,33,002640,跨境电商+母婴奶粉+一季报净利扭亏
600234.SH,17,600234,算力租赁+抖音概念+建筑工程
600381.SH,22,600381,申请摘帽+酒水高增+虫草龙头
002108.SZ,33,002108,华南基地+锂电池隔膜+广州国资
001211.SZ,33,001211,金钢瓷放量+竹基禾塑托盘+全竹产业链
