涨停原因类别[20260713],code,股票代码,market_code
,002491,002491.SZ,33
,605366,605366.SH,17
,002141,002141.SZ,33
,002565,002565.SZ,33
,002158,002158.SZ,33
,001268,001268.SZ,33
,002731,002731.SZ,33
,300475,300475.SZ,33
,000980,000980.SZ,33
,001331,001331.SZ,33
,001313,001313.SZ,33
,001365,001365.SZ,33
,002008,002008.SZ,33
,603115,603115.SH,17
磷化铟衬底+光稳定剂+终止减持,603065,603065.SH,17
,603006,603006.SH,17
,002342,002342.SZ,33
,603660,603660.SH,17
,603488,603488.SH,17
,603316,603316.SH,17
,600520,600520.SH,17
,002931,002931.SZ,33
,001400,001400.SZ,33
,003037,003037.SZ,33
退市整理期+移动安全+减亏,000004,000004.SZ,37
中报预增+化学制药+创新药,600664,600664.SH,17
,002628,002628.SZ,33
,002903,002903.SZ,33
,002388,002388.SZ,33
,600183,600183.SH,17
,603386,603386.SH,17
中报预增+高铁扣件+新能源紧固件,601002,601002.SH,17
,002747,002747.SZ,33
,600783,600783.SH,17
,603986,603986.SH,17
,600984,600984.SH,17
,002297,002297.SZ,33
,600172,600172.SH,17
电网设备+防冰机器人+高送转,001388,001388.SZ,33
,600596,600596.SH,17
机器人+家电零部件+宁波国资,603677,603677.SH,17
,002272,002272.SZ,33
基药目录新增+精麻药+缓控释制剂,003020,003020.SZ,33
,001399,001399.SZ,33
,600501,600501.SH,17
,301307,301307.SZ,33
,002741,002741.SZ,33
,002735,002735.SZ,33
,603020,603020.SH,17
,000823,000823.SZ,33
,603269,603269.SH,17
,000021,000021.SZ,33
,603615,603615.SH,17
,002068,002068.SZ,33
光刻胶+电子化学品+季铵化合物,603120,603120.SH,17
,603355,603355.SH,17
,605399,605399.SH,17
,603002,603002.SH,17
,000070,000070.SZ,33
要约收购+宁波国资+建筑总包+绿色建筑,600491,600491.SH,22
中报预增+中药+多肽+黑龙江国资,000989,000989.SZ,33
,000725,000725.SZ,33
,000026,000026.SZ,33
,002921,002921.SZ,33
人形机器人+半导体分销+拟收购博泰智能,603933,603933.SH,17
商业航天+钢丝绳+贵州国资,600992,600992.SH,17
创新药+干眼症滴眼液+神经生长因子,002581,002581.SZ,33
,002910,002910.SZ,33
,002151,002151.SZ,33
中药+大健康+青岛国资,600671,600671.SH,17
,600396,600396.SH,17
,002361,002361.SZ,33
,603588,603588.SH,17
,002955,002955.SZ,33
,603135,603135.SH,17
,000510,000510.SZ,33
,605123,605123.SH,17
,000636,000636.SZ,33
,002217,002217.SZ,33
,300147,300147.SZ,33
,603636,603636.SH,17
,600539,600539.SH,17
,600330,600330.SH,17
,600391,600391.SH,17
,600793,600793.SH,17
豆制品+预制菜+人造肉,003030,003030.SZ,33
,600363,600363.SH,17
,605069,605069.SH,17
创新药+资产出售+长春国资,600881,600881.SH,17
,605598,605598.SH,17
,603698,603698.SH,17
,002989,002989.SZ,33
中报预增+人造板装备+海外业务,001395,001395.SZ,33
,002520,002520.SZ,33
,603928,603928.SH,17
,600176,600176.SH,17
,603186,603186.SH,17
,601991,601991.SH,17
,600522,600522.SH,17
,002739,002739.SZ,33
,600855,600855.SH,17
,002579,002579.SZ,33
,002149,002149.SZ,33
,603978,603978.SH,17
,600345,600345.SH,17
,600110,600110.SH,17
智能家居+跨境电商+美国产能,603313,603313.SH,17
,002745,002745.SZ,33
,002338,002338.SZ,33
,002636,002636.SZ,33
,000810,000810.SZ,33
,605060,605060.SH,17
,600552,600552.SH,17
,603950,603950.SH,17
,603778,603778.SH,17
,002465,002465.SZ,33
,002471,002471.SZ,33
,000524,000524.SZ,33
,002792,002792.SZ,33
,000593,000593.SZ,33
,603616,603616.SH,17
,002046,002046.SZ,33
,002413,002413.SZ,33
,600545,600545.SH,17
,603725,603725.SH,17
,603989,603989.SH,17
,000901,000901.SZ,33
,002980,002980.SZ,33
,603267,603267.SH,17
,002057,002057.SZ,33
,603131,603131.SH,17
,600058,600058.SH,17
,002861,002861.SZ,33
,000547,000547.SZ,33
退市整理期+大数据存储+AI大模型,920305,920305.BJ,151
,002544,002544.SZ,33
,002951,002951.SZ,33
创新药+阿尔茨海默+化学制药+一季报扭亏,603669,603669.SH,17
,002824,002824.SZ,33
商业航天+助力海上回收+矿山机器人+央企,601608,601608.SH,17
,002167,002167.SZ,33
,600206,600206.SH,17
,688143,688143.SH,17
,600667,600667.SH,17
,002830,002830.SZ,33
,001309,001309.SZ,33
中药+医疗器械+国企,300534,300534.SZ,33
并购重组+锂电池电解液+算力租赁+化工,300214,300214.SZ,33
,002023,002023.SZ,33
氦气+AI数据中心燃气轮机+国企,603318,603318.SH,17
,000811,000811.SZ,33
中报预增+电解铝+铝全产业链,002379,002379.SZ,33
,603949,603949.SH,17
,002552,002552.SZ,33
,603601,603601.SH,17
,002976,002976.SZ,33
,603618,603618.SH,17
拟收购存储公司+建筑幕墙+跨界转型,603137,603137.SH,17
,600888,600888.SH,17
,600707,600707.SH,17
,603936,603936.SH,17
,001270,001270.SZ,33
,002428,002428.SZ,33
,603596,603596.SH,17
,000969,000969.SZ,33
,600487,600487.SH,17
,603011,603011.SH,17
,002617,002617.SZ,33
,600785,600785.SH,17
,603948,603948.SH,17
,002787,002787.SZ,33
,600470,600470.SH,17
,600877,600877.SH,17
氦气+商业航天+清洁能源,605090,605090.SH,17
,000700,000700.SZ,33
,002056,002056.SZ,33
,603178,603178.SH,17
,600184,600184.SH,17
,002600,002600.SZ,33
,601127,601127.SH,17
,603272,603272.SH,22
,603859,603859.SH,17
,002935,002935.SZ,33
,301326,301326.SZ,33
,000551,000551.SZ,33
,688450,688450.SH,17
,603078,603078.SH,17
,600343,600343.SH,17
,603678,603678.SH,17
,600498,600498.SH,17
信创+麒麟OS+央企,600536,600536.SH,17
,600366,600366.SH,17
创新药+LH-1801申报+SGLT-2抑制剂+扬州国资,600513,600513.SH,17
子公司重整获批+工程设计+上海微电子相关+上海国资,600629,600629.SH,17
,002407,002407.SZ,33
,603150,603150.SH,17
,002865,002865.SZ,33
miRNA肿瘤早筛+创新药+高管增持,000078,000078.SZ,33
,002137,002137.SZ,33
,002446,002446.SZ,33
,603738,603738.SH,17
,603155,603155.SH,17
,002457,002457.SZ,33
,600977,600977.SH,17
半导体超纯水膜+盐湖提锂+膜材料扩产+央企,000920,000920.SZ,33
,600151,600151.SH,17
,605287,605287.SH,17
,002132,002132.SZ,33
