股票代码,code,涨停原因类别[20260526],market_code
002848.SZ,002848,退市风险解除+AI算力+覆铜板+潍坊国资,33
002055.SZ,002055,高速连接器+存储芯片+AI算力,33
002579.SZ,002579,定增扩产+PCB+高阶HDI,33
000506.SZ,000506,黄金+业绩暴增+国企,33
600156.SH,600156,,17
002886.SZ,002886,PEEK材料+半导体材料+PTFE薄膜+季报增长,33
688183.SH,688183,AI算力+PCB+定增过会,17
603359.SH,603359,,22
600726.SH,600726,煤炭产销+热电联产+扭亏为盈+央企,17
002542.SZ,002542,,33
001331.SZ,001331,七腾机器人+要约收购+LNG运贸,33
600265.SH,600265,股份转让+引入战投+算力租赁+林业,22
002547.SZ,002547,诉讼进展+汽车零部件+通信,33
603778.SH,603778,,17
603115.SH,603115,,17
002771.SZ,002771,液冷算力+高压快充+多媒体视讯,33
600180.SH,600180,,22
003036.SZ,003036,电子布纺织机+纺织机器人+固态电池+高端纺机,33
002694.SZ,002694,,33
002585.SZ,002585,MLCC离型膜+复合铜箔+扭亏为盈,33
603616.SH,603616,,17
000609.SZ,000609,,33
600520.SH,600520,先进封装+半导体设备+合肥国资+一季报扭亏,17
603316.SH,603316,,17
002634.SZ,002634,,33
001366.SZ,001366,拟收购+合成生物+饲料,33
002082.SZ,002082,创新药+一季度增长+股份协议转让,33
600381.SH,600381,申请摘帽+酒水高增+虫草业务,22
002388.SZ,002388,第一大客户华为+锂电材料+六氟磷酸锂+电子信息产品,33
600183.SH,600183,AI PCB+一季报高增+高性能覆铜板项目,17
000759.SZ,000759,百货零售+新零售+国企改革,33
002620.SZ,002620,,33
002181.SZ,002181,世界杯+AI视频/短剧+国企改革,33
002733.SZ,002733,AIDC先锋奖+算力UPS+氢能,33
601958.SH,601958,钼价新高+钼矿增储+一季报增长+陕西国资,17
605303.SH,605303,,17
002691.SZ,002691,,33
002297.SZ,002297,,33
600172.SH,600172,AI芯片散热+培育钻石+超硬材料,17
002198.SZ,002198,,33
600367.SH,600367,供货康宁+碳酸锶涨价+碳酸钡龙头,17
000417.SZ,000417,,33
605006.SH,605006,玻纤+电子布+风电纱+山东国资,17
002323.SZ,002323,股权划转+BIPV+枣庄国资,33
600730.SH,600730,半导体封测+AI教育+国资背景,22
603595.SH,603595,碳化硅+股权转让+一季报增长,22
000010.SZ,000010,,33
002896.SZ,002896,人形机器人+精密减速器,33
002552.SZ,002552,PCB铜箔+黄金采选+Q1业绩大增,33
002569.SZ,002569,控制权拟变更+男装品牌+年报扭亏+宝鸡国资,33
603378.SH,603378,,22
000677.SZ,000677,,33
000711.SZ,000711,铟靶材+一季度扭亏+摘帽预期,33
605196.SH,605196,线缆主业+铝产业链+一季报增长,17
601600.SH,601600,氧化铝龙头+一季报增长+央企,17
600378.SH,600378,氟化工+制冷剂+业绩高增+国企,17
002717.SZ,002717,,33
600491.SH,600491,,22
000026.SZ,000026,,33
603685.SH,603685,绿电算力+算电协同+股权激励,17
001376.SZ,001376,安哥拉电解铝+热电联产+蒸汽毛利率升,33
603773.SH,603773,玻璃基板+先进封装+MiniLED,17
688335.SH,688335,绿色甲醇+设立子公司+环保设备,17
603272.SH,603272,ST博弈+流通盘小+墙布,22
000668.SZ,000668,摘帽申请+跨境物流转型+房地产去化,33
600635.SH,600635,参股深创投+燃气能源+公用事业,17
603995.SH,603995,不锈钢+新材料项目+电池壳材料+高分红,17
600173.SH,600173,风光储氢+储能+机器人概念,17
000510.SZ,000510,石英砂+锡钨钽铌+氯碱龙头,33
603353.SH,603353,芯片IP+控股奎芯科技+成品油,17
003004.SZ,003004,摘帽+智能安防+智慧停车+低空经济,33
001257.SZ,001257,钼+算力上游+航天上游+洛阳国资,33
002185.SZ,002185,先进封装+30亿扩产+存储封测,33
300795.SZ,300795,拟投资阶跃星辰+AI应用+境外会展,33
301591.SZ,301591,PEEK材料+PCB覆铜板+高性能工程塑料,33
002667.SZ,002667,控制权拟变更+锂矿+ST反弹,33
600301.SH,600301,锡锑战略金属+资源增储+资产整合+广西国资,17
002856.SZ,002856,建筑装饰+ST板块+佛山国资,33
000078.SZ,000078,,33
600187.SH,600187,,22
600584.SH,600584,华为韬定律+CPO光引擎+先进封装+央企,17
000518.SZ,000518,,33
003007.SZ,003007,,33
002251.SZ,002251,零售+胖东来调改+摘帽,33
600745.SH,600745,80亿诉讼+实控人增持+半导体IDM,22
605069.SH,605069,,17
002627.SZ,002627,省际游轮首航+两坝一峡+旅游+宜昌国资,33
002927.SZ,002927,,33
603067.SH,603067,,17
600162.SH,600162,广州项目+家居商贸+养老服务,17
603843.SH,603843,,22
002514.SZ,002514,人形机器人+智能制造+亏损收窄,33
000509.SZ,000509,拟定增+PCB钻针+CCER+湖北国资,33
600589.SH,600589,,17
000056.SZ,000056,退市博弈+债务化解+功率半导体,33
002214.SZ,002214,,33
600021.SH,600021,电力+海上风电+清洁能源+央企,17
605287.SH,605287,,17
