涨停原因类别[20260623],股票代码,code,market_code
光纤概念+含硫硅烷+电子级硅基材料,605366.SH,605366,17
模拟芯片+功率芯片+光通信+汽车电子,600171.SH,600171,17
,000426.SZ,000426,33
功率半导体+摘帽+吉林国资,600360.SH,600360,17
集采中标+苗药龙头+创新药,002424.SZ,002424,33
,002149.SZ,002149,33
,600259.SH,600259,17
摘帽+烘干机+农业机械,603789.SH,603789,22
,000506.SZ,000506,33
,603993.SH,603993,17
覆铜板+PCB上游+扭亏为盈,002141.SZ,002141,33
,600110.SH,600110,17
,002645.SZ,002645,33
,000630.SZ,000630,33
MCU芯片+核聚变+工业自动化,603015.SH,603015,17
芯片电感+服务器电源+稀土永磁+业绩增长,300835.SZ,300835,33
生猪养殖+功能性红曲+光伏,603717.SH,603717,17
算力+液冷储能+电池+山东国资,002580.SZ,002580,33
磷化铟收购+机器人电子皮肤+汽车内饰皮革,002674.SZ,002674,33
氧氯化锆+陶瓷载板+光通讯+业绩增长,603407.SH,603407,17
钨钽铌资产注入+磁选装备+江西国资,600397.SH,600397,17
,600540.SH,600540,17
酒店管理+物业管理+实控人筹划重组,600743.SH,600743,17
申请撤销ST+物业管理+重整完成,002822.SZ,002822,33
家居产品+石墨烯+亏损收窄,002631.SZ,002631,33
,600598.SH,600598,17
液冷泵+算力温控+泵业龙头,603757.SH,603757,17
回购+社区商业+REITs,000882.SZ,000882,33
人形机器人+新能源驱动电机+国企改革,002196.SZ,002196,33
液冷+冷链装备+一季报增长,920035.BJ,920035,151
新能源汽车零部件+小米汽车+一季报增长,603210.SH,603210,17
,000060.SZ,000060,33
葡萄酒+回购注销+电商业务,600365.SH,600365,22
AI智算中心电源+液冷超充+电源系统,600405.SH,600405,17
包装材料+新产能投放+高股息+一季报增长,002014.SZ,002014,33
医药中间体+精细化工+股东增持+摘帽,000691.SZ,000691,33
装饰原纸+高分红+盈利修复,605377.SH,605377,17
,002155.SZ,002155,33
物业管理+无ST风险+上海国资,600708.SH,600708,17
创新药+重组胶原蛋白+降血脂药,000813.SZ,000813,33
,600392.SH,600392,17
创新药获批+解热镇痛原料药+阿尔茨海默症+国企改革,000756.SZ,000756,33
,600545.SH,600545,17
,605589.SH,605589,17
,002138.SZ,002138,33
机器人+电子皮肤+高分子新材料+承诺不减持,603725.SH,603725,17
CPHI展会+创新药+甾体激素,600488.SH,600488,17
澄清机器人概念+物料输送设备+出海,001225.SZ,001225,33
机器人概念+工业缝纫机+海外市场+国资背景,002021.SZ,002021,33
光纤油膏+POF热收缩膜+国企,002522.SZ,002522,33
电子特气+氢能+真空灭弧室+央企,600379.SH,600379,17
热电联产+一季报增长+大连国资,600719.SH,600719,17
,002789.SZ,002789,33
,600362.SH,600362,17
,002634.SZ,002634,33
焦炉烘炉+石墨烯+氢能,601011.SH,601011,17
,000688.SZ,000688,33
,000831.SZ,000831,33
AI金融+全球化+债权回收+智能终端,603106.SH,603106,17
,002082.SZ,002082,33
液冷技术储备+新能源汽车热管理+汽车零部件,002592.SZ,002592,33
具身智能+定增募资10.77亿+传感器+IMU,603007.SH,603007,17
,601208.SH,601208,17
摘帽复牌+页岩油+债务化解,600777.SH,600777,17
工业污水处理+智慧水务+控制权变更,300961.SZ,300961,33
止咳宝片+二线品种高增+中药+分红,002728.SZ,002728,33
控制权或变更+永久自行车+高空风能,600818.SH,600818,22
跨境电商+福州国资+盘活资产,000632.SZ,000632,33
,600489.SH,600489,17
防伪瓶盖+资产剥离+化债预期,002374.SZ,002374,33
,605303.SH,605303,17
创新药+阿尔茨海默+一季报扭亏,603669.SH,603669,17
液冷服务器+控制权拟变更+央企,600506.SH,600506,17
电子特气+氦气+宜章项目试产+五氟化锑,002549.SZ,002549,33
,002897.SZ,002897,33
锆材料+产品涨价+固态电池+定增扩产,002167.SZ,002167,33
培育钻石+金刚石散热+资产划转,600172.SH,600172,17
湿电子化学品+HPPO技术+环氧丙烷+拟建新项目,300721.SZ,300721,33
日用玻璃+跨境电商+退市风险警示,603021.SH,603021,22
ST整改+创新药+中成药,002198.SZ,002198,33
,002125.SZ,002125,33
,600367.SH,600367,17
家装龙头+成立AI公司+高送转,002830.SZ,002830,33
业绩预增+液冷冷却液+新材料,002648.SZ,002648,33
高纯四氯化硅涨价+光纤材料+存储芯片,603938.SH,603938,17
,603159.SH,603159,17
布洛芬+原料药+制剂,301211.SZ,301211,33
天然气+摘帽预期+一季报营收增长,600243.SH,600243,22
收购半导体+汽车轮毂+股份转让,603335.SH,603335,17
纺织产业合作+碳纤维运动飞机+缝制机器人,600843.SH,600843,17
光刻胶基材+精细化工+收购莱恩光电,002453.SZ,002453,33
拟中标储能项目+实控人拟变更+BIPV+建筑光伏,002323.SZ,002323,33
一季报增长+碳化硅+消费电子,603595.SH,603595,22
,002484.SZ,002484,33
AI数据中心燃气轮机+氦气+国企,603318.SH,603318,17
,002741.SZ,002741,33
参股长江证券+创新药+医药制造,600851.SH,600851,17
人形机器人+滁州国资入主+汽车结构件,002420.SZ,002420,33
高送转+光通信散热+空气悬架+汽车零部件,002976.SZ,002976,33
AI制药+创新药+CRO,300149.SZ,300149,33
,000823.SZ,000823,33
控制权变更+新能源材料+防腐涂料+军工,300665.SZ,300665,33
可转债强赎+核电模块+工业模块,605167.SH,605167,17
,601168.SH,601168,17
玻璃基板封装+基板玻璃+显示面板+咸阳国资,600707.SH,600707,17
,000711.SZ,000711,33
PCB用化学试剂+磷化工+氢氟酸,002584.SZ,002584,33
超级电容+超导电炭黑+炭黑龙头+国企改革,002068.SZ,002068,33
下修转股价博弈+猪肉+预制菜+ST板块,002726.SZ,002726,33
高温硅橡胶+一季报扭亏,002211.SZ,002211,33
洗护+医美概念+跳水队合作+一季度增长,603630.SH,603630,17
,600370.SH,600370,22
培育钻石+CVD金刚石+热电联产+业绩增长,605580.SH,605580,17
磷化工+产品涨价+精制磷酸,600470.SH,600470,17
,603002.SH,603002,17
面值退市博弈+ST板块+中山国资,002717.SZ,002717,33
MPO光连接器+CPO+光纤光缆+深圳国资,000070.SZ,000070,33
液冷服务器+数据中心+维谛技术,920662.BJ,920662,151
ST整改+预制菜+肉牛养殖,600965.SH,600965,22
集成灶+退市博弈+ST板块,605336.SH,605336,22
人形机器人+XT减速器+轮胎模具,002031.SZ,002031,33
玻璃晶圆+光学光电子+AR/VR光学元件,002962.SZ,002962,33
职业装+校服+通勤服拓展,002687.SZ,002687,33
券商+科创投资+高分红填权+一季报增长,000783.SZ,000783,33
机器人+精密机械+汽车零部件,002921.SZ,002921,33
氧化锆+收购并表+口腔修复+ST板块,603718.SH,603718,22
摘帽申请+IDC并表+算力租赁+液冷布局,002289.SZ,002289,33
激光通信+激光控制系统+收购萨米特+一季报增长,688291.SH,688291,17
,603272.SH,603272,22
,603429.SH,603429,22
上海国资+现代物流+ST摘帽预期,600119.SH,600119,22
商业航天+洁净环保+国网中标+一季报增长,000551.SZ,000551,33
预重整+解除司法冻结+拟收购万德溙光电+ST板块,600337.SH,600337,22
地产开发+物业服务+粤港澳大湾区,000042.SZ,000042,33
造纸+业绩减亏+粤港澳大湾区,603863.SH,603863,17
空芯光纤+AI算力光纤+业绩高增,601869.SH,601869,17
电子级双氧水+芯片概念+一季报增长+柳州国资,600423.SH,600423,22
创新药+硝酸甘油喷雾剂+化学制药,002038.SZ,002038,33
,001257.SZ,001257,33
液冷阀门+高出口占比+分红实施,002871.SZ,002871,33
,603177.SH,603177,17
AI设计+时尚鞋履+IP经济,603116.SH,603116,17
创新药+海南自贸区+国企改革,000566.SZ,000566,33
,002217.SZ,002217,33
问询函澄清+养老机器人+男装,600400.SH,600400,17
摘帽预期+保健酒+一季报增长+海南国资,600238.SH,600238,22
,603580.SH,603580,22
AI医疗+猴痘概念+海峡两岸,603122.SH,603122,17
,600301.SH,600301,17
聚焦煤炭主业+拟退出牛肉产业+C919供应商+海南自贸区,000571.SZ,000571,33
光动力疗法+创新药+仿制药,002370.SZ,002370,33
短剧+申请撤销退市风险警示+唐山国资,600892.SH,600892,22
中标1.97亿项目+股份回购+扭亏为盈+PPP概念,600187.SH,600187,22
光耦合器+股权转让获批+摘帽,002047.SZ,002047,33
AI机器视觉+低空经济+物流机器人,605118.SH,605118,17
具身智能+AI+体验经济+坏账追回,603466.SH,603466,17
稀贵金属+危废资源化+氟化工+广东国资,002672.SZ,002672,33
,002378.SZ,002378,33
