股票代码,涨停原因类别[20260625],code,market_code
605366.SH,光纤概念+高纯四氯化硅+含硫硅烷+券商推荐,605366,17
002193.SZ,,002193,33
002055.SZ,,002055,33
000048.SZ,机器人+股权转让+生猪养殖,000048,33
002579.SZ,PCB+高阶HDI+AIPC+定增通过,002579,33
002424.SZ,,002424,33
603800.SH,PCB并购+先进封装+TGV+电解铜箔,603800,17
002928.SZ,支线航空+C909主力机型+一季报增长,002928,33
688381.SH,模拟芯片+光模块+人形机器人,688381,17
002141.SZ,PCB上游+覆铜板+盐湖提锂参股,002141,33
603313.SH,智能床+美国产能+实控人代偿应收款,603313,17
000818.SZ,算力租赁+800G光模块+存储芯片+武汉国资,000818,33
000034.SZ,华为昇腾+AI算力+存储芯片,000034,33
603359.SH,,603359,22
603929.SH,半导体洁净室+新加坡布局+一季报倍增,603929,17
002674.SZ,磷化铟收购+机器人电子皮肤+汽车内饰皮革,002674,33
002542.SZ,,002542,33
002822.SZ,申请撤销ST+物业管理+固废资源化,002822,33
002547.SZ,,002547,33
000100.SZ,面板+收购半导体+一季报增长+回购,000100,33
002977.SZ,,002977,33
600082.SH,,600082,22
603115.SH,超级电容涨价+AI服务器电极箔+全球市占率第一+分红,603115,17
600180.SH,,600180,22
603065.SH,磷化铟衬底+终止减持+光稳定剂,603065,17
002387.SZ,ViP技术+AMOLED+高世代产线,002387,33
002990.SZ,算力合作+存储芯片+人形机器人,002990,33
603790.SH,,603790,17
603559.SH,,603559,22
605589.SH,PPO树脂+先进封装+可转债申购,605589,17
603989.SH,MLPC+AI服务器+铝电解电容+薄膜电容,603989,17
000609.SZ,半导体封测+拟收购北京天微+ST摘帽预期,000609,33
000016.SZ,,000016,33
002656.SZ,,002656,33
002931.SZ,,002931,33
605300.SH,植物奶+股东回馈+一季报增长,605300,17
002789.SZ,,002789,33
600719.SH,,600719,17
600228.SH,控制权变更+复牌+在线导购+摘帽,600228,17
002227.SZ,,002227,33
002980.SZ,光通信测试+AI眼镜+测量仪器,002980,33
600962.SH,半导体工程+并购重组+浓缩果汁+央企,600962,17
603267.SH,MLCC+光通信+液冷散热+商业航天,603267,17
300223.SZ,存储芯片+DRAM涨价+AI MCU+一季报增长,300223,33
600058.SH,铁合金+铁矿资产注入+央企,600058,17
002082.SZ,,002082,33
002592.SZ,,002592,33
001211.SZ,,001211,33
603661.SH,投资GPU公司+培育钻石+家居用品+出口,603661,17
603527.SH,紫铜带箔材+压延铜箔+新能源电池结构件+3D打印,603527,17
002620.SZ,,002620,33
002431.SZ,,002431,33
002946.SZ,,002946,33
000632.SZ,,000632,33
002558.SZ,游戏+业绩增长+AI基础设施布局,002558,33
002965.SZ,收购酷尔芯+液冷服务器+人形机器人,002965,33
603500.SH,超级电容胶塞+轨交扣件龙头+高分子辐照改性,603500,17
002303.SZ,消费电子包装+包装一体化+仲裁撤案,002303,33
600678.SH,修订审计说明+石灰石+洛阳国资,600678,22
002691.SZ,,002691,33
002360.SZ,,002360,33
603459.SH,投建高阶HDI+1.6T光模块+HDI龙头,603459,17
603377.SH,,603377,22
002719.SZ,,002719,33
600579.SH,对位芳纶聚合反应器+管式换热器+资产重组+央企,600579,17
688669.SH,光刻胶树脂+钙钛矿电池+化工新材料+股权激励,688669,17
600667.SH,存储芯片封测+SK海力士+无锡国资+一季报增长,600667,17
002518.SZ,液冷服务器+数据中心电源+储能,002518,33
600237.SH,薄膜电容器+PET铜箔+国企,600237,17
001309.SZ,存储芯片+企业级SSD+一季报增长,001309,33
600903.SH,氦气+页岩气收购+天然气+贵州国资,600903,17
600141.SH,磷化工+磷化铟+存储芯片材料+液冷,600141,17
603578.SH,,603578,17
000595.SZ,,000595,33
603335.SH,存储芯片+收购半导体+汽车轮毂,603335,17
600186.SH,算力+半导体材料+阶跃星辰投资+调味品龙头,600186,17
600568.SH,,600568,22
000610.SZ,,000610,33
603595.SH,一季报增长+碳化硅+消费电子,603595,22
002484.SZ,AI服务器电源+超级电容+浙江国资,002484,33
600857.SH,零售+黄金+杭州金帝入主,600857,17
002354.SZ,,002354,33
603010.SH,PCB概念+磷系阻燃剂+泰国基地投产,603010,17
002207.SZ,,002207,33
603318.SH,,603318,17
300650.SZ,存储芯片+半导体分销+一季报增长,300650,33
000811.SZ,数据中心液冷+拟收购整合+权益分派+烟台国资,000811,33
605566.SH,,605566,17
601718.SH,,601718,22
002654.SZ,存储芯片+LED+湖北国资,002654,33
688639.SH,,688639,17
605318.SH,AI智算+装配式建筑+集成吊顶,605318,17
603733.SH,可转债强赎+超级电容器纸+产品提价+造纸,603733,17
002080.SZ,特种纤维布+风电叶片+央企,002080,33
603378.SH,超跌反弹+建筑涂料+司法拍卖,603378,22
300819.SZ,电子布+定增募资+超细纤维龙头,300819,33
000766.SZ,阿尔茨海默症新药+创新药+商业化准备,000766,33
000823.SZ,转债摘牌+PCB+覆铜板+算力硬件,000823,33
002254.SZ,光纤概念+芳纶涂覆隔膜+烟台国资,002254,33
002122.SZ,,002122,33
600888.SH,半导体上游+铝电子新材料+氧化铝项目+一季度净利增,600888,17
603063.SH,储能变流器+光伏+氢能+股权激励授予,603063,17
600458.SH,半导体材料+超级电容+风电出海+央企,600458,17
688376.SH,洁净室龙头+空气净化产品+一季报增长,688376,17
000711.SZ,,000711,33
002068.SZ,超级电容+导电炭黑+炭黑龙头+景德镇国资,002068,33
002726.SZ,,002726,33
605376.SH,MLCC镍粉+AI算力+H股上市,605376,17
002211.SZ,,002211,33
603189.SH,,603189,22
600152.SH,AIDC电源+钠离子电池+3C消费电池,600152,17
600370.SH,,600370,22
688093.SH,感光干膜+高性能光学材料+PCB概念,688093,17
002787.SZ,半导体设备+液冷+参股宇树科技+业绩增长,002787,33
603019.SH,超算登顶+存储破纪录+终止减持,603019,17
002717.SZ,,002717,33
600491.SH,,600491,22
002056.SZ,AI算力磁材+芯片电感+机器人+磁材龙头,002056,33
600965.SH,,600965,22
002687.SZ,,002687,33
000783.SZ,券商+科创投资+一季报增长+高分红,000783,33
688380.SH,MCU+存储芯片+业绩增长,688380,17
600184.SH,光纤材料+光通信+央企,600184,17
002025.SZ,高速光模块发布+算力配套+商业航天+央企,002025,33
000488.SZ,,000488,33
603718.SH,,603718,22
600753.SH,,600753,22
603272.SH,,603272,22
001330.SZ,《四渡》定档+AI影视+全产业链布局,001330,33
603429.SH,,603429,22
600119.SH,,600119,22
603177.SH,,603177,17
603678.SH,MLCC涨价+存储代理+商业航天,603678,17
000636.SZ,MLCC+AI算力+广东国资,000636,33
000911.SZ,,000911,33
600668.SH,创新药+水泥+年报增长,600668,17
603716.SH,,603716,17
002217.SZ,,002217,33
002667.SZ,,002667,33
002512.SZ,,002512,33
600516.SH,石墨烯散热+光纤概念+核电石墨,600516,17
002856.SZ,,002856,33
600330.SH,光模块上游+铌酸锂+软磁材料+先进封装,600330,17
000078.SZ,,000078,33
600187.SH,,600187,22
002072.SZ,,002072,33
002005.SZ,,002005,33
600584.SH,先进封装+CPO光引擎+央企,600584,17
002842.SZ,钨全产业链+定增过会+光伏钨丝,002842,33
600500.SH,覆铜板上游（PPE树脂）+光纤概念+拟收购南通星辰,600500,17
002630.SZ,,002630,33
002397.SZ,,002397,33
600581.SH,,600581,22
000826.SZ,,000826,33
003013.SZ,,003013,33
600476.SH,,600476,22
603690.SH,半导体设备+先进封装+股东增资,603690,17
002689.SZ,,002689,33
603067.SH,铬盐龙头+SOFC+BE合作,603067,17
000656.SZ,,000656,33
002109.SZ,,002109,33
000639.SZ,,000639,33
002514.SZ,,002514,33
603956.SH,液冷泵+六张网建设+智慧水务,603956,17
000056.SZ,功率半导体+债务化解预期+亏损收窄,000056,33
600289.SH,,600289,22
600734.SH,,600734,22
601798.SH,熔盐储能+并购重组+央企,601798,17
603201.SH,,603201,17
920249.BJ,端侧AI+存储芯片+业绩增长,920249,151
000962.SZ,钽铌制品+电容器级钽粉+半导体靶材+央企,000962,33
