market_code,code,股票代码,涨停原因类别[20260226]
33,002491,002491.SZ,光纤光缆涨价+数据中心+储能消防
33,001339,001339.SZ,人形机器人+智算+英伟达生态
33,002424,002424.SZ,苗药龙头+创新药+摘帽预期
33,300499,300499.SZ,液冷服务器+业绩预增+北美算力
33,000638,000638.SZ,退市风险博弈+军工+粮食
33,002141,002141.SZ,覆铜板+盐湖提锂+扭亏为盈
33,000711,000711.SZ,金属铟+ITO靶材+鑫联科技拟注入
33,002286,002286.SZ,增持完成+代糖+功能糖龙头+HMOs试产
33,002428,002428.SZ,磷化铟+商业航天+锗晶片+小金属
33,000890,000890.SZ,光纤概念+重大资产出售+钢帘线
17,600487,600487.SH,CPO+光纤+海缆+深海科技
22,600355,600355.SH,退市博弈+机器人+ST板块
33,002546,002546.SZ,虚拟电厂+业绩预增+电网设备
17,600540,600540.SH,棉花+棉籽蛋白+兵团国资
33,002717,002717.SZ,国资控股+生态文旅+ST板块
17,603950,603950.SH,玉柴合作+柴油发动机+新能源汽车+业绩预增
33,002008,002008.SZ,东南亚扩产+PCB设备+半导体设备+先进封装
33,002868,002868.SZ,ST保壳+动保兽药+资产剥离完成
17,603958,603958.SH,3D打印+消费电子+机器人概念
17,603912,603912.SH,液冷+算力+数据中心
17,603530,603530.SH,特高压+越南建厂+电网设备
33,000593,000593.SZ,
17,600841,600841.SH,数据中心+柴油发动机+上海国资
22,600696,600696.SH,退市风险+酱香型白酒+ST板块
17,688786,688786.SH,GPU电感+3D打印+羰基铁粉
22,600753,600753.SH,液化石油气+ST板块+年报预盈
17,600478,600478.SH,铁空气电池+储能电站+碳酸锂+固态电池
17,688025,688025.SH,CPO+激光器+业绩预增
33,002843,002843.SZ,数据中心电源+商业航天+锯切龙头
33,000609,000609.SZ,半导体背景入主+房地产+创投
17,603163,603163.SH,半导体洁净室+东南亚布局+在手订单
33,000534,000534.SZ,燃气轮机零部件+低空经济+航空发动机
17,600744,600744.SH,火电盈利+绿证政策+央企
17,603267,603267.SH,MLCC+商业航天+军工芯片
17,688530,688530.SH,封装材料+半导体靶材+光伏概念
33,002470,002470.SZ,化肥涨价+磷矿建设+缓控释肥
33,001209,001209.SZ,家居服龙头+IP经济+跨境电商
17,603867,603867.SH,盐湖提锂+锂电回收+精细化工
17,600979,600979.SH,电力+液冷服务器+分布式光伏+国企改革
33,001389,001389.SZ,服务器PCB+算力需求+产能扩张
33,001400,001400.SZ,商业航天+3D打印+液冷+铝挤压模具
33,002162,002162.SZ,康养机器人+银发经济+扭亏为盈
17,600343,600343.SH,火箭零部件+液氢罐箱+液力传动+央企
33,000004,000004.SZ,
22,603580,603580.SH,退市博弈+轻型输送带+两岸融合
17,605033,605033.SH,
17,600410,600410.SH,AI算力+AI应用+DeepSeek概念
17,600399,600399.SH,商业航天+高温合金+军工特钢
33,002095,002095.SZ,推出“股票通”+AI智能体+大宗电商+亏损收窄
33,002970,002970.SZ,无人驾驶+数据中心+越南产能+业绩预增
22,605081,605081.SH,ST板块+水环境修复+算力设备
17,600078,600078.SH,磷化工+新材料+扭亏
33,002969,002969.SZ,
33,300303,300303.SZ,光模块+Mini LED+回购
33,002099,002099.SZ,染料+创新药+原料药+创投
33,000669,000669.SZ,庭外重组+天然气+扭亏
17,603315,603315.SH,燃气轮机+核电铸件+高端水电
33,002378,002378.SZ,钨价上调+钨产业链+业绩预增
33,002913,002913.SZ,可转债获批+PCB+AI服务器
33,301630,301630.SZ,PCB概念+电子树脂+国产替代
17,600875,600875.SH,燃气轮机+可控核聚变+央企
22,603268,603268.SH,原油运输船订单+船舶制造+业绩预增
33,002306,002306.SZ,ST保壳+光伏+餐饮团膳
33,002463,002463.SZ,PCB扩产+AI服务器+业绩高增
33,000899,000899.SZ,火电+新能源+江西国资
33,000826,000826.SZ,环境治理+重整预期+无人环卫
22,603822,603822.SH,
17,603308,603308.SH,燃气轮机+航空发动机+商业航天
22,603843,603843.SH,算力租赁+盐湖提锂+有色金属
33,300943,300943.SZ,商业航天+军工传感器+供货BE+流体控制阀
17,600237,600237.SH,复合铜箔+薄膜电容器+国企
33,002272,002272.SZ,液冷服务器+北美订单+绿色算力
33,002478,002478.SZ,HRSG满产（用于燃机）+特材投产+核电管材
33,000546,000546.SZ,盐湖提锂+锂矿布局+金属镍+固废回收
22,600243,600243.SH,数控机床+退市风险+ST板块
33,301175,301175.SZ,垃圾焚烧+商业航天+绿热利用+中科院
33,002350,002350.SZ,中标5.88亿+配电设备+储能
33,001896,001896.SZ,参股算力+火电+绿电储备+河南国资
33,002916,002916.SZ,PCB+AI算力+存储芯片+央企
22,603557,603557.SH,电解铝+童装童鞋+ST板块
33,002283,002283.SZ,机器人+AI智能体+曲轴+回购
17,600522,600522.SH,光纤+海缆+800G光模块
33,000010,000010.SZ,园林绿化+市政基建+算力
