涨停原因类别[20260415],market_code,code,股票代码
有机硅+含硫硅烷+泰国项目+转债赎回,17,605366,605366.SH
,33,002575,002575.SZ
消费电子+拟收购液冷+AIPC+人形机器人,17,603890,603890.SH
退市博弈+烟花爆竹+业绩预盈,22,600599,600599.SH
医疗设备+无液氦超导+业绩高增+全球化,17,688805,688805.SH
控制权变更+扭亏预告+男装品牌,33,002569,002569.SZ
创新药+中药大健康+浙江国资,17,600572,600572.SH
电力设备+储能+风电,17,603063,603063.SH
AI应用+智能家居+零售,33,000785,000785.SZ
中东重建+国际工程+算力+一带一路,33,002051,002051.SZ
T/R芯片+商业航天+扭亏为盈+摘帽预期,33,001270,001270.SZ
液冷储能+固态电池+山东国资,33,002580,002580.SZ
算力销售+5G消息+短信通道,33,000889,000889.SZ
半导体+锂电池结构件+金属包装+年报增长,33,002787,002787.SZ
,17,600743,600743.SH
柴油动力单元+重大资产重组+发动机零部件,17,603950,603950.SH
苹果折叠屏+铝结构件+消费电子+国企改革,17,603327,603327.SH
电线电缆+商业航天+机器人+电网设备,33,001208,001208.SZ
益生菌+味动力+扭亏预期,17,605388,605388.SH
,17,603778,603778.SH
,33,002083,002083.SZ
,22,600082,600082.SH
半导体投资+上海房产租赁+战略转型,17,600605,600605.SH
AI医疗+医药零售+创新药,33,301408,301408.SZ
拟收购长空齿轮+中航工业旗下+航空航天表+机器人,33,000026,000026.SZ
创新药+右酮洛芬+帕利哌酮获批,33,000788,000788.SZ
高端纺机+固态电池+纺织机器人,33,003036,003036.SZ
转债有望提前赎回+电线电缆+商业航天+海缆扩产,17,605222,605222.SH
,22,600696,600696.SH
医药流通+创新药,33,002589,002589.SZ
存算一体+人形机器人+智慧口岸,33,002990,002990.SZ
玻璃基板+CPO+商业航天,17,603773,603773.SH
年报增长+高分红+AI教育+职业教育,17,605098,605098.SH
,33,000838,000838.SZ
宠物食品+全球化产能+自主品牌,33,002891,002891.SZ
甾体激素+原料药出口,17,600488,600488.SH
,22,603813,603813.SH
算力+液冷+AR/VR,17,605289,605289.SH
基建+新型城镇化+安徽国资,17,603815,603815.SH
,33,002634,002634.SZ
,33,002227,002227.SZ
一季报预增+快递涨价+经济型快递,33,002468,002468.SZ
商业航天+无人机+聚酯树脂+地方国资,33,002361,002361.SZ
GLP-1+创新药+硝酸甘油喷雾剂,33,002038,002038.SZ
退市风险博弈+算力+移动应用安全,33,000004,000004.SZ
退市风险博弈+保健酒主业+海南国资,22,600238,600238.SH
创新药+保健品+仿制药一致性评价,17,600664,600664.SH
,22,603580,603580.SH
拟收购四药+创新药+南京国资,33,000919,000919.SZ
TOD轨道物业+拟剥离地产+北京国资,17,600683,600683.SH
猪肉+预重整+销量增长,33,002124,002124.SZ
航天系+TAC膜+锂电隔膜,17,600135,600135.SH
创新药+合成生物+浙江国资,17,600267,600267.SH
退市博弈+算力设备+水环境修复,22,605081,605081.SH
钐铁氮+稀土永磁材料+冰箱门封,17,603150,603150.SH
GLP-1+原料药-制剂一体化+港股上市预期,17,688166,688166.SH
阿扎胞苷获批+抗肿瘤药+民营医院,17,600594,600594.SH
泡泡玛特代工+小家电出口+机器人,33,002705,002705.SZ
算力租赁+液冷+英伟达合作+年报预增,17,603629,603629.SH
,33,001299,001299.SZ
ST摘帽预期+储能+高效环保锅炉,33,002630,002630.SZ
,22,600636,600636.SH
消费电子+新能源汽车扩产+电池结构件+业绩预增,33,002824,002824.SZ
一季报业绩预增+商业航天+硬质合金,33,002297,002297.SZ
1.6T光模块+HDI板+商业航天,17,603459,603459.SH
摘帽预期+VLCC订单+船舶制造,22,603268,603268.SH
一季报预增+冰雪旅游+IP经济,33,002033,002033.SZ
此前复牌+特钢+中亚出口+央企,22,600581,600581.SH
芯片概念+高端木作+智能家居,17,603216,603216.SH
军工装备+商业航天+无人机禁毒,22,688287,688287.SH
LED照明+泰国基地+北美订单,17,605365,605365.SH
ST博弈+日用玻璃+轻量化技术,22,603021,603021.SH
锂电材料+环保助剂+产能扩张,17,603285,603285.SH
特高压+柔性直流输电+海上风电,33,002498,002498.SZ
,22,603843,603843.SH
卫浴陶瓷+华为生态+AI布局,33,002798,002798.SZ
AI算力+沐曦合作+消费电子,33,301189,301189.SZ
实控人航天科技+绿氢工程+年报增长,17,603698,603698.SH
参股算力+火电+绿电储备+河南国资,33,001896,001896.SZ
拟投GPU+钙钛矿设备+参股曲速科技+纸包装,17,603687,603687.SH
一季报预增+新游上线+高分红,17,603444,603444.SH
中药饮片+医药分销+海峡两岸,33,002788,002788.SZ
