股票代码,market_code,code,涨停原因类别[20260320]
000004.SZ,33,000004,
000020.SZ,33,000020,深圳旧改+液晶显示+物业经营
000509.SZ,33,000509,工业母机+双碳+湖北国资
000601.SZ,33,000601,算电协同+储能+生物质发电
000638.SZ,33,000638,退市博弈+军工+粮食
000669.SZ,33,000669,重整预期+天然气+ST板块
000677.SZ,33,000677,低空经济+航空发动机+帘子布+军工材料
000862.SZ,33,000862,风电技改+绿电直连+资产注入+央企
000908.SZ,33,000908,石药入主+摘星申请+创新药
001270.SZ,33,001270,
001283.SZ,33,001283,储能+机器人+AI端侧+预增
002109.SZ,33,002109,
002150.SZ,33,002150,光伏设备+储能一体机+外销
002165.SZ,33,002165,
002199.SZ,33,002199,
002208.SZ,33,002208,
002256.SZ,33,002256,盐湖提锂+业绩预增+光伏+精细化工
002309.SZ,33,002309,钙钛矿电池+厦门国资+光伏储能
002310.SZ,33,002310,重大资产重组+风光电站+资产注入预期+北京国资
002428.SZ,33,002428,光纤级锗产品+商业航天+锗晶片+磷化铟
002470.SZ,33,002470,
002485.SZ,33,002485,
002528.SZ,33,002528,
002565.SZ,33,002565,
002731.SZ,33,002731,
002808.SZ,33,002808,
002816.SZ,33,002816,
300827.SZ,33,300827,光伏设备+储能PCS龙头+一带一路+定增落地
301658.SZ,33,301658,储能+光伏逆变器+全球化布局
600310.SH,17,600310,电力+绿色电力+广西国资
600355.SH,22,600355,退市博弈+缝制数控+智能电网
600370.SH,17,600370,
600381.SH,22,600381,退市博弈+高端白酒+中药大健康
600396.SH,17,600396,绿电+氢能+央企
600604.SH,17,600604,创投+数智园区+上海国资
600608.SH,22,600608,花卉转型+扭亏预告+昆明国资
600617.SH,17,600617,天然气+山西管网+山西国资
600636.SH,22,600636,
600683.SH,17,600683,拟剥离地产+北京国资+TOD轨道物业
600691.SH,17,600691,
600696.SH,22,600696,退市博弈+酱香型白酒
600722.SH,17,600722,
600726.SH,17,600726,绿电转型+热电联产+煤炭概念+央企
603026.SH,17,603026,H股上市+宁德时代+电解液
603165.SH,17,603165,间接投资宇树科技+芯片+再生纸+高股息
603322.SH,17,603322,
603353.SH,17,603353,
603381.SH,17,603381,越南满产+人形机器人+光伏边框+储能
603398.SH,22,603398,光伏硅片+预重整+退市博弈
603527.SH,17,603527,
603538.SH,17,603538,减肥药+特色原料药+集采中选+业绩预增
603580.SH,22,603580,退市博弈+轻型输送带+两岸融合
603629.SH,17,603629,
603687.SH,17,603687,拟投GPU+钙钛矿设备+参股曲速科技+纸包装
603778.SH,17,603778,异质结光伏+储能+固态电池
603813.SH,22,603813,超跌反弹+氢能物流+电商物流
603843.SH,22,603843,算力租赁+重整进展+基建转型
603949.SH,17,603949,
605050.SH,17,605050,人形机器人+汽车轻量化+汽车板材
605081.SH,22,605081,
605099.SH,17,605099,足球概念+运动草
605299.SH,17,605299,足球概念+体育产业+回购注销
