涨停原因类别[20260402],股票代码,code,market_code
光纤概念+光伏储能+线缆+厦门国资,002309.SZ,002309,33
,002357.SZ,002357,33
油气储运+一带一路+央企,600339.SH,600339,17
,600599.SH,600599,22
,000048.SZ,000048,33
生猪养殖+收储启动+定增获批,603477.SH,603477,17
,000638.SZ,000638,33
花卉转型+扭亏预告+昆明国资,600608.SH,600608,22
,002905.SZ,002905,33
锂盐湖+二期爬坡+宝武央企,000762.SZ,000762,33
固危废资源化+铟靶材+ST炒作,000711.SZ,000711,33
Q1预计扭亏+燃料油+液冷算力+国资入主,300839.SZ,300839,33
专业工程+一带一路+央企,002051.SZ,002051,33
,002731.SZ,002731,33
电缆+光纤+实控人中国华能+央企,000720.SZ,000720,33
,600355.SH,600355,22
特高压电容膜+光伏背板膜+算电协同应用潜力+国企改革,002263.SZ,002263,33
,000752.SZ,000752,33
特高压光缆+车载电子+定增推进,000586.SZ,000586,33
煤层气+山西国资,000968.SZ,000968,33
,002102.SZ,002102,33
创新药+右酮洛芬+帕利哌酮获批,000788.SZ,000788,33
电力+新型储能+地方国资,600644.SH,600644,17
创新药+原料药+出口,600488.SH,600488,17
润滑油+氢能布局+军工认证,603798.SH,603798,17
,603813.SH,603813,22
年报高增+特高压线缆+航空零部件+机器人电缆,002560.SZ,002560,33
创新药+AI服务器+原料药制剂一体化,002898.SZ,002898,33
造纸+减亏+资产优化,603863.SH,603863,17
成品油+拟控股奎芯+芯片概念,603353.SH,603353,17
GLP-1+创新药+硝酸甘油喷雾剂,002038.SZ,002038,33
退市博弈+高端白酒+中药大健康,600381.SH,600381,22
,000004.SZ,000004,33
回购+连锁药房+创新药+央企,000950.SZ,000950,33
锂矿达产+新能源发电+四川国资,000155.SZ,000155,33
热电联产+储能+回购,605162.SH,605162,17
海峡两岸+AI医疗+6亿合同,603122.SH,603122,17
,605081.SH,605081,22
阿扎胞苷获批+抗肿瘤药+民营医院,600594.SH,600594,17
,002630.SZ,002630,33
,600581.SH,600581,22
槲皮素申报+原料药+合成生物,920230.BJ,920230,151
创新药+医疗器械+海南自贸港,603222.SH,603222,17
一体化油服+加拿大油气权益,002828.SZ,002828,33
,603008.SH,603008,17
光通信+光纤概念+芯片投资,603042.SH,603042,17
,002538.SZ,002538,33
股权转让+聚苯乙烯+回购完成,300834.SZ,300834,33
