股票代码,market_code,code,涨停原因类别[20260702]
002491.SZ,33,002491,
603001.SH,17,603001,
002250.SZ,33,002250,创新药+六氟磷酸锂+新能源+分红
600165.SH,22,600165,长链二元酸+布局藻油+ST板块
603717.SH,17,603717,生猪养殖+拟设AI公司+功能性红曲+光伏
002409.SZ,33,002409,
002995.SZ,33,002995,AI营销+字节概念+持股中书艺莲+VR文旅
603608.SH,17,603608,多品牌女鞋+网红经济+可转债到期+控制权变更
605286.SH,17,605286,算电协同+储能+风电+电梯部件
002542.SZ,33,002542,保壳+低空经济+成都国资
002674.SZ,33,002674,磷化铟收购+机器人电子皮肤+汽车内饰皮革
001313.SZ,33,001313,特种水产饲料+生物科技+越南投产
002547.SZ,33,002547,破产重整预期+5G通信技术+汽车零部件
002977.SZ,33,002977,商业航天+固态微波前端+摘帽预期
603283.SH,17,603283,
002106.SZ,33,002106,
002427.SZ,33,002427,涤纶工业丝+海工装备+国企改革
000601.SZ,33,000601,业绩预增+清洁能源改造+算电协同
600480.SH,17,600480,人形机器人+液冷+央企
000909.SZ,33,000909,资产整合+杭州国资+大功率充电桩
000016.SZ,33,000016,追偿1.67亿+华润保壳预期+PCB存储芯片+央企
002656.SZ,33,002656,撤销退市风险警示+电工产品+服装
002931.SZ,33,002931,优必选入主+机器人概念+园林机械零部件
600228.SH,17,600228,
002634.SZ,33,002634,重整通过+美年健康入主+无缝服装+ST板块
603338.SH,17,603338,机器人+电动化+世界杯概念
605189.SH,17,605189,人形机器人+PEEK材料+业绩增长+筒子纱龙头
002175.SZ,33,002175,控制权变更+复牌+碳基新材料+智能制造
002020.SZ,33,002020,首仿获批+精神分裂症+创新药+股份回购
603986.SH,17,603986,
002360.SZ,33,002360,债务重整+民爆一体化+执行终结
600172.SH,17,600172,培育钻石+金刚石散热+许昌国资
600084.SH,22,600084,葡萄酒+一季报增长+董事长变更+央企
002198.SZ,33,002198,ST摘帽+中成药+创新药
603083.SH,17,603083,
600537.SH,22,600537,预重整+光伏组件+ST板块
600107.SH,22,600107,服装主业+诉讼回款+ST板块
000595.SZ,33,000595,脱星摘帽+新能源发电+宁夏国资+控股股东增持
603505.SH,17,603505,制冷剂涨价+萤石龙头+AI液冷
002696.SZ,33,002696,水产饲料+超级鱼粉涨价+国企改革
002971.SZ,33,002971,六氟化钨+电子特气+氟化工
002371.SZ,33,002371,
002354.SZ,33,002354,具身智能数据集+3D视觉+算力租赁+AI营销
601718.SH,22,601718,澄清无退市风险+军需品+ST板块+央企
000010.SZ,33,000010,ST板块+庭外重组+工程施工
002569.SZ,33,002569,控制权变更+男装品牌+ST板块
002305.SZ,33,002305,摘帽预期+扭亏为盈+城市运营+央企
002735.SZ,33,002735,
600759.SH,22,600759,ST板块+油气开采+控制权变更预期
000823.SZ,33,000823,
000955.SZ,33,000955,海南自贸区+非织造材料+转型升级
000021.SZ,33,000021,
301019.SZ,33,301019,POE胶膜+色母粒+化工
000677.SZ,33,000677,第一大股东增持+低空经济+帘子布
002693.SZ,33,002693,许可协议+紫杉醇+海南自贸区+扭亏
000890.SZ,33,000890,参股光纤公司+金属制品+环保业务
601010.SH,22,601010,ST板块+零售+回购注销
600491.SH,22,600491,司法拍卖中止+面值退市博弈+基建投资
002102.SZ,33,002102,维生素E+回购注销+国资+ST板块
301092.SZ,33,301092,半导体超纯水+离子交换树脂+核电+减肥药
000520.SZ,33,000520,干散货航运+船舶购置+一季度扭亏
000572.SZ,33,000572,海南自贸港+氢能汽车+换电+出口
600753.SH,22,600753,撤销退市风险警示+液化石油气贸易+改性塑料+一季报扭亏
603897.SH,17,603897,机器人概念+电磁线+年报增长
002652.SZ,33,002652,半导体洁净室+有机涂层板+中芯国际
002581.SZ,33,002581,创新药+神经生长因子+*ST
001317.SZ,33,001317,物流+跨境电商+小米汽车
603538.SH,17,603538,制剂一体化+减肥药+机器人+定增
600119.SH,22,600119,ST板块+上海国资+现代物流
603163.SH,17,603163,
600396.SH,17,600396,
002384.SZ,33,002384,
301008.SZ,33,301008,人形机器人+家电零部件+汽车零部件
600423.SH,22,600423,电子级双氧水+芯片概念+一季报增长+柳州国资
603135.SH,17,603135,机器人+商业航天+海外订单
600490.SH,17,600490,黄金+铜+业绩增长
000636.SZ,33,000636,
000566.SZ,33,000566,创新药+脑机接口+海南自贸区+国企
000698.SZ,33,000698,PVC糊树脂+化工+央企+ST板块
002217.SZ,33,002217,
920221.BJ,151,920221,减速器+重大资产重组+液冷
002856.SZ,33,002856,庭外重组+ST板块+建筑装饰+佛山国资
600584.SH,17,600584,
600793.SH,17,600793,子公司购买资产+醋酸纤维素+竹基新材料+宜宾国资
003030.SZ,33,003030,预制菜+魔芋+人造肉+豆制品
000951.SZ,33,000951,新能源重卡+重卡出口+山东国资
300071.SZ,33,300071,AI应用+数字营销+FlinkAI平台
600182.SH,17,600182,轮胎+股改+一季报增长
001378.SZ,33,001378,功能性BOPP薄膜+锂电池+一季报增长
002559.SZ,33,002559,参股半导体检测公司+海力士+工业母机+机器人
605488.SH,17,605488,电子皮肤+供货优必选+人形机器人
603928.SH,17,603928,半导体光刻胶概念+CVD硅碳负极+一季报增长
001223.SZ,33,001223,
000988.SZ,33,000988,
603789.SH,22,603789,控制权变更+光伏储能+农业机械
000506.SZ,33,000506,黄金+一季报扭亏+国企
603416.SH,17,603416,人形机器人+PLC龙头+业绩增长
002258.SZ,33,002258,精草铵膦+草铵膦涨价+股份转让+央企
600156.SH,17,600156,算力租赁+数据中心+拟收购易信科技+湖南国资
600563.SH,17,600563,
603359.SH,22,603359,ST板块+生态修复+退市风险警示
002580.SZ,33,002580,算力+液冷储能+电池+山东国资
605060.SH,17,605060,
603778.SH,17,603778,光伏+异质结+诉讼利空落地
600082.SH,22,600082,ST板块+园区运营+天津国资
002998.SZ,33,002998,2026中报预增+再生涤纶+产品价格修复
600180.SH,22,600180,庭外重组+海外煤炭+供应链管理
603790.SH,17,603790,参股PEEK+染助一体化+一季报增长
000838.SZ,33,000838,重整+房地产
603559.SH,17,603559,摘帽+一季报扭亏+通信技术服务
000576.SZ,33,000576,参股锴威特半导体+光电成像+非晶合金+军工
002029.SZ,33,002029,男装夹克+投资机器人及半导体+房产运营
600545.SH,17,600545,
603926.SH,17,603926,机器人零部件+汽车传动+即将减持
002522.SZ,33,002522,
605289.SH,17,605289,
605020.SH,17,605020,制冷剂涨价+高端氟材料+氟化工
002592.SZ,33,002592,液冷技术储备+新能源汽车热管理+ST板块
603286.SH,17,603286,人形机器人+电子皮肤+北美工厂+传感器
603061.SH,17,603061,
002586.SZ,33,002586,中标8.82亿元+水利建设+国企改革
603828.SH,22,603828,ST板块+控制权变更+光伏建筑一体化
300695.SZ,33,300695,人形机器人+轮毂轴承+可转债
002620.SZ,33,002620,预重整+光伏建筑一体化+ST板块
002431.SZ,33,002431,ST板块+积极化解相关风险+农田建设+河南国资
000632.SZ,33,000632,跨境电商+福州国资+盘活资产
002458.SZ,33,002458,中报预增+白羽肉鸡+种猪放量
000892.SZ,33,000892,互动影游+短剧+AI应用
603273.SH,17,603273,机器人概念+海外大单+股权激励
603629.SH,17,603629,
603377.SH,22,603377,ST板块+预重整+实控人变更+智能驾培
603759.SH,17,603759,光伏银浆+通威合作+环保水务
002979.SZ,33,002979,2026中报预增+人形机器人+灵巧手
600449.SH,17,600449,算力租赁+水泥+央企
603021.SH,22,603021,ST板块+日用玻璃+跨境电商
600667.SH,17,600667,
603822.SH,22,603822,生物航煤+环保增塑剂+ST板块
300163.SZ,33,300163,建筑节能+扭亏为盈+利空落地
000972.SZ,33,000972,番茄制品+摘帽+国企改革
002798.SZ,33,002798,服务器资产收购+智能家居设计+瓷砖卫浴
600237.SH,17,600237,
605006.SH,17,605006,
600815.SH,17,600815,新能源矿卡+盾构机+工程机械+厦门国资
600243.SH,22,600243,摘帽预期+天然气+减速器
000536.SZ,33,000536,出售半导体资产+诉讼进展+车载显示+福建国资
601678.SH,17,601678,H股招股+电子级氢氟酸+环氧丙烷
603458.SH,17,603458,
603261.SH,17,603261,航空装备+低空经济+摘帽
603137.SH,17,603137,拟收购存储公司+复牌+建筑幕墙
002122.SZ,33,002122,人形机器人+数据服务+ST摘帽+战略投资
603005.SH,17,603005,
600624.SH,22,600624,量子科技+医药+上海国资+ST板块
605055.SH,17,605055,机器人概念+智慧工厂+印染
000820.SZ,33,000820,储能+再生铜+申请撤销退市风险警示
000711.SZ,33,000711,ITO靶材投产+铟资源循环+ST板块
000592.SZ,33,000592,海峡两岸+林业+林板一体化
605376.SH,17,605376,
002726.SZ,33,002726,ST板块+下修转股价+猪肉
603638.SH,17,603638,人形机器人+丝杠导轨+工业母机
002584.SZ,33,002584,PCB用化学试剂+氢氟酸+磷化工
600630.SH,17,600630,纺织服装+上海国资+一季报增长
000908.SZ,33,000908,石药入主+创新药+中药+一季报扭亏
000700.SZ,33,000700,人形机器人+保险杠龙头+金融资产出售
002826.SZ,33,002826,米格列醇片+设立AI公司+获大额补助
300740.SZ,33,300740,高奢美妆+拼多多概念+毛发医疗
600105.SH,17,600105,
603337.SH,17,603337,人形机器人+AI数字成套+缝制机械
600184.SH,17,600184,
603272.SH,22,603272,GPU模组贸易+装修业务拓展+ST板块
003026.SZ,33,003026,
603429.SH,22,603429,拟购慧聚药业+固态电池+烟标
002281.SZ,33,002281,
603517.SH,22,603517,ST板块+休闲食品+股票期权激励
002596.SZ,33,002596,海南自贸区+商品混凝土+封关红利
600641.SH,17,600641,拟收购先导微电子+离子注入机+铋材料
002667.SZ,33,002667,一季报扭亏+碳酸锂+钨锡铅锌矿
603580.SH,17,603580,摘帽+新能源电池配件+轻型输送带
002512.SZ,33,002512,控股权变更+卫星通信+一季报扭亏
002808.SZ,37,002808,退市复核+OPC感光鼓+光伏
000078.SZ,33,000078,摘帽预期+miRNA肿瘤早筛+医药全产业链
002005.SZ,33,002005,一季报扭亏+LED封装+ST摘帽+小家电
002842.SZ,33,002842,钨全产业链+光伏钨丝+定增过会
605199.SH,22,605199,创新药+ST摘帽预期+儿科药
600581.SH,22,600581,资产剥离+定增+中亚钢铁+央企
600988.SH,17,600988,黄金+紫金矿业入主
002463.SZ,33,002463,
603738.SH,17,603738,
002689.SZ,33,002689,ST板块+旧梯改造+海外布局+一季报增长
000656.SZ,33,000656,摘帽+地产开发+不动产综合运营
002109.SZ,33,002109,子公司复产+股东增持+煤化工+陕西国资
000639.SZ,33,000639,高管增持+玉米油龙头+资产剥离+ST板块
000821.SZ,33,000821,钙钛矿设备+机器人+回购+ST板块
002859.SZ,33,002859,
605358.SH,17,605358,
001319.SZ,33,001319,机器人+汽车零部件+回购
002392.SZ,33,002392,国产AI芯片+硅碳负极+耐火材料+定增
603557.SH,22,603557,铝业转型+三胎概念+ST板块
