market_code,股票代码,code,涨停原因类别[20260428]
33,000856.SZ,000856,
22,600608.SH,600608,
17,603336.SH,603336,实控人变更+苏州国资+果蔬服务
17,600156.SH,600156,算力租赁+液冷+拟收购易信科技+湖南国资
17,600053.SH,600053,
17,603359.SH,603359,
33,002731.SZ,002731,
17,600726.SH,600726,绿电转型+热电联产+央企
17,600227.SH,600227,尿素涨价+甲醇+煤化工
22,600265.SH,600265,算力租赁+资产赠与+林业
17,601828.SH,601828,一季度扭亏+REITs+厦门国资
17,603109.SH,603109,
17,600770.SH,600770,参股神州龙芯（CPU）+功率半导体+芯片设计+并购吉莱微
151,920471.BJ,920471,一季报扭亏+四氢呋喃+合成生物
33,002713.SZ,002713,
17,603283.SH,603283,HBM检测+半导体设备+一季报增长+10转3派5.4
33,002253.SZ,002253,
17,603583.SH,603583,
33,002373.SZ,002373,
33,000593.SZ,000593,实控人变更+燃气+氢能+网红游资持仓
17,600841.SH,600841,
17,603360.SH,603360,
17,600623.SH,600623,资产置换+绿色甲醇+氟化工+上海国资
33,000838.SZ,000838,江西中久拟入主+固废处理+ST摘帽博弈
33,000909.SZ,000909,
17,601137.SH,601137,
33,000609.SZ,000609,半导体资产注入+ST博弈+房地产
17,603259.SH,603259,一季报大增+CRDMO+创新药
17,600488.SH,600488,创新药炒作+甾体激素+原料药出口
17,605289.SH,605289,一季报大增+AI算力+储能
17,600379.SH,600379,电子特气+氢能+储能+特高压+央企
33,002789.SZ,002789,
17,600744.SH,600744,火电盈利+新能源装机+央企
17,603399.SH,603399,锂盐产能扩张+一季度扭亏+固态电池材料
17,603655.SH,603655,
33,002592.SZ,002592,汽车热管理+年报增长+客户拓展
22,600381.SH,600381,高端白酒+虫草龙头+退市博弈
17,603338.SH,603338,机器人+电动化+一季报增长
17,600410.SH,600410,
33,002431.SZ,002431,
22,600735.SH,600735,资金占用清偿+复牌+石墨新材料+发制品出口
33,002326.SZ,002326,
33,002733.SZ,002733,算力UPS+氢能+钠电
33,001266.SZ,001266,一季报大增+液冷储能+商业航天
17,603629.SH,603629,算力租赁+业绩暴增+高送转
17,600320.SH,600320,一季报增长+港机龙头+央企回购
33,002175.SZ,002175,广西国资拟入主+智能物流+*ST博弈
17,601101.SH,601101,一季报增长+煤炭+高股息+北京国资
33,300540.SZ,300540,氦气+氢能装备+商业航天+四川国资
17,600248.SH,600248,绿色转型+房屋建设+石化工程+国企
22,600636.SH,600636,
33,002297.SZ,002297,一季报增长+商业航天+硬质合金
22,688287.SH,688287,
33,000972.SZ,000972,
33,002923.SZ,002923,一季报高增+创新药获批+原料药一体化
33,002218.SZ,002218,光储融合+商业航天+钙钛矿
22,600243.SH,600243,电梯配件+天然气+退市博弈
17,603196.SH,603196,
33,002210.SZ,002210,一季度扭亏+固废处理+黄金供应链
33,002323.SZ,002323,
17,603318.SH,603318,氦气+燃气轮机掺氢+山东国资
17,601177.SH,601177,一季报增长+船用齿轮箱+人形机器人+杭州国资
33,000010.SZ,000010,
33,002912.SZ,002912,
22,600421.SH,600421,
33,002036.SZ,002036,
33,002575.SZ,002575,算力租赁+腾讯合作+酒类销售
33,002225.SZ,002225,
17,603779.SH,603779,葡萄酒+有机种植+白兰地升级
17,600496.SH,600496,海外订单+装配式建筑+高分红
22,600599.SH,600599,
33,002569.SZ,002569,控制权变更+扭亏预期+男装品牌+宝鸡国资
33,300187.SZ,300187,一季报大增+垃圾焚烧发电+储能
33,300905.SZ,300905,COFs量产+纤维母粒+一季报增长
33,000917.SZ,000917,
33,000711.SZ,000711,铟靶材+固危废资源化+扭亏为盈
33,001270.SZ,001270,
33,002703.SZ,002703,
17,600152.SH,600152,钠电储能+3C电池龙头+高倍率电池扩产
17,603317.SH,603317,一季报高增+火锅调料+员工持股
17,603095.SH,603095,AI验布机+高端装备+提质增效
33,001358.SZ,001358,一季报增长+电子化学品+哌嗪衍生物+CCUS
33,000889.SZ,000889,算力+5G消息+通信运维
33,002821.SZ,002821,GLP-1多肽+CDMO+在手订单
33,000908.SZ,000908,石药入主+创新药+摘星
33,000752.SZ,000752,ST重整+啤酒+业绩预增
17,603105.SH,603105,
17,600965.SH,600965,
33,301261.SZ,301261,业绩大增+人形机器人+RV/谐波减速器
33,002289.SZ,002289,IDC并购+算力租赁+液晶显示
22,600696.SH,600696,
33,300029.SZ,300029,
33,002652.SZ,002652,中芯国际概念+半导体洁净室+有机涂层板
33,003026.SZ,003026,业绩预增+半导体硅片+6-8英寸抛光硅片
33,001298.SZ,001298,存储芯片+AI算力+一季报高增
33,002782.SZ,002782,
22,603813.SH,603813,申请撤销退市风险警示+氢能物流+供应链服务
33,002898.SZ,002898,
17,601789.SH,601789,一季报净利增77%+中标4.99亿+参股中经云+宁波国资
33,002313.SZ,002313,一季度扭亏+无线通信模组+珠海国资
33,000967.SZ,000967,算力租赁+智慧环卫+机器人+业绩预增
17,603215.SH,603215,AI眼镜+定增落地+小家电出口
22,600238.SH,600238,退市博弈+保健酒+海南国资
33,002647.SZ,002647,摘帽+AI算力+第三方支付
33,002290.SZ,002290,
33,002512.SZ,002512,
33,002779.SZ,002779,
22,605081.SH,605081,
33,002808.SZ,002808,
33,002879.SZ,002879,
33,002412.SZ,002412,一季报增长+四磨汤中选集采+中药独家品种
33,002715.SZ,002715,气门+黄金+比亚迪概念
33,002081.SZ,002081,商业航天产业配套+半导体洁净室+越南合作+EPC总包
22,603008.SH,603008,
33,002902.SZ,002902,AI算力+800G光模块+磁性元器件+新能源车载
17,605168.SH,605168,算力租赁+AI营销+年报增长
17,603931.SH,603931,半导体材料+光刻胶+显影液国产替代+客户拓展
22,603843.SH,603843,算力租赁+重整预期+ST板块
33,000656.SZ,000656,
33,002514.SZ,002514,
