股票代码,code,涨停原因类别[20260812],market_code
002491.SZ,002491,光纤光缆+光棒扩产+中报预计扭亏,33
603076.SH,603076,定增获批+精酿鲜啤+液态食品装备,17
000048.SZ,000048,机器人+算力+生猪养殖,33
002164.SZ,002164,机器人+精密减速器+具身智能,33
600572.SH,600572,创新药+中药+浙江国资,17
000936.SZ,000936,涤纶化纤+不再持有索尔思光电+创投+国企改革,33
603191.SH,603191,定增获批+AI数据中心+华为超充+输配电全产业链,17
601155.SH,601155,地产开发+商业运营+物业管理,17
000715.SZ,000715,百货零售+首店经济+IP经济,33
002244.SZ,002244,民营房企龙头+销售额逆势增长+杭州地产,33
001260.SZ,001260,汽车软内饰+海外产能+新能源客户,33
605286.SH,605286,算电协同+储能+电梯部件,17
002229.SZ,002229,算力租赁+彩票印刷+成立科技公司,33
301602.SZ,301602,机器人概念+AI医疗+减持届满,33
600397.SH,600397,钨钽铌资产注入+磁选装备+国企改革,17
001313.SZ,001313,水产饲料+业绩预增+战略并购,33
603887.SH,603887,模块化数据中心+算力租赁+央企入主,17
002329.SZ,002329,乳业+新式茶饮+奶水牛种源,33
301315.SZ,301315,AI应用+工业智能体+上海,33
002792.SZ,002792,拟入股佳贤通信+英伟达概念+卫星通信+光模块,33
000593.SZ,000593,举牌+天然气+氢能,33
600602.SH,600602,智算中心+AI产业基金+上海国资,17
000838.SZ,000838,签署重整投资协议+实控人拟变更,33
300197.SZ,300197,生态环保+重大资产重组+央企,33
688635.SH,688635,光通信+掺稀土光纤+商业航天+次新股,17
600379.SH,600379,真空灭弧室+特高压+氦气+央企,17
605289.SH,605289,AI算力+液冷服务器+2026中报预增,17
002682.SZ,002682,换电合作+机器人+国企改革,33
600721.SH,600721,CRO+金华国资+仿制药,17
000802.SZ,000802,《欢迎来龙餐馆》上映+影视全产业链+半年报减亏,33
600234.SH,600234,算力租赁+定增+建筑工程,17
001696.SZ,001696,航空发动机+机器人概念+资产置换,33
000887.SZ,000887,人形机器人+液冷服务器+汽车零部件,33
000669.SZ,000669,实控人变更+天然气+ST板块,33
600376.SH,600376,间接持股宇树科技+房地产+北京国资,17
603330.SH,603330,电子胶+CPO+半年报预盈+出售子公司,17
603289.SH,603289,一体化压铸+注塑机+海外业务,17
300862.SZ,300862,拟收购岚创科技+真空镀膜设备+环境监测+低空经济,33
002178.SZ,002178,AI医疗+智慧城市+数字能源,33
600857.SH,600857,零售+黄金+杭州金帝入主,17
002379.SZ,002379,铝全产业链+拟定增+中报预增,33
603052.SH,603052,硅光芯片+CPO+功能性器件,17
002357.SZ,002357,中报预增+国资入主+低空经济+客运龙头,33
920856.BJ,920856,消防机器人+海外业务+新加坡子公司,151
002552.SZ,002552,覆铜板+黄金+业绩预增+地方国资,33
603922.SH,603922,控制权变更预期+汽车零部件+一季报增长+ST板块,22
002437.SZ,002437,创新药+神经退行性疾病+仿制药龙头,33
600604.SH,600604,间接投资长存+园区数字经济+上海国资,17
603269.SH,603269,数据中心液冷+核电冷却+冷却塔,17
000692.SZ,000692,供热工程+风电+亏损收窄,33
603615.SH,603615,电子元器件分销+半年报预盈+家居塑料,17
000720.SZ,000720,光纤+电缆+终止委托管理+实控人中国华能,33
603095.SH,603095,AI验布机+纺织机械+高端装备,17
002248.SZ,002248,工业母机+谐波减速器+圆台磨床中标,33
003032.SZ,003032,具身智能+AI教育+中报扭亏,33
600491.SH,600491,要约收购+建筑总包+绿色建筑,22
603396.SH,603396,光伏设备+钙钛矿电池+氢能装备,17
603369.SH,603369,白酒+渠道稳健+江苏国资,17
002870.SZ,002870,定增落地+机器人+电子皮肤+智能座舱,33
002031.SZ,002031,人形机器人+RV减速器+轮胎模具,33
