股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
600855.SH,航天长峰,19.23,10.011441647597254,涨停,1,0, 11:17:32, 11:17:32,航天+军工电子+央企,,,,17,600855
002305.SZ,*ST南置,2.33,4.954954954954949,涨停,1,0, 10:23:42, 10:24:54,商业地产+央企重组+净资产转正,,,,33,002305
002328.SZ,新朋股份,11.84,10.037174721189592,涨停,1,0, 10:20:36, 10:32:30,液冷服务器+储能+汽车零部件+回购,,,,33,002328
002149.SZ,西部材料,50.0,10.011001100110004,涨停,1,0, 13:07:57, 13:08:39,商业航天+可控核聚变+稀有金属+国企,,,,33,002149
603269.SH,海鸥股份,16.01,10.03436426116839,涨停,1,0, 11:11:45, 11:11:45,液冷服务器+核电冷却塔+回购+制造业单项冠军,,,,17,603269
605167.SH,利柏特,19.64,10.028011204481787,涨停,1,0, 13:06:08, 13:06:08,核电模块+海工模块+工业模块,,,,17,605167
603171.SH,税友股份,54.78,10.000000000000009,涨停,1,0, 09:51:14, 09:51:14,财税SaaS+AI智能体,,,,17,603171
000711.SZ,ST京蓝,3.59,4.970760233918127,涨停,1,0, 10:25:18, 11:11:03,铟靶材+固危废资源化+ST炒作,,,,33,000711
002051.SZ,中工国际,10.82,9.95934959349594,涨停,1,0, 09:44:03, 13:38:30,中东重建+国际工程+算力+一带一路,,,,33,002051
001270.SZ,*ST铖昌,135.59,5.002710446836527,涨停,2,0, 09:41:27, 10:46:03,T/R芯片+商业航天+扭亏为盈+摘帽预期,,,,33,001270
601778.SH,晶科科技,6.03,10.03649635036496,涨停,1,0, 10:26:51, 13:27:03,回购股份注销+算电协同+储能,,,,17,601778
600152.SH,维科技术,11.89,9.990749306197964,涨停,2,0, 09:39:17, 13:30:44,电池项目投资+钠电储能龙头+锂电产业链,,,,17,600152
603929.SH,亚翔集成,190.35,-10.000000000000002,跌停,0,1,,,, 13:25:34, 13:25:34,一季报落地+此前涨幅较大+主力资金流出,17,603929
000889.SZ,中嘉博创,4.31,9.948979591836727,涨停,1,0, 09:32:15, 09:32:15,算力销售+5G消息+短信通道,,,,33,000889
002580.SZ,圣阳股份,22.97,10.009578544061304,涨停,4,0, 10:24:03, 14:00:57,液冷储能+固态电池+山东国资,,,,33,002580
301157.SZ,华塑科技,77.7,20.000000000000004,涨停,1,0, 14:15:51, 14:15:51,液冷+东数西算+BMS,,,,33,301157
002229.SZ,鸿博股份,19.7,9.994416527079839,涨停,1,0, 09:31:12, 09:31:12,AI算力业务+彩票印刷龙头,,,,33,002229
603002.SH,宏昌电子,12.86,10.008554319931566,涨停,1,0, 09:36:34, 13:27:40,先进封装+英伟达链+环氧树脂+覆铜板,,,,17,603002
603109.SH,神驰机电,23.43,9.999999999999995,涨停,1,0, 14:28:22, 14:28:22,小型发电机+储能+北美大客户+拟投资新质基金,,,,17,603109
600743.SH,华远控股,3.21,9.93150684931507,涨停,6,0, 09:30:30, 09:30:30,实控人筹划重组+物业管理+北京国资,,,,17,600743
600491.SH,龙元建设,2.65,-9.863945578231293,跌停,0,1,,,, 09:37:40, 09:39:19,债务逾期+账户冻结+监管关注,17,600491
000752.SZ,ST西发,9.74,4.956896551724148,涨停,2,0, 14:25:48, 14:25:48,ST重整+拟全资控股拉萨啤酒+业绩预增,,,,33,000752
603778.SH,国晟科技,29.79,-10.000000000000007,跌停,0,1,,,, 09:25:02, 09:25:02,终止收购+此前涨幅较大,17,603778
002083.SZ,孚日股份,14.53,9.99242997728992,涨停,1,0, 14:38:39, 14:38:39,锂电池添加剂+涂层材料+业绩增长+地方国企,,,,33,002083
301292.SZ,海科新源,106.86,20.000000000000004,涨停,1,0, 14:48:09, 14:48:09,电解液龙头+固态电池+比亚迪大单,,,,33,301292
600082.SH,ST海泰,3.33,-5.128205128205121,跌停,0,1,,,, 09:25:03, 09:25:03,实施其他风险警示+此前涨幅较大+业绩预亏,22,600082
002314.SZ,南山控股,2.74,10.04016064257028,涨停,1,0, 13:53:51, 14:01:00,住宅开发+储能+REITs+国企,,,,33,002314
002713.SZ,*ST东易,14.92,4.996481351161147,涨停,1,0, 14:23:30, 14:23:30,算力中心+家装AI+重整完成,,,,33,002713
600605.SH,汇通能源,29.39,9.992514970059887,涨停,1,0, 09:30:53, 09:30:53,半导体投资+上海房产租赁+战略转型,,,,17,600605
002107.SZ,沃华医药,7.83,9.97191011235955,涨停,1,0, 09:39:15, 09:47:03,心脑血管中药+独家产品线+业绩大增,,,,33,002107
002885.SZ,京泉华,27.05,10.004066693777961,涨停,1,0, 09:30:00, 09:30:00,电源类产品+磁性元器件+储能+业绩预增,,,,33,002885
600696.SH,*ST岩石,1.14,-5.000000000000004,跌停,0,2,,,, 10:00:35, 13:57:59,触及终止上市+业绩预亏+此前连续下跌,22,600696
603389.SH,*ST亚振,48.76,4.995693367786392,涨停,2,0, 14:40:35, 14:40:35,ST板块+锆钛选矿+世博家具,,,,22,603389
002990.SZ,盛视科技,38.28,10.000000000000012,涨停,1,0, 09:40:42, 14:55:36,存储芯片+人形机器人+智慧口岸,,,,33,002990
300857.SZ,协创数据,249.6,19.999999999999996,涨停,1,0, 09:33:03, 09:33:03,一季报预增+算力租赁+光模块,,,,33,300857
601588.SH,北辰实业,2.07,10.106382978723401,涨停,1,0, 09:34:41, 09:52:56,控股股东增持+房地产+会展+北京国资,,,,17,601588
603813.SH,*ST原尚,29.12,5.012621709340067,涨停,6,0, 09:30:39, 09:30:39,退市风险博弈预期+电商物流合作+氢能物流布局,,,,22,603813
600396.SH,华电辽能,8.03,9.999999999999995,涨停,2,0, 09:34:20, 09:49:17,火电+氢能+央企,,,,17,600396
