name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3913.72,3889.08,3852.09,56134296300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-27 16:01:15,24.64,0.63,3924.11,3852.09,3913.72/561342963/799696430886,56134296300,799696430000.0,1.17,16.95,,3924.11,3852.09,1.85,603011.37,643361.53,0.0,-1.0,-1.0,0.81,0.0,3894.5,,
深证成指,sz399001,13760.37,13606.44,13423.51,63056898500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-27 16:00:45,153.93,1.13,13842.4,13419.31,13760.37/630568985/1053577032454,63056898500,1053577030000.0,2.61,49.79,,13842.4,13419.31,3.11,382742.65,445527.01,0.0,-1.0,-1.0,0.85,0.0,13646.29,,
创业板指,sz399006,3295.88,3272.49,3236.37,16968830300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-27 16:01:00,23.39,0.71,3323.33,3228.41,3295.88/169688303/460779852628,16968830300,460779850000.0,3.26,67.15,,3323.33,3228.41,2.9,146267.19,179627.17,0.0,-1.0,-1.0,0.8,0.0,3276.26,,
