name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3919.29,3948.55,3940.8,54421283500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-02 16:10:15,-29.26,-0.74,3952.58,3900.12,3919.29/544212835/811896566972,54421283500,811896570000.0,1.13,17.05,,3952.58,3900.12,1.33,603745.8,643703.81,0.0,-1.0,-1.0,0.92,0.0,3929.44,,
深证成指,sz399001,13486.94,13706.52,13658.25,63603871000.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-02 16:09:30,-219.58,-1.6,13680.63,13418.5,13486.94/636038710/1031097369725,63603871000,1031097370000.0,2.62,50.85,,13680.63,13418.5,1.91,376614.26,438112.57,0.0,-1.0,-1.0,0.97,0.0,13565.54,,
创业板指,sz399006,3172.65,3247.52,3229.6,17467543300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-02 16:09:45,-74.87,-2.31,3229.68,3155.13,3172.65/174675433/454116594601,17467543300,454116590000.0,3.35,65.29,,3229.68,3155.13,2.3,142789.4,175077.88,0.0,-1.0,-1.0,0.99,0.0,3195.39,,
