股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000035.SZ,中国天楹,7.71,9.985734664764625,涨停,1,0, 09:30:00, 09:43:25,绿色甲醇+机器人+氢能,,,,33,000035
000510.SZ,新金路,21.53,5.340519353258206,涨停,1,0, 11:13:36, 13:30:52,钽铌锡矿复产+有色金属+氯碱龙头,,,,33,000510
000593.SZ,德龙汇能,15.72,-0.2541296060991164,涨停,1,0, 13:26:07, 13:26:07,控制权变更+氢能中心+天然气,,,,33,000593
000628.SZ,高新发展,57.25,-0.6456115861106343,涨停,1,0, 11:00:21, 11:00:21,华鲲振宇并购预期+成都国资+功率半导体,,,,33,000628
000638.SZ,*ST万方,2.31,-4.938271604938276,跌停,0,1, 09:33:00, 09:33:00,, 14:08:24, 14:08:24,“天地板”+退市风险+业绩预亏+资金流出,33,000638
000657.SZ,中钨高新,70.27,6.327393536695859,涨停,1,0, 13:30:52, 13:30:52,钨矿增储+PCB钻针扩产+钨价上涨+央企,,,,33,000657
000697.SZ,ST炼石,9.9,3.761755485893411,涨停,1,0, 10:59:06, 13:28:07,重整完成+航空发动机+四川国资,,,,33,000697
000731.SZ,四川美丰,8.64,9.505703422053243,涨停,1,0, 13:23:52, 13:38:07,化肥+尿素+AI智能体+国企改革,,,,33,000731
000899.SZ,赣能股份,15.19,3.3538672142368258,涨停,3,0, 09:30:30, 09:30:30,火电+新能源+江西国资,,,,33,000899
000960.SZ,锡业股份,46.29,3.155996393146976,涨停,1,0, 13:41:22, 13:45:07,铟资源+锡全产业链+云南国资,,,,33,000960
000972.SZ,*ST中基,3.79,-0.2631578947368365,涨停,1,0, 13:41:37, 13:57:52,重整延期+债务豁免+番茄制品+兵团国资,,,,33,000972
000993.SZ,闽东电力,14.19,-1.5246015246015168,涨停,1,0, 13:10:07, 13:10:07,绿色电力+福建国资,,,,33,000993
001209.SZ,洪兴股份,34.2,5.31980319803197,涨停,3,0, 10:20:52, 10:20:52,家居服龙头+IP经济+跨境电商,,,,33,001209
001216.SZ,华瓷股份,20.62,-0.6292352371732769,涨停,1,0, 14:52:52, 14:52:52,定增注册+越南基地+日用陶瓷+陶瓷新材料,,,,33,001216
001896.SZ,豫能控股,13.55,1.724137931034486,涨停,7,0, 09:31:00, 09:35:45,参股算力+火电+绿电储备+河南国资,,,,33,001896
002015.SZ,协鑫能科,13.83,-1.9774011299434984,涨停,1,0, 11:14:36, 11:14:36,绿色电力+钙钛矿电池+虚拟电厂,,,,33,002015
002046.SZ,国机精工,53.38,1.5027582271257356,涨停,1,0, 13:59:52, 13:59:52,金刚石散热+商业航天+风电轴承+央企,,,,33,002046
002047.SZ,*ST宝鹰,4.8,-3.6290322580645102,涨停,1,0, 09:56:30, 09:56:30,扭亏为盈+光耦合器+珠海国资,,,,33,002047
002155.SZ,湖南黄金,40.5,6.578249336870018,涨停,1,0, 13:56:22, 14:27:54,重组复牌+钨锑涨价+湖南国资,,,,33,002155
002167.SZ,东方锆业,16.04,2.888318356867786,涨停,1,0, 10:16:43, 10:16:43,锆产品+小金属+固态电池,,,,33,002167
002177.SZ,御银股份,9.53,-2.2703818369452926,涨停,1,0, 09:33:15, 10:01:12,智能金融设备+产业园+广州资产+资产出售,,,,33,002177
002182.SZ,宝武镁业,21.88,0.642496558054156,涨停,1,0, 09:42:25, 09:42:25,小金属+人形机器人+商业航天+央企,,,,33,002182
002216.SZ,三全食品,13.03,1.802507836990599,涨停,1,0, 09:36:15, 09:36:15,预制菜+速冻龙头+防御属性,,,,33,002216
002261.SZ,拓维信息,36.4,-0.3559693318729533,涨停,1,0, 09:34:15, 09:34:15,华为昇腾+国产算力+AI鸿蒙,,,,33,002261
002350.SZ,北京科锐,12.33,0.24350649350648831,涨停,2,0, 09:30:15, 09:30:15,配电设备+中标5.88亿+储能,,,,33,002350
002356.SZ,赫美集团,4.27,0.9478672985782,涨停,1,0, 11:13:36, 11:13:36,绿氢绿醇+年报扭亏+共享单车,,,,33,002356
002378.SZ,章源钨业,44.21,8.571428571428562,涨停,3,0, 09:36:45, 09:36:45,钨价上调+钨产业链+业绩预增,,,,33,002378
002394.SZ,联发股份,15.36,-1.9795657726692242,涨停,1,0, 10:23:22, 10:23:22,业绩预增+一带一路+棉纺全产业链,,,,33,002394
002470.SZ,金正大,3.41,8.387096774193541,涨停,4,0, 09:30:45, 14:53:22,化肥涨价+磷矿建设+缓控释肥,,,,33,002470
002485.SZ,ST雪发,5.34,4.911591355599215,涨停,1,0, 09:39:00, 09:39:00,文旅复苏+ST摘帽预期+供应链物流,,,,33,002485
002581.SZ,ST未名,8.31,-0.47619047619048716,涨停,1,0, 14:10:39, 14:37:48,创新药+眼科III期+ST摘帽预期,,,,33,002581
002620.SZ,ST瑞和,6.88,-2.828854314002831,涨停,1,0, 09:32:30, 14:51:07,预重整+光伏+建筑装饰,,,,33,002620
002628.SZ,成都路桥,5.23,-0.7590132827324317,涨停,1,0, 11:14:06, 11:14:06,机器人+基建订单+萤石矿,,,,33,002628
002633.SZ,申科股份,18.57,-4.186046511627919,涨停,1,0, 09:59:50, 09:59:50,燃气轮机+厚壁滑动轴承+股权转让+国企改革,,,,33,002633
002650.SZ,ST加加,6.51,-1.3636363636363615,涨停,1,0, 13:33:52, 14:21:24,减盐酱油+ST板块+回购注销,,,,33,002650
002655.SZ,共达电声,16.95,-0.9929906542056174,涨停,1,0, 11:09:06, 11:09:06,智能音箱+端侧AI+股权转让,,,,33,002655
002734.SZ,利民股份,21.98,-2.846975088967974,涨停,1,0, 13:26:52, 14:56:52,拜耳大单+农兽药+出海,,,,33,002734
002756.SZ,永兴材料,66.89,3.0662557781201767,涨停,1,0, 13:50:07, 14:18:39,碳酸锂涨价+技改达产+双主业,,,,33,002756
002842.SZ,翔鹭钨业,44.42,6.881616939364772,涨停,1,0, 09:32:45, 09:37:00,钨价上涨+光伏钨丝+年报预增,,,,33,002842
002843.SZ,泰嘉股份,26.8,6.054610209734868,涨停,2,0, 09:30:00, 09:30:00,数据中心电源+商业航天+锯切龙头,,,,33,002843
002865.SZ,钧达股份,91.73,-1.3019152141166277,涨停,1,0, 09:34:30, 10:07:42,太空光伏+TOPCon电池+外销,,,,33,002865
002973.SZ,侨银股份,15.6,0.06414368184733667,涨停,1,0, 13:05:52, 13:05:52,环卫管理+人形机器人+AI装备,,,,33,002973
002980.SZ,华盛昌,31.87,10.010355540214023,涨停,1,0, 09:44:31, 09:44:31,电网设备+AI眼镜+仪器仪表,,,,33,002980
003018.SZ,金富科技,27.17,2.2581859239744126,涨停,1,0, 10:41:06, 10:41:06,液冷收购+瓶盖龙头+业绩承诺,,,,33,003018
003035.SZ,南网能源,8.43,2.554744525547434,涨停,1,0, 13:04:22, 13:04:22,扭亏为盈+虚拟电厂+零碳园区+央企,,,,33,003035
300317.SZ,珈伟新能,5.25,-2.052238805970155,涨停,1,0, 13:03:22, 13:03:22,电站收购+光伏照明+国资背景,,,,33,300317
300830.SZ,金现代,14.59,-1.9489247311828017,涨停,1,0, 09:37:00, 09:37:00,低代码平台+AI智能体+业务转型,,,,33,300830
301226.SZ,祥明智能,43.7,4.925872788139651,涨停,1,0, 14:38:03, 14:38:03,人形机器人+商业航天+无框电机,,,,33,301226
600108.SH,亚盛集团,4.37,10.07556675062972,涨停,1,0, 10:11:58, 10:26:52,玉米种子+土地流转+啤酒概念+甘肃国资,,,,17,600108
600126.SH,杭钢股份,9.59,-3.621730382293757,涨停,1,0, 09:48:10, 09:53:10,算力租赁+国资云+钢铁智造,,,,17,600126
