股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
600826.SH,兰生股份,10.32,10.021321961620462,涨停,1,0, 09:30:37, 09:36:49,年报增长+注销回购+会展运营+机器人,,,,17,600826
001339.SZ,智微智能,80.74,9.999999999999984,涨停,1,0, 13:34:27, 13:34:27,一季报增长+算力+人形机器人+AI PC,,,,33,001339
002149.SZ,西部材料,57.9,-9.995336545935023,跌停,0,1,,,, 11:08:36, 14:43:42,商业航天板块下跌+资金流出+此前涨幅较大,33,002149
603789.SH,*ST星农,5.75,4.927007299270064,涨停,1,0, 10:41:46, 10:41:46,摘帽预期+农机+无人驾驶+专用车注入,,,,22,603789
600608.SH,*ST沪科,2.18,-4.803493449781654,跌停,0,1,,,, 09:25:04, 09:25:04,退市风险+立案调查+营收不足+减值计提,22,600608
603365.SH,水星家纺,22.85,10.014443909484843,涨停,1,0, 09:37:56, 09:37:56,业绩增长+高股息+家纺龙头+大单品,,,,17,603365
002731.SZ,ST萃华,5.34,-4.982206405693955,跌停,0,5,,,, 09:25:00, 09:25:00,退市风险警示+审计否定意见+现金流紧张,33,002731
600726.SH,华电能源,5.8,10.05692599620494,涨停,2,0, 09:34:57, 14:31:21,一季报增长+绿电转型+热电联产+煤炭,,,,17,600726
002229.SZ,鸿博股份,16.88,-10.021321961620481,跌停,0,1,,,, 09:34:27, 09:47:21,一季度亏损+营收骤降+算力业务波动,33,002229
002542.SZ,*ST中岩,1.79,-4.787234042553184,跌停,0,1,,,, 10:02:00, 14:55:39,退市风险警示+净资产为负+资金流出+业绩下滑,33,002542
600770.SH,综艺股份,6.97,9.936908517350156,涨停,2,0, 09:25:02, 09:33:41,参股CPU+功率半导体+吉莱微并购+芯片设计,,,,17,600770
603520.SH,司太立,11.64,10.018903591682426,涨停,1,0, 10:33:12, 10:44:30,六氟磷酸锂+碘造影剂+原料药+产能释放,,,,17,603520
002977.SZ,*ST天箭,28.98,-5.014749262536877,跌停,0,1,,,, 09:25:00, 09:25:00,年报亏损+一季度下滑+退市风险警示,33,002977
002713.SZ,*ST东易,12.99,-4.9743964886613,跌停,0,2,,,, 13:22:57, 14:32:36,退市风险+业绩亏损,33,002713
003036.SZ,泰坦股份,33.59,9.98690242305175,涨停,1,0, 09:41:45, 10:37:15,高端纺机+电子布纺织机+固态电池+纺织机器人,,,,33,003036
002406.SZ,远东传动,8.43,10.052219321148819,涨停,1,0, 13:02:33, 13:02:33,参股黄河信产+机器人+传动轴+一季报预增,,,,33,002406
002176.SZ,江特电机,13.62,10.016155088852976,涨停,1,0, 10:36:09, 10:36:09,锂矿+机器人+低空经济,,,,33,002176
002990.SZ,盛视科技,54.11,10.002032933523077,涨停,1,0, 13:39:54, 14:03:00,算力采购+人形机器人+智慧口岸,,,,33,002990
688268.SH,华特气体,176.8,20.002714993551887,涨停,1,0, 09:35:52, 14:01:34,氦气涨价+光刻气+国产替代,,,,17,688268
000909.SZ,*ST数源,5.73,-4.97512437810945,跌停,0,2,,,, 09:25:00, 09:25:00,信披立案+退市警示,33,000909
603559.SH,ST通脉,7.11,5.022156573116702,涨停,1,0, 13:55:50, 14:05:35,ST摘帽预期+通信工程+重整完成,,,,22,603559
600545.SH,卓郎智能,4.74,9.976798143851521,涨停,1,0, 14:41:44, 14:41:44,玻璃纤维纱线+华为合作+AI智慧工厂+纺织机械,,,,17,600545
000609.SZ,*ST中迪,11.87,5.0442477876106055,涨停,4,0, 09:25:00, 09:25:00,半导体资产注入+房地产+ST博弈,,,,33,000609
002394.SZ,联发股份,12.38,-9.963636363636358,跌停,0,1,,,, 09:25:00, 09:25:00,一季度净利降84.64%,33,002394
002789.SZ,*ST建艺,12.61,-4.973624717407688,跌停,0,2,,,, 09:38:42, 09:43:18,退市风险+此前涨幅较大+诉讼新增,33,002789
603456.SH,九洲药业,14.89,-9.975816203143886,跌停,0,1,,,, 09:43:31, 14:29:58,一季报业绩下滑+销售业务减少,17,603456
603097.SH,江苏华辰,29.42,-10.003059039461597,跌停,0,1,,,, 09:25:04, 09:42:52,一季度净利降99%+年报净利降23%,17,603097
603655.SH,朗博科技,47.52,10.0,涨停,1,0, 10:16:01, 10:21:49,汽车热管理+橡胶密封件+年报预增,,,,17,603655
000004.SZ,*ST国华,2.91,-4.901960784313722,跌停,0,5,,,, 09:25:00, 09:25:00,财务退市风险+市值退市风险+连续风险提示,33,000004
002756.SZ,永兴材料,78.21,10.0,涨停,1,0, 14:04:54, 14:04:54,锂电+特钢+技改达产,,,,33,002756
600777.SH,*ST新潮,5.61,-5.076142131979692,跌停,0,1,,,, 14:22:55, 14:22:55,一季报净利下滑+板块回调+资金流出,22,600777
002810.SZ,山东赫达,28.91,10.0076103500761,涨停,1,0, 13:06:00, 13:06:00,锂电池+植物胶囊+纤维素醚+一季度预增,,,,33,002810
001211.SZ,双枪科技,34.55,9.99681630054122,涨停,1,0, 10:34:24, 10:34:24,竹基禾塑托盘+金钢瓷餐具+全竹产业链,,,,33,001211
603991.SH,至正股份,108.18,-9.999999999999996,跌停,0,1,,,, 09:50:43, 14:14:52,业绩落地+资金流出,17,603991
002795.SZ,永和智控,8.86,10.062111801242219,涨停,1,0, 09:59:21, 09:59:21,光伏剥离+肿瘤放疗+阀门管件+亏损收窄,,,,33,002795
002620.SZ,ST瑞和,10.97,4.976076555023937,涨停,1,0, 13:48:51, 13:48:51,重整投资人+光伏建筑一体化+建筑装饰,,,,33,002620
600603.SH,广汇物流,6.08,-9.925925925925926,跌停,0,1,,,, 09:36:38, 09:43:23,业绩下滑+计提减值,17,600603
603680.SH,今创集团,14.03,10.039215686274506,涨停,1,0, 13:03:32, 13:03:32,轨道交通+商业航天+一带一路+年报增长,,,,17,603680
603202.SH,天有为,85.45,-9.995786812723821,跌停,0,1,,,, 09:25:02, 13:24:35,业绩下滑+限售解禁,17,603202
002691.SZ,冀凯股份,6.15,-9.956076134699849,跌停,0,1,,,, 09:25:00, 09:25:00,可能被实施退市风险警示+业绩修正,33,002691
600537.SH,亿晶光电,3.72,10.059171597633144,涨停,1,0, 14:18:08, 14:18:08,预重整推进+TOPCon电池+光伏组件,,,,17,600537
002478.SZ,常宝股份,10.2,-9.973521624007068,跌停,0,1,,,, 09:41:00, 11:23:15,业绩下滑+此前涨幅较大+板块回调,33,002478
600243.SH,*ST海华,3.51,-4.878048780487809,跌停,0,3,,,, 09:25:02, 09:25:02,第六次退市提示+年报披露前回调+此前涨幅较大,22,600243
603236.SH,移远通信,76.53,-9.99647183347054,跌停,0,1,,,, 10:08:08, 14:55:02,一季度净利下滑+板块回调+资金流出,17,603236
688633.SH,星球石墨,33.6,20.000000000000004,涨停,1,0, 10:12:15, 10:12:15,一季报大增+高端装备+一带一路,,,,17,688633
603318.SH,水发燃气,11.39,10.04830917874397,涨停,3,0, 09:25:02, 09:25:02,燃气轮机掺氢+氦气+山东国资,,,,17,603318
603819.SH,神力股份,15.31,9.98563218390805,涨停,1,0, 13:43:36, 13:43:36,柴油发电机+数据中心+安防+扭亏为盈,,,,17,603819
600421.SH,*ST华嵘,4.76,-4.990019960079841,跌停,0,3,,,, 09:25:03, 09:25:03,业绩修正+财务类终止上市风险+营收调减,22,600421
300613.SZ,富瀚微,56.08,20.008559811684147,涨停,1,0, 09:31:51, 11:10:36,一季报暴增+AI算力芯片+车载AI芯片+机器人芯片,,,,33,300613
002999.SZ,天禾股份,7.66,10.057471264367818,涨停,1,0, 09:52:57, 09:53:36,供销社+化肥+农资流通+业绩预增,,,,33,002999
603066.SH,音飞储存,11.12,9.99010880316518,涨停,1,0, 09:30:00, 09:30:00,一季报大增+机器人+智能物流+国企改革,,,,17,603066
301077.SZ,星华新材,38.59,19.993781094527385,涨停,1,0, 13:00:00, 13:00:00,算力+拟收购天宽科技+英伟达概念+反光布龙头,,,,33,301077
002812.SZ,恩捷股份,77.18,10.005701254275955,涨停,1,0, 10:40:21, 13:22:21,业绩暴增+隔膜龙头+固态电池+LG大单,,,,33,002812
002240.SZ,盛新锂能,50.93,10.000000000000005,涨停,1,0, 14:01:45, 14:01:45,锂盐产能释放+木绒锂矿获批+津巴布韦出口,,,,33,002240
600152.SH,维科技术,12.96,10.016977928692713,涨停,1,0, 09:36:07, 09:40:01,钠电储能龙头+锂电产业链+电池项目投资,,,,17,600152
600370.SH,三房巷,2.64,10.000000000000009,涨停,1,0, 10:03:31, 10:03:31,瓶级聚酯切片+PTA龙头+机器人概念,,,,17,600370
000889.SZ,中嘉博创,4.79,10.114942528735643,涨停,1,0, 10:14:48, 10:42:36,算力+诉讼和解+5G消息+通信运维,,,,33,000889
002787.SZ,华源控股,21.38,9.979423868312745,涨停,2,0, 09:34:42, 09:34:42,半导体收购+温控设备+金属包装+一季报增长,,,,33,002787
600527.SH,江南高纤,2.75,10.0,涨停,1,0, 09:47:24, 09:52:18,复合短纤维+涤纶毛条,,,,17,600527
002192.SZ,融捷股份,86.28,9.994900560938301,涨停,1,0, 10:47:12, 13:03:30,锂矿+负极材料+年报增长,,,,33,002192
600338.SH,西藏珠峰,22.57,9.990253411306046,涨停,1,0, 10:41:53, 14:13:47,盐湖提锂+铅锌矿+业绩高增,,,,17,600338
002331.SZ,皖通科技,9.91,9.988901220865708,涨停,1,0, 10:51:33, 11:16:18,华为合作+智慧交通+AI运维,,,,33,002331
605336.SH,*ST帅电,15.74,5.003335557038025,涨停,1,0, 09:40:14, 09:40:37,退市保壳+ST板块+集成灶,,,,22,605336
600499.SH,科达制造,19.81,9.994447529150456,涨停,1,0, 10:37:18, 10:37:18,一季报超预期+非洲建材+盐湖提锂+陶瓷,,,,17,600499
002127.SZ,南极电商,3.08,10.000000000000009,涨停,1,0, 10:09:03, 10:09:03,一季报扭亏+品牌授权+线下自营+互联网电商,,,,33,002127
603060.SH,国检集团,7.29,9.954751131221721,涨停,2,0, 09:43:36, 09:43:36,碳领域+新材料检测+商业航天+央企,,,,17,603060
603876.SH,鼎胜新材,26.95,9.999999999999998,涨停,1,0, 13:25:41, 13:25:41,电池铝箔+钠电池+全球布局+业绩预增,,,,17,603876
002289.SZ,*ST宇顺,30.08,-4.99052432090967,跌停,0,1,,,, 09:54:57, 14:51:21,退市风险+业绩预亏+板块回调+短线回调,33,002289
600696.SH,*ST岩石,1.38,5.3435114503816665,涨停,6,0, 09:30:13, 09:30:13,退市博弈+酱香型白酒+市值低于5亿,,,,22,600696
603389.SH,*ST亚振,53.34,5.000000000000012,涨停,1,0, 10:55:41, 14:30:14,ST板块+锆钛选矿+世博家具,,,,22,603389
603272.SH,联翔股份,22.09,10.00996015936256,涨停,1,0, 09:38:45, 09:38:45,超跌反弹+墙布龙头+控股股东转让股份,,,,17,603272
002891.SZ,中宠股份,38.28,-9.992946155654831,跌停,0,1,,,, 09:57:48, 14:47:42,一季报净利下滑+资金流出,33,002891
600633.SH,浙数文化,15.09,9.985422740524776,涨停,1,0, 10:35:45, 10:49:06,算力+AI应用+数字文化+国企,,,,17,600633
603016.SH,新宏泰,58.04,10.007581501137228,涨停,1,0, 09:35:43, 09:35:43,断路器+特高压+国企改革,,,,17,603016
