股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
605366.SH,宏柏新材,10.79,9.989806320081534,涨停,1,0, 13:01:49, 13:01:49,有机硅+含硫硅烷+泰国项目+迈图合作,,,,17,605366
001278.SZ,一彬科技,25.32,9.991311902693313,涨停,1,0, 09:44:24, 09:44:24,机器人+激光除草机+新能源+汽车零部件,,,,33,001278
002334.SZ,英威腾,8.87,-10.040567951318462,跌停,0,1,,,, 13:33:42, 14:39:06,定增预案披露+资金流出,33,002334
600599.SH,*ST熊猫,5.34,4.911591355599215,涨停,5,0, 09:31:59, 09:33:50,业绩预盈+烟花爆竹+ST板块+退市博弈,,,,22,600599
002831.SZ,裕同科技,38.02,10.011574074074076,涨停,1,0, 14:55:09, 14:55:09,机器人+环保包装+全球布局,,,,33,002831
603789.SH,*ST星农,5.64,5.027932960893847,涨停,1,0, 14:13:22, 14:13:22,摘帽预期+农机+专用车注入,,,,22,603789
000638.SZ,*ST万方,1.56,-4.878048780487796,跌停,0,3,,,, 09:32:03, 09:32:03,退市风险+业绩预亏+异常波动,33,000638
300051.SZ,琏升科技,11.12,19.95685005393743,涨停,1,0, 14:43:39, 14:43:39,HJT电池+钙钛矿电池+定增补流,,,,33,300051
002235.SZ,安妮股份,11.56,9.990485252140825,涨停,1,0, 14:21:39, 14:21:39,控制权变更+数据确权+福建,,,,33,002235
605299.SH,舒华体育,13.9,9.968354430379744,涨停,1,0, 10:01:57, 10:01:57,足球概念+体育产业+QFII新进,,,,17,605299
603175.SH,超颖电子,88.19,10.00374204814768,涨停,1,0, 14:13:47, 14:13:47,PCB+AI算力扩产+存储芯片+特斯拉,,,,17,603175
002693.SZ,*ST双成,8.05,4.954367666232083,涨停,2,0, 13:25:24, 13:25:24,扭亏为盈+多肽出口+海南自贸区,,,,33,002693
