name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3891.86,3923.29,3924.07,60670498300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-31 16:11:15,-31.43,-0.8,3948.81,3891.86,3891.86/606704983/891945339554,60670498300,891945340000.0,1.26,16.96,,3948.81,3891.86,1.45,599580.53,639379.86,0.0,-1.0,-1.0,0.97,0.0,3925.64,,
深证成指,sz399001,13478.06,13726.19,13683.68,66449077100.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-31 16:11:00,-248.13,-1.81,13783.97,13478.06,13478.06/664490771/1100705943239,66449077100,1100705940000.0,2.74,49.01,,13783.97,13478.06,2.23,376269.59,437923.23,0.0,-1.0,-1.0,0.98,0.0,13634.94,,
创业板指,sz399006,3184.95,3273.36,3247.28,17816826500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-31 16:11:15,-88.41,-2.7,3280.48,3184.95,3184.95/178168265/474017219586,17816826500,474017220000.0,3.42,64.78,,3280.48,3184.95,2.92,142615.31,175145.07,0.0,-1.0,-1.0,0.95,0.0,3230.73,,
