股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002491.SZ,通鼎互联,13.82,10.031847133757958,涨停,1,0, 09:32:33, 09:56:12,光纤光缆+数据中心+储能消防,,,,33,002491
002193.SZ,如意集团,5.93,10.018552875695734,涨停,1,0, 09:52:12, 09:52:12,跨境电商+数字化智造+外销回暖+减亏,,,,33,002193
002957.SZ,科瑞技术,33.68,9.993468321358586,涨停,1,0, 13:39:48, 13:39:48,光模块+半导体设备+精密零部件制造+业绩预增,,,,33,002957
000019.SZ,深粮控股,7.84,9.957924263674615,涨停,1,0, 10:36:51, 10:36:51,粮食储备+预制菜+深圳国资,,,,33,000019
600207.SH,安彩高科,5.75,-10.015649452269166,跌停,0,2,,,, 14:27:25, 14:38:13,业绩预亏+此前涨幅较大+资金流出,17,600207
600259.SH,中稀有色,86.96,10.006325110689433,涨停,1,0, 14:00:42, 14:38:21,稀土涨价+扭亏为盈+央企,,,,17,600259
000638.SZ,*ST万方,1.09,-5.217391304347812,跌停,0,6,,,, 09:25:00, 09:25:00,市值退市风险+连续风险提示+业绩预亏,33,000638
600608.SH,*ST沪科,2.71,-4.912280701754391,跌停,0,2,,,, 09:34:22, 09:34:22,退市风险+营收不足+立案调查,22,600608
600110.SH,诺德股份,9.63,10.057142857142868,涨停,1,0, 09:41:33, 14:54:57,固态电池铜箔+HVLP铜箔+高端锂电铜箔,,,,17,600110
000818.SZ,航锦科技,17.36,-10.00518403317781,跌停,0,1,,,, 09:25:00, 09:25:00,证监会立案+信披违规,33,000818
002840.SZ,华统股份,12.94,10.034013605442174,涨停,1,0, 10:25:09, 14:19:27,猪肉+绿色电力,,,,33,002840
600955.SH,维远股份,18.1,10.03039513677813,涨停,1,0, 10:25:15, 10:25:15,环氧丙烷+化工新材料+电解液溶剂,,,,17,600955
300821.SZ,东岳硅材,13.39,19.9820788530466,涨停,1,0, 09:30:00, 09:30:00,一季度预增+有机硅龙头+新能源应用,,,,33,300821
600227.SH,赤天化,3.82,10.086455331412093,涨停,1,0, 10:11:11, 10:32:35,煤化工+甲醇+尿素,,,,17,600227
002310.SZ,东方新能,3.11,9.893992932862183,涨停,1,0, 09:42:24, 09:42:24,风光电站+重大资产重组+北京国资,,,,33,002310
600743.SH,华远控股,1.99,9.944751381215465,涨停,1,0, 13:44:14, 14:24:50,物业+轻资产转型+国企,,,,17,600743
603327.SH,福蓉科技,9.77,10.02252252252251,涨停,1,0, 09:25:02, 09:25:02,苹果折叠屏+铝结构件+国企改革,,,,17,603327
