股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
003031.SZ,中瓷电子,110.0,10.0,涨停,1,0, 14:14:42, 14:14:42,电子陶瓷+光模块+央企, 10:10:33, 10:11:03,,33,003031
000426.SZ,兴业银锡,29.62,9.988860007426666,涨停,1,0, 13:53:57, 13:53:57,白银+锡+中报预增,,,,33,000426
603890.SH,春秋电子,19.99,10.016510731975764,涨停,1,0, 14:07:25, 15:12:00,液冷服务器+人形机器人+AIPC,,,,17,603890
688809.SH,强一股份,429.61,19.999441356386697,涨停,1,0, 13:00:34, 13:00:34,MEMS探针卡+AI算力测试+存储芯片+国产替代,,,,17,688809
301012.SZ,扬电科技,24.46,20.01962708537783,涨停,1,0, 09:36:57, 10:33:57,算力服务合同+非晶变压器+一季报增长,,,,33,301012
000048.SZ,京基智农,20.22,10.01088139281828,涨停,1,0, 13:01:00, 14:49:30,生猪养殖+机器人+股权转让,,,,33,000048
600884.SH,杉杉股份,12.45,9.982332155477023,涨停,1,0, 11:21:36, 11:21:36,安徽国资入主+负极材料+中报预增,,,,17,600884
603118.SH,共进股份,14.93,10.022107590272656,涨停,1,0, 10:25:24, 10:25:24,数据中心交换机+机器人+国企改革+回购,,,,17,603118
301310.SZ,鑫宏业,64.07,20.003746019853892,涨停,1,0, 13:00:12, 13:00:12,高速铜缆连接+人形机器人线缆+可控核聚变,,,,33,301310
002141.SZ,贤丰控股,4.9,-9.926470588235293,跌停,0,2,,,, 09:25:00, 14:53:06,科技股走弱+此前涨幅较大+利好落地,33,002141
002273.SZ,水晶光电,27.56,10.019960079840311,涨停,1,0, 10:58:30, 14:23:24,AI光学+CPO+苹果产业链,,,,33,002273
301583.SZ,托伦斯,132.26,19.99637089457448,涨停,1,0, 10:38:30, 10:38:30,半导体设备+精密零部件+次新股,,,,33,301583
688328.SH,深科达,78.94,20.006080875646084,涨停,1,0, 14:07:32, 15:07:09,半导体设备+存储芯片+中报预增,,,,17,688328
002409.SZ,雅克科技,143.55,10.000000000000009,涨停,1,0, 13:49:00, 13:49:00,半导体前驱体+存储芯片+HBM+客户长鑫, 10:08:12, 10:19:09,,33,002409
603663.SH,三祥新材,42.0,10.00523834468308,涨停,1,0, 11:05:41, 11:05:41,锆铪分离+半导体+固态电池+业绩预增,,,,17,603663
603124.SH,江南新材,114.95,10.000000000000002,涨停,1,0, 11:08:11, 11:08:11,PCB铜基新材料+AI算力+半年报预增,,,,17,603124
603256.SH,宏和科技,158.68,10.00346620450607,涨停,1,0, 11:28:35, 11:28:35,特种电子布+PCB概念+AI算力,,,,17,603256
