name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3988.56,3986.22,3971.2,54578176800.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-13 16:14:16,2.34,0.06,3991.26,3966.2,3988.56/545781768/919436481788,54578176800,919436480000.0,1.14,17.31,,3991.26,3966.2,0.63,615339.67,656273.33,0.0,-1.0,-1.0,1.01,0.0,3979.46,,
深证成指,sz399001,14407.86,14309.47,14233.11,62363657700.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-13 16:14:42,98.39,0.69,14440.26,14233.11,14407.86/623636577/1230931861395,62363657700,1230931860000.0,2.57,53.57,,14440.26,14233.11,1.45,396458.52,460834.63,0.0,-1.0,-1.0,0.98,0.0,14358.3,,
创业板指,sz399006,3476.44,3448.79,3434.32,18001314000.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-13 16:14:57,27.65,0.8,3492.48,3434.32,3476.44/180013140/564917428100,18001314000,564917430000.0,3.44,69.43,,3492.48,3434.32,1.69,153310.99,187709.93,0.0,-1.0,-1.0,0.96,0.0,3469.81,,
