name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4051.43,4055.55,4043.38,54879140600.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-17 16:14:16,-4.12,-0.1,4058.6,4038.43,4051.43/548791406/1013520660231,54879140600,1013520660000.0,1.14,17.58,,4058.6,4038.43,0.5,625262.8,667725.17,0.0,-1.0,-1.0,0.99,0.0,4046.89,,
深证成指,sz399001,14885.42,14796.33,14806.28,69591449900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-17 16:14:06,89.09,0.6,14916.39,14787.87,14885.42/695914499/1412063032872,69591449900,1412063030000.0,2.87,53.33,,14916.39,14787.87,0.87,407858.25,474724.84,0.0,-1.0,-1.0,1.04,0.0,14849.98,,
创业板指,sz399006,3678.29,3626.27,3643.15,21364787900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-17 16:14:21,52.02,1.43,3685.1,3620.33,3678.29/213647879/684281808826,21364787900,684281810000.0,4.08,69.2,,3685.1,3620.33,1.79,160554.13,196279.63,0.0,-1.0,-1.0,1.07,0.0,3659.22,,
