股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
600421.SH,*ST华嵘,6.16,4.940374787052812,涨停,1,0, 10:02:34, 14:31:37,风电模具+业绩预盈+壳博弈,,,,22,600421
600983.SH,惠而浦,11.17,10.049261083743838,涨停,1,0, 09:30:48, 09:30:48,年报增长+高端家电+外销高增,,,,17,600983
002418.SZ,康盛股份,5.69,10.058027079303683,涨停,1,0, 09:36:48, 14:54:51,液冷+算力租赁+家电制冷,,,,33,002418
002328.SZ,新朋股份,10.11,10.01088139281828,涨停,2,0, 09:31:12, 09:34:12,液冷服务器+汽车零部件+特斯拉+回购,,,,33,002328
600345.SH,长江通信,54.36,9.995953055443135,涨停,2,0, 09:30:46, 10:41:10,参股长飞光纤+商业航天+央企,,,,17,600345
600165.SH,ST宁科,3.53,5.0595238095238075,涨停,1,0, 10:08:56, 10:20:20,重整完成+长链二元酸+ST摘帽,,,,22,600165
002363.SZ,隆基机械,8.67,10.025380710659899,涨停,1,0, 14:05:30, 14:05:30,商业航天+制动部件,,,,33,002363
000638.SZ,*ST万方,0.94,-5.050505050505055,跌停,0,9,,,, 09:25:00, 09:25:00,股价低于面值风险+总市值低于5亿元风险,33,000638
600608.SH,*ST沪科,2.32,-4.9180327868852505,跌停,0,5,,,, 09:25:02, 09:25:02,退市风险+立案调查+异常波动,22,600608
605299.SH,舒华体育,19.58,-10.018382352941192,跌停,0,1,,,, 14:02:14, 14:02:14,此前涨幅较大+资金流出,17,605299
600707.SH,彩虹股份,7.02,10.03134796238244,涨停,2,0, 09:30:14, 09:33:05,玻璃基板+ITC胜诉+国企改革,,,,17,600707
000762.SZ,西藏矿业,33.88,10.000000000000005,涨停,1,0, 10:09:03, 14:55:39,锂盐湖+二期爬坡+宝武央企,,,,33,000762
300131.SZ,英唐智控,15.42,20.0,涨停,1,0, 14:03:27, 14:56:54,OCS光路交换机+拟收购光隆集成+存储分销+车载芯片,,,,33,300131
000711.SZ,ST京蓝,3.5,-4.8913043478260905,跌停,0,1,,,, 13:56:45, 14:43:18,监管监控+业绩预亏,33,000711
600156.SH,华升股份,8.15,9.986504723346831,涨停,1,0, 10:37:24, 10:37:24,算力租赁+拟收购易信科技+湖南国资,,,,17,600156
603101.SH,汇嘉时代,8.83,9.96264009962641,涨停,1,0, 14:14:20, 14:14:20,零售+胖东来调改+大消费+新疆,,,,17,603101
002177.SZ,御银股份,8.16,9.97304582210243,涨停,1,0, 13:16:21, 14:51:51,智能金融设备+产业园运营+广州资产,,,,33,002177
002211.SZ,ST宏达,3.73,5.0704225352112715,涨停,1,0, 13:30:24, 13:32:15,有机硅减亏+高温硅橡胶+ST摘帽预期,,,,33,002211
002074.SZ,国轩高科,38.81,10.005668934240365,涨停,1,0, 09:36:36, 13:15:36,固态电池+储能订单+动力电池,,,,33,002074
000890.SZ,法尔胜,14.21,-10.006333122229249,跌停,0,1,,,, 13:26:09, 13:26:09,此前涨幅较大+业绩预亏,33,000890
603200.SH,上海洗霸,61.71,10.0,涨停,1,0, 10:02:46, 10:02:46,固态电池+液冷服务器+业绩预增,,,,17,603200
000720.SZ,新能泰山,5.43,-9.950248756218915,跌停,0,2,,,, 14:13:33, 14:19:30,此前涨幅较大,33,000720
000889.SZ,中嘉博创,4.35,10.126582278480997,涨停,3,0, 09:25:00, 10:32:12,算力销售+5G消息+短信通道,,,,33,000889
002580.SZ,圣阳股份,18.98,10.02898550724638,涨停,2,0, 10:14:30, 13:51:36,储能电池+液冷+山东国资,,,,33,002580
002542.SZ,中化岩土,2.43,-10.0,跌停,0,2,,,, 09:25:00, 09:25:00,业绩修正亏损+退市风险警示风险,33,002542
300561.SZ,*ST汇科,13.57,19.98231653404067,涨停,1,0, 09:25:00, 09:25:00,摘帽申请+金融科技+内控整改,,,,33,300561
605060.SH,联德股份,59.03,10.007454342154315,涨停,1,0, 10:06:37, 10:06:37,燃气轮机+液冷+年报增长,,,,17,605060
002263.SZ,大东南,4.9,10.1123595505618,涨停,1,0, 09:37:54, 13:05:18,特高压电容膜+国企改革,,,,33,002263
002787.SZ,华源控股,13.78,9.976057462090981,涨停,1,0, 09:39:00, 14:54:39,半导体+锂电池结构件+金属包装+年报增长,,,,33,002787
600743.SH,华远控股,2.65,9.958506224066381,涨停,4,0, 09:30:33, 09:35:39,实控人筹划重组+物业管理+北京国资,,,,17,600743
688690.SH,纳微科技,31.54,20.0152207001522,涨停,1,0, 09:35:22, 14:49:40,一季报预增+GLP-1+减肥药+色谱填料,,,,17,688690
601010.SH,文峰股份,2.42,9.999999999999988,涨停,1,0, 10:25:04, 10:28:55,南通零售龙头+数字化升级,,,,17,601010
603950.SH,长源东谷,49.37,10.004456327985729,涨停,3,0, 09:25:03, 09:25:03,重大资产重组+柴油动力单元+发动机零部件,,,,17,603950
000586.SZ,汇源通信,22.61,-9.992038216560516,跌停,0,1,,,, 09:34:06, 09:35:18,澄清无算力业务+此前涨幅较大+板块回调,33,000586
002713.SZ,*ST东易,14.23,5.018450184501843,涨停,1,0, 13:02:48, 13:02:48,算力中心+家装AI+重整完成,,,,33,002713
002962.SZ,五方光电,16.91,10.01951854261549,涨停,2,0, 09:36:51, 09:36:51,玻璃晶圆+微棱镜量产+AR/VR拓展,,,,33,002962
000670.SZ,盈方微,8.15,9.986504723346831,涨停,1,0, 09:31:33, 09:34:03,存储芯片+重大资产重组+半导体分销,,,,33,000670
003036.SZ,泰坦股份,26.48,10.012463647694226,涨停,1,0, 09:56:51, 09:56:51,固态电池+纺织机器人+高端纺机,,,,33,003036
600105.SH,永鼎股份,38.1,9.988452655889148,涨停,1,0, 13:03:47, 13:28:54,光通信+超导带材+可控核聚变+业绩预增,,,,17,600105
603933.SH,睿能科技,24.53,10.000000000000002,涨停,2,0, 09:25:03, 09:37:39,复牌+拟收购博泰智能+精密传动+IC分销,,,,17,603933
603773.SH,沃格光电,43.14,9.994900560938301,涨停,2,0, 10:05:48, 10:20:06,玻璃基板+CPO+商业航天,,,,17,603773
600480.SH,凌云股份,10.79,9.989806320081534,涨停,1,0, 13:41:56, 14:23:23,液冷+机器人传感器+汽车零部件+央企,,,,17,600480
603272.SH,联翔股份,37.02,10.014858841010415,涨停,1,0, 09:44:03, 09:44:03,墙布龙头+智能家居+控股股东转让股份,,,,17,603272
000626.SZ,远大控股,8.61,9.961685823754783,涨停,1,0, 09:25:00, 09:25:00,大宗商品贸易+生物农药+特种油脂,,,,33,000626
605117.SH,德业股份,139.6,9.999212040028365,涨停,1,0, 09:31:22, 09:33:10,一季报预增+储能逆变器+海外需求,,,,17,605117
603813.SH,*ST原尚,26.41,5.009940357852889,涨停,4,0, 09:25:02, 09:37:11,退市博弈+氢能物流+电商物流,,,,22,603813
000534.SZ,万泽股份,45.68,9.992776306284611,涨停,1,0, 09:44:57, 09:44:57,燃气轮机零部件+低空经济+微生态活菌,,,,33,000534
603026.SH,石大胜华,85.16,9.997416688194258,涨停,1,0, 09:40:57, 13:22:45,电解液+宁德时代+国企,,,,17,603026
600876.SH,凯盛新能,9.94,9.955752212389385,涨停,1,0, 09:51:06, 09:51:06,光伏玻璃封装+央企,,,,17,600876
603588.SH,高能环境,16.61,-9.972899728997291,跌停,0,1,,,, 10:45:48, 13:00:09,此前涨幅较大+资金流出,17,603588
300720.SZ,海川智能,52.06,-19.99385277393575,跌停,0,1,,,, 13:01:27, 14:44:48,此前涨幅较大+业绩下滑+股东减持,33,300720
605255.SH,天普股份,105.31,9.995822017965331,涨停,1,0, 13:30:26, 13:42:44,中昊芯英入主+汽车管路+多次风险提示,,,,17,605255
603777.SH,来伊份,16.97,9.980557355800384,涨停,3,0, 09:32:00, 09:48:39,拟协议转让10%股份+健康零食+IP经济,,,,17,603777
000659.SZ,珠海中富,4.3,9.97442455242966,涨停,1,0, 11:04:57, 11:04:57,饮料代工+PET瓶+控制权变更,,,,33,000659
600381.SH,*ST春天,2.76,4.942965779467677,涨停,1,0, 14:26:28, 14:31:52,退市博弈+高端白酒+中药大健康,,,,22,600381
600238.SH,*ST椰岛,3.92,5.093833780160856,涨停,1,0, 10:22:18, 10:22:18,保壳博弈+保健酒+海南国资, 09:25:03, 09:25:03,,22,600238
000004.SZ,*ST国华,3.18,-5.07462686567164,跌停,0,2,,,, 09:38:27, 14:23:33,财务退市风险+市值退市风险,33,000004
603580.SH,*ST艾艾,17.61,5.008944543828264,涨停,1,0, 11:26:05, 14:27:56,退市博弈+轻型输送带+新能源电池配件,,,,22,603580
001211.SZ,双枪科技,30.68,10.00358551452133,涨停,1,0, 11:01:15, 13:54:45,竹产业链+金钢瓷新品+PPS材料+外贸增长,,,,33,001211
603088.SH,宁波精达,13.44,9.983633387888696,涨停,1,0, 09:47:23, 10:42:44,液冷+机器人+换热器+国企,,,,17,603088
002733.SZ,雄韬股份,30.25,10.0,涨停,1,0, 14:00:15, 14:00:15,算力UPS+氢能+固态电池,,,,33,002733
002988.SZ,豪美新材,35.38,10.012437810945292,涨停,1,0, 10:35:12, 10:35:12,铝基新材料+汽车轻量化+人形机器人+商业航天,,,,33,002988
002047.SZ,*ST宝鹰,5.0,5.042016806722693,涨停,1,0, 09:36:45, 09:36:45,年报扭亏+申请摘帽+珠海国资+光耦合器,,,,33,002047
000793.SZ,*ST华闻,2.96,4.9645390070922035,涨停,2,0, 09:25:00, 09:25:00,海南国资入主+重整计划+文旅传媒,,,,33,000793
001299.SZ,美能能源,15.32,9.978463747307973,涨停,1,0, 10:49:06, 10:49:06,燃气+综合能源转型+年报增长+西部大开发,,,,33,001299
603093.SH,南华期货,19.31,10.028490028490017,涨停,1,0, 09:46:30, 09:46:30,期货经纪+境外清算+年报增长,,,,17,603093
002824.SZ,和胜股份,25.27,10.013060513713542,涨停,2,0, 09:30:09, 14:51:24,消费电子+AI终端+电池结构件,,,,33,002824
600193.SH,*ST创兴,3.52,5.07462686567164,涨停,1,0, 14:11:44, 14:54:53,退市博弈+建筑装饰+算力概念, 09:25:02, 09:25:02,,22,600193
605069.SH,正和生态,12.36,9.964412811387893,涨停,1,0, 13:20:15, 13:20:15,智谱AI+生态修复+水利基建,,,,17,605069
603889.SH,新澳股份,8.75,10.062893081761004,涨停,1,0, 09:31:36, 10:11:09,年报增长+高派息+毛纺龙头,,,,17,603889
603021.SH,ST华鹏,7.63,4.951856946354887,涨停,1,0, 09:39:07, 09:40:43,ST博弈+日用玻璃+轻量化技术,,,,22,603021
600103.SH,青山纸业,3.91,10.140845070422543,涨停,1,0, 09:25:00, 09:25:00,光模块+林浆纸+福建国资,,,,17,600103
002364.SZ,中恒电气,35.12,9.990604447228305,涨停,2,0, 09:25:00, 09:25:00,宁德时代入股+HVDC+数据中心电源,,,,33,002364
