name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4093.25,4106.26,4110.79,67116609200.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-23 16:14:16,-13.01,-0.32,4114.84,4070.46,4093.25/671166092/1234396207619,67116609200,1234396210000.0,1.4,17.76,,4114.84,4070.46,1.08,632039.74,675833.21,0.0,-1.0,-1.0,1.18,0.0,4095.8,,
深证成指,sz399001,15043.45,15177.29,15234.22,76102281800.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-23 16:14:36,-133.84,-0.88,15248.43,14934.68,15043.45/761022818/1570096212349,76102281800,1570096210000.0,3.14,53.81,,15248.43,14934.68,2.07,410602.17,477217.23,0.0,-1.0,-1.0,1.09,0.0,15101.59,,
创业板指,sz399006,3720.25,3752.76,3769.02,23455411400.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-04-23 16:14:51,-32.51,-0.87,3785.23,3681.57,3720.25/234554114/741796706043,23455411400,741796710000.0,4.47,69.76,,3785.23,3681.57,2.76,161203.32,196897.63,0.0,-1.0,-1.0,1.12,0.0,3737.45,,
