name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,104.08,95.53,95.21,12539200.0,104.08,2400,104.09,200,8.95,112.0,95.21,12539200,1306390000.0,55.74,17.58,23.41,116.23,114.64,76.42,1.04
锡华科技,sh603248,27.37,28.8,26.99,21278700.0,27.36,7300,27.37,19000,-4.97,28.78,26.96,21278700,586810000.0,30.7,6.32,18.97,125.9,31.68,25.92,0.58
天溯计量,sz301449,78.82,81.6,78.01,3064200.0,78.82,400,78.86,300,-3.41,85.55,77.65,3064200,248970000.0,22.02,9.68,10.97,51.4,97.92,65.28,0.63
美埃科技,sh688376,59.26,64.73,60.73,386964700.0,59.26,12200,59.3,1000,-8.45,64.69,58.5,386964700,234530000.0,2.86,9.56,80.15,80.15,77.68,51.78,1.15
同飞股份,sz300990,78.31,84.0,81.23,4213500.0,78.3,2100,78.31,200,-6.77,82.49,77.69,4213500,338120000.0,5.46,5.71,60.4,133.58,100.8,67.2,0.95
中光防雷,sz300414,12.77,13.51,13.2,10086100.0,12.76,2300,12.77,1300,-5.48,13.5,12.69,10086100,132100000.0,3.22,6.0,40.04,41.63,16.21,10.81,1.29
苏州天脉,sz301626,222.2,247.0,237.0,5204500.0,222.2,9500,222.22,200,-10.04,238.99,217.53,5204500,1170730000.0,9.89,8.69,116.92,257.04,296.4,197.6,1.57
ST名家汇,sz300506,4.65,4.99,4.9,10350000.0,4.65,126500,4.66,2300,-6.81,4.9,4.65,10350000,49240000.0,1.41,5.01,34.16,66.29,5.99,3.99,1.3
森赫股份,sz301056,13.25,14.33,14.15,4512900.0,13.24,3700,13.3,5800,-7.54,14.15,13.04,4512900,61180000.0,2.56,7.75,23.32,35.35,17.2,11.46,1.58
宏达电子,sz300726,41.9,44.52,43.7,6638400.0,41.87,300,41.9,3500,-5.88,44.0,41.55,6638400,283690000.0,3.1,5.5,89.85,172.56,53.42,35.62,1.24
