所属概念数量,market_code,code,所属概念,股票代码
47,33,300339,华为欧拉;MLOps概念;ERP概念;华为昇腾;华为鲲鹏;ChatGPT概念;数字货币;多模态AI;信创;智慧政务;财税数字化;鸿蒙概念;互联网金融;AI智能体;AI应用;国产操作系统;网络安全;虚拟数字人;在线教育;区块链;跨境支付(CIPS);元宇宙;阿里巴巴概念;星闪概念;DeepSeek概念;人工智能;智慧城市;智能医疗;物联网;华为海思概念股;华为概念;人形机器人;虚拟现实;智能座舱;东数西算(算力);创投;智能家居;无人驾驶;机器人概念;小米概念;华为汽车;芯片概念;华为数字能源;电力物联网;智能电网;深股通;融资融券,300339.SZ
9,151,920005,智能穿戴;AI眼镜;海峡两岸;专精特新;消费电子概念;汽车热管理;新股与次新股;融资融券;新能源汽车,920005.BJ
3,33,300483,俄乌冲突概念;天然气;股权转让(并购重组),300483.SZ
14,33,300897,专精特新;传感器;净水概念;物联网;水利;地下管网;污水处理;工业互联网;智慧城市;华为概念;DeepSeek概念;数据要素;股权转让(并购重组);融资融券,300897.SZ
10,33,300420,物联网;充电桩;新型工业化;智慧城市;机器人概念;储能;智能物流;军民融合;区块链;股权转让(并购重组),300420.SZ
36,33,300212,国资云;财税数字化;华为数字能源;数据确权;华为鲲鹏;数据安全;智慧政务;网络安全;AI智能体;数据要素;信创;阿里巴巴概念;数字孪生;智慧城市;百度概念;东数西算(算力);独角兽概念;DeepSeek概念;物联网;智能医疗;人工智能;数字经济;养老概念;华为概念;车联网(车路协同);创投;数据中心(AIDC);京津冀一体化;雄安新区;PPP概念;乡村振兴;国企改革;ST板块;央企国企改革;无人驾驶;一带一路,300212.SZ
9,17,688352,先进封装;MCU芯片;第三代半导体;OLED;芯片概念;回购增持再贷款概念;国企改革;沪股通;融资融券,688352.SH
8,151,920237,智能穿戴;融资融券;安防;锂电池概念;固态电池;专精特新;人民币贬值受益;AI PC,920237.BJ
7,17,688692,信创;AI语料;数据要素;华为概念;智能电网;沪股通;融资融券,688692.SH
6,151,920273,海峡两岸;乡村振兴;预制菜;专精特新;宠物经济;融资融券,920273.BJ
8,22,688496,电子纸;ST板块;智能家居;华为概念;专精特新;小米概念;AI眼镜;OLED,688496.SH
5,17,600503,石墨烯;机器人概念;参股银行;创新药;融资融券,600503.SH
20,33,300826,地下管网;房屋检测;碳中和;数字经济;新型城镇化;水利;元宇宙;土壤修复;空间计算;智慧城市;机器人概念;数字孪生;数据要素;鸿蒙概念;时空大数据;高铁;军工;华为概念;卫星导航;东数西算(算力),300826.SZ
20,17,600981,物业管理;乡村振兴;跨境电商;三胎概念;统一大市场;垃圾分类;冷链物流;参股保险;中俄贸易概念;预制菜;参股券商;国企改革;创投;医疗器械概念;一带一路;蚂蚁集团概念;绿色电力;海工装备;期货概念;沪股通,600981.SH
15,33,000055,装配式建筑;房屋检测;物业管理;乡村振兴;建筑节能;光伏建筑一体化;一带一路;粤港澳大湾区;数字经济;绿色电力;DeepSeek概念;AI应用;高铁;光伏概念;融资融券,000055.SZ
5,17,600798,航运概念;中俄贸易概念;国企改革;一带一路;融资融券,600798.SH
4,17,600403,煤炭概念;国企改革;沪股通;融资融券,600403.SH
36,33,002279,ChatGPT概念;AIGC概念;数字乡村;小红书概念;财税数字化;AI智能体;智慧政务;AI应用;数据要素;数据安全;快手概念;区块链;华为鲲鹏;抖音概念(字节概念);百度概念;鸿蒙概念;阿里巴巴概念;网络安全;腾讯概念;职业教育;信创;数字经济;DeepSeek概念;文化传媒概念;人工智能;智能医疗;京津冀一体化;华为概念;网红经济;跨境电商;低空经济;化债概念(AMC概念);雄安新区;数据中心(AIDC);乡村振兴;深股通,002279.SZ
11,17,600121,煤炭概念;国企改革;DeepSeek概念;数据要素;工业互联网;东数西算(算力);信创;机器人概念;安防;沪股通;融资融券,600121.SH
8,33,002356,天然气;共享单车;氢能源;数字经济;风电;绿色电力;充电桩;深股通,002356.SZ
6,33,000626,粮食概念;生态农业;乡村振兴;统一大市场;跨境电商;2026一季报预增,000626.SZ
14,33,002081,新型城镇化;第三代半导体;光伏建筑一体化;装配式建筑;长三角一体化;数据中心(AIDC);芯片概念;PPP概念;一带一路;人工智能;数字孪生;智能家居;深股通;融资融券,002081.SZ
13,33,002062,人形机器人;新型城镇化;水利;地下管网;雅下水电概念;光伏概念;储能;回购增持再贷款概念;PPP概念;绿色电力;锂电池概念;深股通;融资融券,002062.SZ
18,33,301270,AI视频;鸿蒙概念;AIGC概念;知识产权保护;AI应用;云计算;数据要素;腾讯概念;抖音概念(字节概念);阿里巴巴概念;数字水印;DeepSeek概念;人工智能;华为概念;IP经济(谷子经济);小米概念;华为汽车;融资融券,301270.SZ
40,17,600797,云计算;数据安全;算力租赁;华为鲲鹏;智慧政务;ChatGPT概念;国产操作系统;网络安全;信创;鸿蒙概念;AI智能体;数据要素;区块链;阿里巴巴概念;虚拟数字人;AI应用;腾讯概念;蚂蚁集团概念;抖音概念(字节概念);在线教育;互联网金融;智慧城市;数字经济;东数西算(算力);时空大数据;DeepSeek概念;语音技术;人工智能;智能医疗;物联网;华为概念;数据中心(AIDC);低空经济;创投;智能电网;共同富裕示范区;虚拟电厂;芯片概念;融资融券;沪股通,600797.SH
11,17,600841,数据中心(AIDC);无人驾驶;农机;工业互联网;换电概念;新能源汽车;汽车芯片;氢能源;上海国企改革;国企改革;沪股通,600841.SH
14,17,600156,算力租赁;东数西算(算力);数据中心(AIDC);液冷服务器;跨境电商;柔性屏(折叠屏);人民币贬值受益;旅游概念;消费电子概念;5G;医疗器械概念;国企改革;养老概念;股权转让(并购重组),600156.SH
9,17,601918,煤炭概念;煤化工概念;超超临界发电;国企改革;央企国企改革;风电;回购增持再贷款概念;沪股通;融资融券,601918.SH
6,33,002637,消毒剂;污水处理;回购增持再贷款概念;一带一路;食品安全;深股通,002637.SZ
3,33,002700,天然气;新疆振兴;西部大开发,002700.SZ
7,17,600463,物业管理;垃圾分类;雄安新区;创投;京津冀一体化;国企改革;军民融合,600463.SH
8,33,002068,PVDF概念;锂电池概念;固态电池;碳中和;回购增持再贷款概念;国企改革;深股通;融资融券,002068.SZ
19,17,600596,草甘膦;有机硅概念;硅能源;锂电池概念;2026一季报预增;大豆;光伏概念;玉米;乡村振兴;农业种植;转基因;共同富裕示范区;光纤概念;液冷服务器;华为概念;人形机器人;东数西算(算力);沪股通;融资融券,600596.SH
11,33,000767,超超临界发电;绿色电力;风电;碳交易;储能;碳中和;国企改革;2025年报预增;深股通;融资融券;股权转让(并购重组),000767.SZ
27,33,002527,减速器;人形机器人;长安汽车概念;新型工业化;工业母机;机器人概念;机器视觉;数字孪生;区块链;阿里巴巴概念;工业互联网;智能物流;大飞机;比亚迪概念;新能源汽车;空气能热泵;燃料电池;数据中心(AIDC);海工装备;液冷服务器;芯片概念;深股通;高端装备;物联网;锂电池概念;股权转让(并购重组);融资融券,002527.SZ
11,17,600011,超超临界发电;绿色电力;风电;证金持股;央企国企改革;碳中和;国企改革;核电;沪股通;融资融券;雄安新区,600011.SH
1,17,600769,国企改革,600769.SH
6,17,601101,煤炭概念;煤化工概念;高股息精选;国企改革;融资融券;沪股通,601101.SH
6,17,603808,网红经济;C2M概念;NFT概念;粤港澳大湾区;人工智能;虚拟数字人,603808.SH
4,17,603819,安防;新能源汽车;风电;股权转让(并购重组),603819.SH
6,33,000510,金属铜;小金属概念;芯片概念;石墨烯;化债概念(AMC概念);西部大开发,000510.SZ
48,33,002579,MicroLED概念;MiniLED;PCB概念;共封装光学(CPO);先进封装;AI手机;AI PC;毫米波雷达;AI眼镜;汽车电子;柔性屏(折叠屏);无线耳机;OLED;消费电子概念;5G;6G概念;智能穿戴;智能音箱;新型烟草(电子烟);WiFi 6;存储芯片;芯片概念;小米概念;数据中心(AIDC);比亚迪概念;新能源汽车;海峡两岸;人形机器人;储能;商业航天;无人驾驶;卫星导航;广东自贸区;无人机;粤港澳大湾区;物联网;军工;机器人概念;工业互联网;低空经济;创投;医疗器械概念;军民融合;融资融券;数字经济;养老概念;东数西算(算力);深股通,002579.SZ
28,17,600588,财税数字化;ERP概念;华为鲲鹏;ChatGPT概念;智慧政务;鸿蒙概念;云计算;AI智能体;AI应用;信创;AIGC概念;网络安全;区块链;阿里巴巴概念;互联网金融;DeepSeek概念;数字经济;人工智能;智能医疗;中国AI 50;华为概念;工业互联网;机器人概念;参股保险;参股银行;同花顺漂亮100;沪股通;融资融券,600588.SH
11,17,600539,股权转让(并购重组);小红书概念;锂电池概念;机器视觉;AI应用;海峡两岸;污水处理;净水概念;光伏概念;跨境电商;宠物经济,600539.SH
3,33,002830,粤港澳大湾区;物业管理;华为概念,002830.SZ
15,33,000539,超超临界发电;绿色电力;风电;国资云;东数西算(算力);储能;光伏概念;参股保险;期货概念;国企改革;粤港澳大湾区;海工装备;深股通;融资融券;创投,000539.SZ
5,17,601001,煤炭概念;高股息精选;沪股通;融资融券;国企改革,601001.SH
