股票代码,code,market_code,所属概念,所属概念数量
301024.SZ,301024,33,建筑节能;装配式建筑;新型城镇化;职业教育;光伏建筑一体化;光伏概念;上海自贸区;蚂蚁集团概念;区块链;储能;风电;数据中心;融资融券,13
002370.SZ,002370,33,创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;猴痘概念;股权转让(并购重组);2025年报预增;融资融券,8
300401.SZ,300401,33,维生素;合成生物;仿制药一致性评价;专精特新;融资融券;深股通,6
688638.SH,688638,17,宁德时代概念;芯片概念;机器人概念;锂电池概念;固态电池;光伏概念;融资融券,7
688608.SH,688608,17,星闪概念;智能音箱;语音技术;智能穿戴;小米概念;无线耳机;AI眼镜;阿里巴巴概念;人工智能;华为概念;芯片概念;消费电子概念;中国AI 50;人民币贬值受益;融资融券;沪股通,16
600651.SH,600651,17,上海国企改革;特斯拉概念;小米概念;汽车电子;医疗器械概念;芯片概念;网络安全;小米汽车;比亚迪概念;新能源汽车;工业互联网;水利;国企改革;核电;融资融券;沪股通,16
600409.SH,600409,17,消毒剂;有机硅概念;钠离子电池;国企改革;绿色电力;光伏概念;京津冀一体化;沪股通;融资融券;华为概念,10
300750.SZ,300750,33,钠离子电池;动力电池回收;固态电池;同花顺漂亮100;锂电池概念;宁德时代概念;储能;同花顺出海50;换电概念;长安汽车概念;小米汽车;特斯拉概念;新能源汽车;华为汽车;同花顺新质50;融资融券;深股通,17
002927.SZ,002927,33,智能电网;核电;军工;商业航天;高压快充;数据中心;高铁;充电桩;工业互联网;虚拟电厂;专精特新;5G;储能;光伏概念;腾讯概念;比亚迪概念;数字经济;PCB概念;西部大开发,19
600212.SH,600212,17,换电概念;高压快充;储能;充电桩;宁德时代概念;人工智能;新能源汽车;机器人概念;回购增持再贷款概念;无人机;一带一路;专精特新;新疆振兴;沪股通;融资融券,15
301309.SZ,301309,33,共同富裕示范区;3D打印;专精特新;智能家居;人民币贬值受益;融资融券,6
002039.SZ,002039,33,绿色电力;2026一季报预增;央企国企改革;国企改革;西部大开发;乡村振兴;2025年报预增;深股通;融资融券,9
603983.SH,603983,17,重组蛋白;合成生物;DeepSeek概念;沪股通,4
688209.SH,688209,17,汽车芯片;无线耳机;小米概念;芯片概念;消费电子概念;脑机接口;专精特新;沪股通;融资融券,9
601519.SH,601519,17,互联网金融;AI应用;鸿蒙概念;数据中心;股权转让(并购重组);沪股通;融资融券,7
002191.SZ,002191,33,IP经济(谷子经济);烟草;粤港澳大湾区;区块链;物联网;蚂蚁集团概念;PET铜箔;新型烟草(电子烟);芯片概念;深股通;融资融券,11
688521.SH,688521,17,国家大基金持股;汽车芯片;先进封装;MCU芯片;AI手机;智能音箱;芯片概念;AI眼镜;虚拟现实;阿里巴巴概念;腾讯概念;数字货币;东数西算(算力);上海自贸区;物联网;无人驾驶;人工智能;沪股通;融资融券,19
002677.SZ,002677,33,净水概念;智能家居;长三角一体化;家用电器;人工智能;无人驾驶;深股通,7
603086.SH,603086,17,大豆;生态农业;人民币贬值受益;创新药,4
000951.SZ,000951,33,绿色电力;燃料电池;无人驾驶;新能源汽车;氢能源;减速器;深股通;高股息精选;国企改革;冷链物流;融资融券,11
301331.SZ,301331,33,流感;医药电商;创新药;西部大开发;回购增持再贷款概念;2025年报预增;融资融券,7
603612.SH,603612,17,石墨电极;宁德时代概念;固态电池;锂电池概念;2025年报预增;飞行汽车(eVTOL);燃料电池;储能;新能源汽车;氢能源;一带一路;无人机;无人驾驶;DeepSeek概念;沪股通;融资融券,16
603218.SH,603218,17,核污染防治;风电;核电;海工装备;军工;融资融券;沪股通,7
920121.BJ,920121,151,新股与次新股;融资融券,2
600829.SH,600829,17,医药电商;流感;民营医院;眼科医疗;宠物经济;冷链物流;医疗器械概念;黑龙江自贸区;沪股通,9
300168.SZ,300168,33,DRG/DIP;MLOps概念;虚拟数字人;在线教育;智慧政务;互联网保险;AI应用;家庭医生;数字乡村;数据要素;信创;华为盘古;财税数字化;华为鲲鹏;数字经济;养老概念;鸿蒙概念;AI智能体;人工智能;区块链;电子身份证;时空大数据;网络安全;DeepSeek概念;安防;智慧城市;移动支付;机器人概念;智能医疗;华为概念;算力租赁;乡村振兴;数据中心;深股通;融资融券,35
603070.SH,603070,17,智能电网;数字经济;储能;共同富裕示范区;数据中心;沪股通;融资融券,7
688248.SH,688248,17,虚拟电厂;智能电网;柔性直流输电;风电;储能;DeepSeek概念;华为概念;人工智能;无人机;低空经济;氢能源;央企国企改革;机器人概念;人形机器人;国企改革;沪股通;融资融券,17
002759.SZ,002759,33,氟化工概念;钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券,10
002253.SZ,002253,33,人脸识别;华为昇腾;语音技术;华为鲲鹏;信创;安防;网络安全;智慧政务;云计算;车联网(车路协同);元宇宙;智慧城市;数据要素;数字孪生;ST板块;华为概念;虚拟现实;人工智能;职业教育;军工信息化;卫星导航;低空经济;西部大开发;军工;军民融合;成飞概念;虚拟电厂,27
300942.SZ,300942,33,食品安全;宠物经济;医疗器械概念;流感;粤港澳大湾区;专精特新;融资融券,7
600183.SH,600183,17,PCB概念;共封装光学(CPO);先进封装;存储芯片;MiniLED;毫米波雷达;汽车电子;5G;芯片概念;新能源汽车;2025年报预增;商业航天;华为概念;沪股通;融资融券,15
300377.SZ,300377,33,Web3.0;数字货币;互联网金融;区块链;华为鲲鹏;信创;AI应用;华为昇腾;腾讯概念;AI智能体;阿里巴巴概念;DeepSeek概念;人工智能;华为概念;粤港澳大湾区;机器人概念;深股通;股权转让(并购重组);融资融券,19
301228.SZ,301228,33,食品安全;土壤修复;融资融券,3
300917.SZ,300917,33,物业管理;房屋检测;深圳国企改革;粤港澳大湾区;国企改革;华为概念;智慧政务;阿里巴巴概念;数据中心;深股通;融资融券,11
000597.SZ,000597,33,仿制药一致性评价;维生素;医药电商;流感;创新药;辅助生殖;细胞免疫治疗;回购增持再贷款概念;深股通,9
600189.SH,600189,17,三胎概念;乡村振兴;土地流转;碳中和;国企改革;碳交易;白酒概念;2025年报预增;沪股通,9
603307.SH,603307,17,露营经济;体育产业;人民币贬值受益,3
301439.SZ,301439,33,充电桩;高压快充;储能;一带一路;智能家居;中俄贸易概念;新能源汽车;海峡两岸;家用电器;比亚迪概念;消费电子概念;小米概念;铜缆高速连接;小米汽车;富士康概念;深股通;融资融券,17
301020.SZ,301020,33,长安汽车概念;专精特新;华为汽车;新能源汽车;比亚迪概念;燃料电池;国企改革;氢能源;融资融券,9
603341.SH,603341,17,星闪概念;空间计算;智能座舱;智能音箱;虚拟现实;机器人概念;车联网(车路协同);智能穿戴;汽车电子;小米概念;无线耳机;小米汽车;物联网;AI眼镜;无线充电;华为概念;消费电子概念;5G;数字经济;AI PC;创投;PCB概念;一带一路;回购增持再贷款概念;沪股通;融资融券,26
920119.BJ,920119,151,比亚迪概念;智能物流;高端装备;固态电池;新股与次新股;融资融券,6
301292.SZ,301292,33,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,8
002038.SZ,002038,33,仿制药一致性评价;创新药;减肥药;医药电商;幽门螺杆菌概念;流感;肝炎概念;生物疫苗;辅助生殖;猴痘概念;民营医院;医美概念;NMN概念;基因测序;工业大麻;国企改革;创投;京津冀一体化;深股通;融资融券,20
600497.SH,600497,17,金属锌;金属铅;小金属概念;黄金概念;金属回收;军工;光纤概念;央企国企改革;西部大开发;国企改革;沪股通;融资融券,12
603298.SH,603298,17,同花顺出海50;人形机器人;机器人概念;新能源汽车;智能物流;5G;宁德时代概念;沪股通;融资融券,9
688716.SH,688716,17,PEEK材料;人形机器人;专精特新;机器人概念;新能源汽车;3D打印;商业航天;碳纤维;大飞机;医疗器械概念;融资融券,11
603194.SH,603194,17,智能物流;共同富裕示范区;人民币贬值受益;机器人概念;新能源汽车;汽车拆解概念;军工;储能;锂电池概念;沪股通;融资融券,11
688795.SH,688795,17,科创次新股;芯片概念;人工智能;注册制次新股;新股与次新股;融资融券,6
603599.SH,603599,17,草甘膦;染料;沪股通;融资融券,4
600975.SH,600975,17,猪肉;乡村振兴;冷链物流;国企改革;沪股通;华为概念;融资融券,7
603096.SH,603096,17,IP经济(谷子经济);文化传媒概念;知识产权保护;华为概念;高股息精选,5
300390.SZ,300390,33,固态电池;小金属概念;锂电池概念;2026一季报预增;宁德时代概念;储能;中芯国际概念;存储芯片;新能源汽车;芯片概念;华为概念;医疗器械概念;融资融券;深股通,14
300460.SZ,300460,33,海工装备;无人机;安防;元宇宙;机器人概念;专精特新;星闪概念;华为概念;汽车电子;小米概念;商业航天;抖音概念(字节概念);比亚迪概念;AI眼镜;DeepSeek概念;数据中心;卫星导航;芯片概念;华为海思概念股;苹果概念;共封装光学(CPO);ST板块,22
603801.SH,603801,17,高股息精选;智能家居;工业互联网;阿里巴巴概念;沪股通,5
603229.SH,603229,17,CRO概念;创新药;肝炎概念;人民币贬值受益;融资融券;沪股通,6
002993.SZ,002993,33,AI PC;数据中心;汽车电子;消费电子概念;华为概念;小米概念;第三代半导体;苹果概念;充电桩;AI眼镜;专精特新;无线充电;新能源汽车;储能;光伏概念;机器人概念;广东自贸区;一带一路;露营经济;跨境电商;网红经济;深股通,22
000958.SZ,000958,33,绿色电力;风电;央企国企改革;期货概念;信托概念;国企改革;京津冀一体化;雄安新区;乡村振兴;核电;深股通;融资融券,12
002709.SZ,002709,33,钠离子电池;氟化工概念;固态电池;动力电池回收;锂电池概念;宁德时代概念;有机硅概念;同花顺漂亮100;PEEK材料;比亚迪概念;特斯拉概念;回购增持再贷款概念;2025年报预增;深股通;融资融券,15
002142.SZ,002142,33,证金持股;深股通;融资融券;共同富裕示范区,4
600887.SH,600887,17,超级品牌;高股息精选;乳业;证金持股;同花顺漂亮100;生态农业;三胎概念;宠物经济;西部大开发;沪股通;融资融券;华为概念,12
688114.SH,688114,17,脑机接口;AI智能体;智能医疗;基因测序;机器人概念;医疗器械概念;合成生物;沪股通;融资融券,9
002780.SZ,002780,33,露营经济;冰雪产业;体育产业;三胎概念;旅游概念,5
301636.SZ,301636,33,钙钛矿电池;光伏概念;注册制次新股;新能源汽车;专精特新;新股与次新股;融资融券,7
600027.SH,600027,17,超超临界发电;绿色电力;煤炭概念;虚拟电厂;风电;证金持股;央企国企改革;氢能源;国企改革;储能;沪股通;融资融券;股权转让(并购重组),13
600610.SH,600610,17,西部大开发;国企改革;沪股通;中字头股票;融资融券,5
300560.SZ,300560,33,电子身份证;网络安全;智慧政务;元宇宙;机器视觉;抖音概念(字节概念);云计算;车联网(车路协同);5G;安防;东数西算(算力);英伟达概念;物联网;AI智能体;AI应用;华为概念;智慧城市;数字乡村;数字经济;智能穿戴;人工智能;算力租赁;AI眼镜;机器人概念;军工;海峡两岸;福建自贸区;水利;垃圾分类;一带一路;乡村振兴,31
605507.SH,605507,17,合成生物;流感;宠物经济;幽门螺杆菌概念;沪股通,5
300483.SZ,300483,33,俄乌冲突概念;天然气;股权转让(并购重组),3
002395.SZ,002395,33,足球概念;丙烯酸;体育产业;煤化工概念;MR(混合现实);消费电子概念;光伏概念;融资融券,8
920230.BJ,920230,151,西部大开发;融资融券;维生素;专精特新;合成生物,5
601117.SH,601117,17,煤化工概念;环氧丙烷;中字头股票;磷化工;同花顺中特估100;新疆振兴;氢能源;央企国企改革;国企改革;污水处理;回购增持再贷款概念;一带一路;储能;可控核聚变;沪股通;融资融券;芯片概念,17
603196.SH,603196,17,锂电池概念;虚拟数字人;三胎概念;股权转让(并购重组),4
300897.SZ,300897,33,净水概念;传感器;专精特新;污水处理;地下管网;物联网;水利;工业互联网;智慧城市;华为概念;DeepSeek概念;数据要素;股权转让(并购重组);融资融券,14
002932.SZ,002932,33,猴痘概念;流感;辅助生殖;肝炎概念;基因测序;医疗器械概念;食品安全;智能医疗;ST板块;创投;专精特新;DeepSeek概念;股权转让(并购重组),13
688665.SH,688665,17,传感器;汽车电子;小米概念;新能源汽车;专精特新;PM2.5;储能;锂电池概念;固态电池;沪股通;融资融券,11
002735.SZ,002735,33,军工信息化;军工;低空经济;可控核聚变;飞行汽车(eVTOL);核电;比亚迪概念;新能源汽车;信创;无线充电;光伏概念;医疗器械概念;富士康概念;储能;可降解塑料;两轮车;深股通,17
603533.SH,603533,17,AI语料;知识产权保护;ChatGPT概念;短剧游戏;抖音概念(字节概念);AIGC概念;AI智能体;AI应用;鸿蒙概念;数据要素;文化传媒概念;电子纸;人工智能;华为概念;独角兽概念;IP经济(谷子经济);沪股通,17
000987.SZ,000987,33,化债概念(AMC概念);2025年报预增;独角兽概念;粤港澳大湾区;期货概念;创投;风电;参股券商;绿色电力;乡村振兴;国企改革;2026一季报预增;深股通;融资融券,14
300953.SZ,300953,33,人形机器人;比亚迪概念;小米汽车;宁德时代概念;新能源汽车;小米概念;机器人概念;锂电池概念;2025年报预增;飞行汽车(eVTOL);储能;低空经济;2026一季报预增;一带一路;深股通;融资融券,16
301059.SZ,301059,33,专精特新;有机硅概念;融资融券,3
301558.SZ,301558,33,AIGC概念;知识产权保护;AI智能体;人工智能;跨境电商;DeepSeek概念;多模态AI;创投;智能物流;粤港澳大湾区;人民币贬值受益;2025年报预增;深股通;融资融券,14
688300.SH,688300,17,先进封装;存储芯片;芯片概念;专精特新;沪股通;融资融券,6
688155.SH,688155,17,高端装备;专精特新;新型工业化;宁德时代概念;机器人概念;2025年报预增;新能源汽车;锂电池概念;固态电池;人工智能;DeepSeek概念;燃料电池;一带一路;沪股通;融资融券,15
601177.SH,601177,17,海工装备;农机;风电;工业互联网;减速器;核电;军工;机器人概念;军民融合;国企改革;参股银行;人形机器人;融资融券;沪股通,14
600812.SH,600812,17,生物疫苗;仿制药一致性评价;流感;维生素;肝炎概念;创新药;眼科医疗;合成生物;重组蛋白;证金持股;化肥;国企改革;雄安新区;数字经济;DeepSeek概念;沪股通;融资融券,17
001366.SZ,001366,33,乡村振兴;合成生物;粤港澳大湾区,3
688310.SH,688310,17,医疗器械概念;专精特新;高端装备;融资融券,4
688787.SH,688787,17,AI语料;智谱AI;数字水印;数据安全;ChatGPT概念;中国AI 50;抖音概念(字节概念);阿里巴巴概念;腾讯概念;AIGC概念;百度概念;AI智能体;虚拟数字人;数据要素;人脸识别;语音技术;华为概念;DeepSeek概念;车联网(车路协同);人工智能;小米概念;无人驾驶;人形机器人;专精特新;旅游概念;沪股通;融资融券,27
002945.SZ,002945,33,互联网金融;西部大开发;创投;融资融券;深股通,5
002338.SZ,002338,33,芯片概念;商业航天;工业母机;传感器;碳纤维;专精特新;军工;机器视觉;同花顺新质50;军民融合;低空经济;机器人概念;医疗器械概念;国企改革;证金持股;深股通;融资融券,17
301043.SZ,301043,33,粤港澳大湾区;家用电器;PM2.5;高铁;建筑节能;融资融券,6
002259.SZ,002259,33,天然气;西部大开发;2025年报预增;摘帽,4
301528.SZ,301528,33,专精特新;比亚迪概念;成飞概念;芯片概念;新能源汽车;商业航天;卫星导航;粤港澳大湾区;核电;融资融券,10
600550.SH,600550,17,柔性直流输电;特高压;智能电网;抽水蓄能;可控核聚变;核电;虚拟电厂;超超临界发电;2025年报预增;京津冀一体化;央企国企改革;雄安新区;海峡两岸;国企改革;乡村振兴;股权转让(并购重组);沪股通;融资融券,18
300697.SZ,300697,33,金属铜;石墨烯;高铁;新能源汽车;氢能源;国企改革;深股通,7
603100.SH,603100,17,新型工业化;工业互联网;高端装备;商业航天;物联网;核电;可控核聚变;光热发电;西部大开发;央企国企改革;国企改革;碳中和;沪股通;融资融券,14
002656.SZ,002656,33,ST板块;三胎概念;风电;智能电网;人民币贬值受益;新能源汽车;区块链;高端装备;腾讯概念;虚拟现实;股权转让(并购重组),11
002032.SZ,002032,33,高股息精选;深股通;融资融券;家用电器;一带一路,5
002515.SZ,002515,33,共封装光学(CPO);芯片概念;共同富裕示范区;人造肉;网红经济;深股通;预制菜,7
002851.SZ,002851,33,第三代半导体;中国AI 50;芯片概念;数据中心;英伟达概念;超级电容;小米概念;高端装备;高压快充;新型工业化;新能源汽车;智能电网;机器人概念;光伏概念;充电桩;高铁;储能;车联网(车路协同);长安汽车概念;家用电器;智能家居;风电;一带一路;医疗器械概念;融资融券;深股通,26
002189.SZ,002189,33,兵装重组概念;MR(混合现实);汽车电子;军工;军民融合;AI眼镜;智能座舱;消费电子概念;机器视觉;无人驾驶;3D打印;芯片概念;虚拟现实;长安汽车概念;安防;车联网(车路协同);家用电器;华为概念;数字经济;央企国企改革;国企改革;深股通;中字头股票;融资融券,24
688466.SH,688466,17,净水概念;污水处理;专精特新;京津冀一体化;碳中和;DeepSeek概念;AI智能体;融资融券,8
300040.SZ,300040,33,生物质能发电;抽水蓄能;绿色电力;虚拟电厂;光伏建筑一体化;风电;智能电网;碳中和;充电桩;储能;垃圾分类;光伏概念;黑龙江自贸区;高压快充;雄安新区;数据中心;东数西算(算力);高铁;华为概念,19
300437.SZ,300437,33,磷化工;消毒剂;土壤修复;净水概念;污水处理;碳中和;新型城镇化;PPP概念;工业互联网;融资融券,10
688373.SH,688373,17,创新药;医药电商;融资融券,3
300802.SZ,300802,33,先进封装;PCB概念;MiniLED;苹果概念;消费电子概念;汽车电子;芯片概念;小米概念;机器视觉;比亚迪概念;华为概念;特斯拉概念;无人机;商业航天;高端装备;人工智能;AI应用;光伏概念;创投;储能;深股通,21
600395.SH,600395,17,煤炭概念;超超临界发电;绿色电力;风电;国企改革;参股券商;西部大开发;回购增持再贷款概念;沪股通;融资融券;2025年报预增,11
300485.SZ,300485,33,创新药;流感;重组蛋白;肝炎概念;生物疫苗;辅助生殖;医疗器械概念;创投;深股通,9
301333.SZ,301333,33,CRO概念;创新药;智能医疗;AIGC概念;人工智能;深股通;融资融券,7
300900.SZ,300900,33,航空发动机;卫星导航;商业航天;大飞机;成飞概念;军民融合;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);海工装备;高端装备;人形机器人;机器人概念;碳纤维;黑龙江自贸区;回购增持再贷款概念;深股通;融资融券,20
300490.SZ,300490,33,固态电池;锂电池概念;钠离子电池;宁德时代概念;高压快充;智能电网;比亚迪概念;光伏概念;MiniLED;新型工业化;数据中心;工业互联网;换电概念;储能;国产操作系统;华为鲲鹏;机器视觉;充电桩;华为概念;虚拟电厂;军工;东数西算(算力);数字孪生;机器人概念;航空发动机;虚拟现实;数据要素;人工智能;多模态AI;DeepSeek概念;数字经济;风电;垃圾分类;光伏建筑一体化;水利;碳中和;一带一路;净水概念;污水处理;碳交易;绿色电力,41
002714.SZ,002714,33,猪肉;同花顺漂亮100;合成生物;乡村振兴;参股银行;回购增持再贷款概念;深股通;融资融券,8
300592.SZ,300592,33,华为盘古;元宇宙;无人机;AIGC概念;ChatGPT概念;AI智能体;华为概念;虚拟现实;AI应用;人工智能;智能穿戴;消费电子概念;人民币贬值受益;家用电器;跨境电商;股权转让(并购重组);深股通,17
002203.SZ,002203,33,PET铜箔;金属镍;小金属概念;固态电池;金属铜;液冷服务器;锂电池概念;特斯拉概念;华为概念;钒电池;回购增持再贷款概念;参股银行;绿色电力;深股通;融资融券,15
600585.SH,600585,17,水泥概念;同花顺中特估100;证金持股;雅下水电概念;同花顺漂亮100;国企改革;装配式建筑;一带一路;沪股通;融资融券;储能,11
600808.SH,600808,17,特钢概念;煤化工概念;央企国企改革;国企改革;证金持股;高铁;新能源汽车;数据中心;沪股通;融资融券,10
002141.SZ,002141,33,PCB概念;横琴新区;粤港澳大湾区;创投;独角兽概念;锂电池概念;广东自贸区;动物疫苗;摘帽,9
600171.SH,600171,17,MCU芯片;汽车芯片;存储芯片;无线耳机;芯片概念;汽车电子;第三代半导体;物联网;无线充电;智能家居;低空经济;共封装光学(CPO);充电桩;长三角一体化;锂电池概念;智能电网;国企改革;央企国企改革;沪股通;融资融券,20
605177.SH,605177,17,合成生物;阿尔茨海默概念;仿制药一致性评价,3
688620.SH,688620,17,智能穿戴;AI眼镜;无线耳机;芯片概念;人脸识别;消费电子概念;小米概念;物联网;专精特新;阿里巴巴概念;智能家居;人工智能;东数西算(算力);DeepSeek概念;人民币贬值受益;融资融券,16
300768.SZ,300768,33,华为鲲鹏;数据安全;财税数字化;数字水印;智慧政务;信创;云计算;鸿蒙概念;腾讯概念;AI智能体;网络安全;国产操作系统;DeepSeek概念;东数西算(算力);ETC;人工智能;物联网;华为概念;安防;数据中心;工业互联网;新型工业化;5G;智能电网;深股通;融资融券,26
000428.SZ,000428,33,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,6
003027.SZ,003027,33,碳中和;钠离子电池;2025年报预增;储能,4
688981.SH,688981,17,国家大基金持股;存储芯片;中芯国际概念;中国AI 50;芯片概念;OLED;消费电子概念;汽车电子;物联网;上海自贸区;同花顺漂亮100;融资融券;沪股通,13
000402.SZ,000402,33,特色小镇;物业管理;装配式建筑;京津冀一体化;参股券商;国企改革;碳中和;碳交易;深股通;融资融券;证金持股,11
601668.SH,601668,17,同花顺中特估100;高股息精选;中字头股票;证金持股;PPP概念;国企改革;地下管网;装配式建筑;央企国企改革;沪股通;融资融券;新型城镇化;绿色电力;光伏建筑一体化;水利;一带一路;回购增持再贷款概念;风电;数字孪生;核电,20
301557.SZ,301557,33,专精特新;风电;无人机;海工装备;军工;碳纤维;融资融券,7
002029.SZ,002029,33,跨境电商;海峡两岸;互联网保险;AI应用;数字经济;参股保险;证金持股;深股通;融资融券,9
002989.SZ,002989,33,芯片概念;人工智能;粤港澳大湾区;新型城镇化;国企改革;深股通,6
001223.SZ,001223,33,新型工业化;专精特新;机器人概念;消费电子概念;无人机;锂电池概念;固态电池;PET铜箔;可降解塑料,9
300061.SZ,300061,33,互联网保险;抖音概念(字节概念);腾讯概念;阿里巴巴概念;智慧政务;云计算;AI应用;网络安全;数据要素;蚂蚁集团概念;东数西算(算力);数字经济;华为概念;融资融券;深股通;股权转让(并购重组),16
300752.SZ,300752,33,MicroLED概念;MiniLED;MR(混合现实);AI眼镜;智能穿戴;汽车电子;消费电子概念;量子科技;小米概念;虚拟现实;小米汽车;华为概念;比亚迪概念;粤港澳大湾区,14
002907.SZ,002907,33,医药电商;仿制药一致性评价;肝炎概念;流感;维生素;创新药;幽门螺杆菌概念;猴痘概念;减肥药;西部大开发;人工智能;工业互联网;深股通,13
920076.BJ,920076,151,锂电池概念;钠离子电池;专精特新;新股与次新股;融资融券,5
600227.SH,600227,17,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;仿制药一致性评价;西部大开发;医疗器械概念;创投,9
300554.SZ,300554,33,第三代半导体;芯片概念;光伏概念;中芯国际概念;钙钛矿电池;股权转让(并购重组),6
300153.SZ,300153,33,阿里巴巴概念;腾讯概念;百度概念;数据中心;华为概念;核电;互联网金融;专精特新;储能;锂电池概念;一带一路;长三角一体化;融资融券;深股通,14
603228.SH,603228,17,PCB概念;共封装光学(CPO);华为手机;OLED;AI PC;毫米波雷达;柔性屏(折叠屏);汽车电子;5G;6G概念;消费电子概念;英伟达概念;特斯拉概念;比亚迪概念;卫星导航;新能源汽车;无人驾驶;商业航天;华为概念;华为数字能源;沪股通;融资融券,22
002457.SZ,002457,33,地下管网;新型城镇化;风电;水利;新疆振兴;乡村振兴;西部大开发;京津冀一体化;参股银行;互联网金融,10
002046.SZ,002046,33,培育钻石;卫星导航;商业航天;大飞机;军民融合;军工;工业母机;无人机;第三代半导体;芯片概念;核电;高端装备;机器人概念;中芯国际概念;新能源汽车;光伏概念;智能医疗;风电;央企国企改革;国企改革;深股通;融资融券,22
688709.SH,688709,17,MCU芯片;汽车芯片;存储芯片;东数西算(算力);芯片概念;量子科技;商业航天;脑机接口;无人驾驶;人工智能;军工;人形机器人;机器人概念;央企国企改革;西部大开发;国企改革;沪股通;融资融券,18
603259.SH,603259,17,CRO概念;创新药;同花顺出海50;同花顺漂亮100;回购增持再贷款概念;人民币贬值受益;2025年报预增;融资融券;沪股通,9
301252.SZ,301252,33,液冷服务器;数据中心;空气能热泵;汽车热管理;新能源汽车;专精特新;长安汽车概念;冷链物流;融资融券,9
301196.SZ,301196,33,光纤概念;新型烟草(电子烟);消费电子概念;新能源汽车;专精特新;海峡两岸;机器人概念;家用电器;PEEK材料;储能;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,17
002129.SZ,002129,33,HJT电池;TOPCON电池;BC电池;硅能源;光伏概念;绿色电力;同花顺漂亮100;一带一路;商业航天;芯片概念;中芯国际概念;深股通;融资融券,13
688222.SH,688222,17,CRO概念;减肥药;重组蛋白;创新药;智能医疗;AI应用;腾讯概念;人工智能;2025年报预增;人民币贬值受益;回购增持再贷款概念;西部大开发;沪股通;融资融券,14
000863.SZ,000863,33,租售同权;物业管理;人工智能;数字经济;Web3.0;智能家居;文化传媒概念;元宇宙;创投;虚拟现实;旅游概念;长三角一体化;一带一路;IP经济(谷子经济);光伏建筑一体化;深股通;融资融券,17
002295.SZ,002295,33,数字经济;国企改革;储能;金属铜;虚拟电厂;股权转让(并购重组),6
600456.SH,600456,17,小金属概念;航空发动机;商业航天;大飞机;军工;3D打印;核电;无人机;国产航母;苹果概念;海工装备;燃料电池;回购增持再贷款概念;西部大开发;国企改革;融资融券;沪股通,17
301365.SZ,301365,33,AIGC概念;人工智能;粤港澳大湾区;创投;新型城镇化;2025年报预增;融资融券,7
688267.SH,688267,17,环氧丙烷;回购增持再贷款概念;人民币贬值受益;专精特新;沪股通;融资融券,6
603138.SH,603138,17,数据安全;华为鲲鹏;信创;数据要素;数据中心;华为概念;人工智能;横琴新区;雄安新区;融资融券,10
600663.SH,600663,17,物业管理;养老概念;参股券商;证金持股;上海自贸区;国企改革;创投;沪股通;融资融券,9
688215.SH,688215,17,专精特新;2025年报预增;机器人概念;智能物流;人工智能;数字孪生;东数西算(算力);阿里巴巴概念;融资融券,9
600120.SH,600120,17,量子科技;创投;参股券商;共同富裕示范区;信托概念;期货概念;参股保险;参股银行;国企改革;证金持股;中芯国际概念;融资融券;沪股通,13
688259.SH,688259,17,星闪概念;芯片概念;人形机器人;WiFi 6;机器人概念;阿里巴巴概念;电力物联网;智能电网;融资融券,9
688199.SH,688199,17,光刻胶;PCB概念;光刻机;3D打印;芯片概念;固态电池;专精特新;锂电池概念;钠离子电池;储能;京津冀一体化;融资融券,12
688517.SH,688517,17,柔性直流输电;特高压;智能电网;高压快充;充电桩;储能;新能源汽车;高端装备;回购增持再贷款概念;高股息精选;融资融券,11
300923.SZ,300923,33,高铁;一带一路;无人驾驶;电子纸;储能;融资融券,6
601199.SH,601199,17,绿色电力;水利;污水处理;PPP概念;国企改革;智慧城市;参股银行;沪股通;融资融券,9
300709.SZ,300709,33,柔性屏(折叠屏);消费电子概念;智能穿戴;比亚迪概念;AI眼镜;无线耳机;液冷服务器;特斯拉概念;机器人概念;减速器;智能音箱;深股通;融资融券,13
301168.SZ,301168,33,光伏概念;绿色电力;锂电池概念;固态电池;比亚迪概念;专精特新;融资融券,7
688063.SH,688063,17,钠离子电池;固态电池;绿色电力;锂电池概念;储能;两轮车;数据中心;2025年报预增;人民币贬值受益;专精特新;低空经济;沪股通;融资融券,13
600155.SH,600155,17,期货概念;参股券商;白酒概念;雄安新区;京津冀一体化;数字经济;DeepSeek概念;AI智能体;云计算;沪股通;融资融券;2025年报预增,12
300638.SZ,300638,33,阿里巴巴概念;东数西算(算力);毫米波雷达;移动支付;WiFi 6;5G;AI智能体;卫星导航;车联网(车路协同);智能座舱;商业航天;机器视觉;AI眼镜;汽车电子;物联网;区块链;人工智能;低空经济;人形机器人;DeepSeek概念;消费电子概念;工业互联网;机器人概念;智能电网;海峡两岸;专精特新;新能源汽车;比亚迪概念;粤港澳大湾区;虚拟电厂;人民币贬值受益;宠物经济;股权转让(并购重组);深股通;融资融券,35
