股票代码,code,market_code,所属概念,所属概念数量
688598.SH,688598,17,光伏概念;第三代半导体;锂电池概念;固态电池;比亚迪概念;小米概念;碳纤维;专精特新;钠离子电池;新能源汽车;人形机器人;氢能源;飞行汽车(eVTOL);低空经济;小米汽车;沪股通;融资融券,17
688433.SH,688433,17,商业航天;3D打印;高端装备;低空经济;飞行汽车(eVTOL);专精特新;机器人概念;碳纤维;沪股通;融资融券,10
688530.SH,688530,17,PET铜箔;MiniLED;MicroLED概念;芯片概念;HJT电池;钙钛矿电池;专精特新;光伏概念;小金属概念;融资融券,10
688096.SH,688096,17,人工智能;污水处理;超导概念;云计算;DeepSeek概念;东数西算(算力);算力租赁;融资融券,8
300639.SZ,300639,33,幽门螺杆菌概念;猴痘概念;流感;创新药;肝炎概念;辅助生殖;基因测序;民营医院;医疗器械概念;智能医疗;回购增持再贷款概念;人工智能;DeepSeek概念;AI智能体;融资融券,15
688052.SH,688052,17,汽车芯片;MCU芯片;先进封装;芯片概念;传感器;消费电子概念;物联网;汽车电子;人形机器人;机器人概念;新能源汽车;沪股通;融资融券,13
301502.SZ,301502,33,小米概念;机器人概念;智能家居;家用电器;医疗器械概念;养老概念;融资融券,7
300420.SZ,300420,33,新型工业化;智能物流;机器人概念;物联网;智慧城市;储能;充电桩;区块链;军民融合;股权转让(并购重组),10
300546.SZ,300546,33,数字货币;电子身份证;移动支付;蚂蚁集团概念;区块链;人脸识别;鸿蒙概念;华为鲲鹏;数字经济;智慧政务;数据要素;智慧城市;信创;数据安全;网络安全;腾讯概念;智能物流;人工智能;DeepSeek概念;网约车;车联网(车路协同);数字孪生;粤港澳大湾区;云计算;量子科技;专精特新;机器人概念;一带一路;深股通,29
300905.SZ,300905,33,染料;光刻胶;专精特新;3D打印;足球概念;深股通;融资融券,7
688536.SH,688536,17,汽车芯片;MCU芯片;芯片概念;共封装光学(CPO);智能座舱;传感器;5G;人形机器人;专精特新;机器人概念;无人机;安防;储能;股权转让(并购重组);沪股通;融资融券,16
301629.SZ,301629,33,存储芯片;芯片概念;机器视觉;比亚迪概念;专精特新;华为概念;深股通;融资融券,8
688601.SH,688601,17,AI手机;汽车芯片;AI眼镜;创投;芯片概念;小米概念;消费电子概念;汽车电子;机器人概念;比亚迪概念;民爆概念;融资融券;沪股通,13
300862.SZ,300862,33,智慧城市;传感器;专精特新;军工;华为概念;毫米波雷达;PM2.5;芯片概念;商业航天;碳中和;PPP概念;融资融券,12
920028.BJ,920028,151,比亚迪概念;宁德时代概念;华为概念;5G;新股与次新股;融资融券,6
688515.SH,688515,17,汽车芯片;铜缆高速连接;人形机器人;芯片概念;小米概念;智能座舱;比亚迪概念;机器人概念;数据中心;无人驾驶;华为概念;信创;车联网(车路协同);工业互联网;沪股通;融资融券,16
301212.SZ,301212,33,可降解塑料;消毒剂;共同富裕示范区;锂电池概念;专精特新;融资融券,6
300477.SZ,300477,33,金属镍;比亚迪概念;金属钴;锂电池概念;新能源汽车;光伏概念;电力物联网;充电桩;区块链;智能电网;储能;小金属概念;金属铜;ST板块,14
300693.SZ,300693,33,数据中心;高压快充;虚拟电厂;宁德时代概念;充电桩;储能;比亚迪概念;换电概念;新能源汽车;专精特新;锂电池概念;深股通;融资融券,13
688268.SH,688268,17,俄乌冲突概念;氟化工概念;光刻机;氢能源;中芯国际概念;光刻胶;存储芯片;第三代半导体;粤港澳大湾区;芯片概念;核电;专精特新;沪股通;融资融券,14
920249.BJ,920249,151,抖音概念(字节概念);汽车芯片;无人驾驶;电力物联网;智能物流;鸿蒙概念;阿里巴巴概念;车联网(车路协同);融资融券;芯片概念;百度概念;物联网;消费电子概念;汽车电子;汽车热管理;机器人概念;智能穿戴;智能座舱;智能家居;智慧灯杆;星闪概念;数字经济;工业互联网;安防;存储芯片;华为海思概念股;华为概念;医疗器械概念;光伏概念;先进封装;充电桩;传感器;人脸识别;人形机器人;人工智能;两轮车;一带一路;WiFi 6;DeepSeek概念;AI智能体;5G,41
688141.SH,688141,17,汽车芯片;芯片概念;消费电子概念;小米概念;智能座舱;汽车电子;专精特新;华为概念;无人驾驶;锂电池概念;新能源汽车;储能;沪股通;融资融券,14
300661.SZ,300661,33,汽车芯片;存储芯片;共封装光学(CPO);无线耳机;OLED;芯片概念;汽车电子;消费电子概念;传感器;专精特新;人工智能;锂电池概念;融资融券;深股通,14
688662.SH,688662,17,共封装光学(CPO);5G;芯片概念;储能;融资融券,5
300292.SZ,300292,33,阿里巴巴概念;百度概念;数据中心;5G;华为概念;智能座舱;信创;云计算;ChatGPT概念;汽车电子;移动支付;毫米波雷达;车联网(车路协同);物联网;鸿蒙概念;光纤概念;数字经济;华为鲲鹏;DeepSeek概念;长安汽车概念;传感器;新能源汽车;储能;军工;汽车热管理;跨境电商;深股通,27
688655.SH,688655,17,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;专精特新;智能座舱;机器人概念;新能源汽车;粤港澳大湾区;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,14
688783.SH,688783,17,科创次新股;注册制次新股;国家大基金持股;存储芯片;MCU芯片;芯片概念;西部大开发;新股与次新股;融资融券,9
688270.SH,688270,22,军工信息化;卫星导航;6G概念;军民融合;商业航天;军工;无人机;芯片概念;2025年报预增;ST板块,10
300489.SZ,300489,33,先进封装;第三代半导体;核污染防治;无人驾驶;新能源汽车;军工;无人机;核电;低空经济;氢能源;深股通,11
688392.SH,688392,17,先进封装;芯片概念;液冷服务器;专精特新;军工;比亚迪概念;PET铜箔;宁德时代概念;固态电池;沪股通;融资融券,11
301328.SZ,301328,33,人形机器人;毫米波雷达;汽车电子;铜缆高速连接;机器人概念;无人驾驶;智能座舱;数据中心;新能源汽车;比亚迪概念;低空经济;海峡两岸;粤港澳大湾区;光伏概念;储能;深股通;融资融券,17
688260.SH,688260,17,光纤概念;汽车电子;消费电子概念;无人驾驶;华为概念;融资融券,6
688159.SH,688159,17,算力租赁;云计算;信创;智慧政务;东数西算(算力);存储芯片;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);数据中心;物联网;华为概念;智慧城市;人工智能;5G;电力物联网;低空经济;无人机;专精特新;机器人概念;粤港澳大湾区;比亚迪概念;智能电网;水利;沪股通;融资融券,29
